Appendable_ThreadSafe @ AntPathFilterTest.java:21: 1 Unique Traces, 18 Redundant Traces, 1 Preserved, 5 Remained 
Collections_SortBeforeBinarySearch @ CollectionDeserializer.java:295: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ User.java:29: 1 Unique Traces, 8 Redundant Traces, 1 Preserved, 8 Remained 
Iterator_HasNext @ AnnotationMap.java:99: 1 Unique Traces, 5 Redundant Traces, 1 Preserved, 3 Remained 
Iterator_HasNext @ AnnotationMap.java:103: 1 Unique Traces, 5 Redundant Traces, 1 Preserved, 5 Remained 
Iterator_HasNext @ BasicDeserializerFactory.java:1978: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Iterator_HasNext @ BasicDeserializerFactory.java:2007: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ BasicDeserializerFactory.java:2051: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ BasicSerializerFactory.java:93: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ BeanDeserializerFactory.java:184: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ POJOPropertiesCollector.java:487: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ AnnotatedMethodCollector.java:52: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ AnnotationMap.java:99: 1 Unique Traces, 5 Redundant Traces, 1 Preserved, 5 Remained 
Iterator_RemoveOnce @ AnnotationMap.java:103: 1 Unique Traces, 5 Redundant Traces, 1 Preserved, 5 Remained 
Iterator_RemoveOnce @ BasicSerializerFactory.java:93: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ POJOPropertiesCollector.java:487: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ ReadOnlyClassToSerializerMap.java:32: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Map_CollectionViewAdd @ AnnotationMap.java:99: 1 Unique Traces, 5 Redundant Traces, 1 Preserved, 5 Remained 
Map_CollectionViewAdd @ AnnotationMap.java:103: 1 Unique Traces, 5 Redundant Traces, 1 Preserved, 5 Remained 
Map_CollectionViewAdd @ StdJdkSerializers.java:64: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Map_UnsafeIterator @ AnnotationMap.java:99: 2 Unique Traces, 10 Redundant Traces, 2 Preserved, 3 Remained 
Map_UnsafeIterator @ AnnotationMap.java:103: 2 Unique Traces, 10 Redundant Traces, 2 Preserved, 4 Remained 
Map_UnsafeIterator @ BasicSerializerFactory.java:93: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ AntPathFilterTest.java:21: 1 Unique Traces, 18 Redundant Traces, 1 Preserved, 4 Remained 
StringBuilder_ThreadSafe @ AntPathFilterTest.java:25: 1 Unique Traces, 8 Redundant Traces, 1 Preserved, 8 Remained 
StringBuilder_ThreadSafe @ AntPathMatcher.java:639: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
StringBuilder_ThreadSafe @ AntPathMatcher.java:859: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ AntPathMatcher.java:860: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ Base64Variants.java:69: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ DefaultPrettyPrinter.java:243: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ User.java:26: 1 Unique Traces, 89 Redundant Traces, 1 Preserved, 41 Remained 
StringBuilder_ThreadSafe @ User.java:27: 1 Unique Traces, 89 Redundant Traces, 1 Preserved, 84 Remained 
StringBuilder_ThreadSafe @ User.java:28: 1 Unique Traces, 89 Redundant Traces, 1 Preserved, 19 Remained 
