Appendable_ThreadSafe @ AnnotationAppender.java:726: 1 Unique Traces, 111 Redundant Traces, 1 Preserved, 24 Remained 
Collection_UnsafeIterator @ ElementMatchers.java:345: 1 Unique Traces, 60 Redundant Traces, 1 Preserved, 14 Remained 
Collection_UnsafeIterator @ ElementMatchers.java:601: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Collection_UnsafeIterator @ FieldAttributeAppender.java:146: 1 Unique Traces, 154 Redundant Traces, 1 Preserved, 70 Remained 
Collection_UnsafeIterator @ FieldRegistry.java:133: 6 Unique Traces, 55 Redundant Traces, 6 Preserved, 44 Remained 
Collection_UnsafeIterator @ FieldRegistry.java:257: 6 Unique Traces, 149 Redundant Traces, 6 Preserved, 11 Remained 
Collection_UnsafeIterator @ FilterableList.java:124: 16 Unique Traces, 936 Redundant Traces, 3 Preserved, 64 Remained 
Collection_UnsafeIterator @ Implementation.java:931: 5 Unique Traces, 56 Redundant Traces, 2 Preserved, 6 Remained 
Collection_UnsafeIterator @ Implementation.java:943: 5 Unique Traces, 56 Redundant Traces, 2 Preserved, 9 Remained 
Collection_UnsafeIterator @ Implementation.java:946: 1 Unique Traces, 60 Redundant Traces, 1 Preserved, 32 Remained 
Collection_UnsafeIterator @ Implementation.java:949: 1 Unique Traces, 60 Redundant Traces, 1 Preserved, 59 Remained 
Collection_UnsafeIterator @ LatentMatcher.java:337: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Collection_UnsafeIterator @ MethodAttributeAppender.java:114: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Collection_UnsafeIterator @ MethodAttributeAppender.java:128: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Collection_UnsafeIterator @ MethodAttributeAppender.java:202: 2 Unique Traces, 116 Redundant Traces, 1 Preserved, 24 Remained 
Collection_UnsafeIterator @ MethodAttributeAppender.java:205: 7 Unique Traces, 111 Redundant Traces, 6 Preserved, 5 Remained 
Collection_UnsafeIterator @ MethodAttributeAppender.java:211: 1 Unique Traces, 236 Redundant Traces, 1 Preserved, 68 Remained 
Collection_UnsafeIterator @ MethodAttributeAppender.java:217: 2 Unique Traces, 116 Redundant Traces, 2 Preserved, 46 Remained 
Collection_UnsafeIterator @ MethodAttributeAppender.java:470: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Collection_UnsafeIterator @ MethodAttributeAppender.java:483: 1 Unique Traces, 60 Redundant Traces, 1 Preserved, 60 Remained 
Collection_UnsafeIterator @ MethodCallProxy.java:132: 6 Unique Traces, 51 Redundant Traces, 6 Preserved, 25 Remained 
Collection_UnsafeIterator @ MethodCallProxy.java:173: 6 Unique Traces, 51 Redundant Traces, 6 Preserved, 36 Remained 
Collection_UnsafeIterator @ MethodCallProxy.java:319: 6 Unique Traces, 51 Redundant Traces, 6 Preserved, 17 Remained 
Collection_UnsafeIterator @ MethodCallProxy.java:407: 6 Unique Traces, 108 Redundant Traces, 4 Preserved, 11 Remained 
Collection_UnsafeIterator @ MethodConstant.java:140: 6 Unique Traces, 51 Redundant Traces, 2 Preserved, 8 Remained 
Collection_UnsafeIterator @ MethodDelegation.java:947: 2 Unique Traces, 2 Redundant Traces, 2 Preserved, 2 Remained 
Collection_UnsafeIterator @ MethodDelegationBinder.java:536: 3 Unique Traces, 119 Redundant Traces, 3 Preserved, 14 Remained 
Collection_UnsafeIterator @ MethodDelegationBinder.java:968: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ MethodDelegationBinder.java:982: 1 Unique Traces, 56 Redundant Traces, 1 Preserved, 6 Remained 
Collection_UnsafeIterator @ MethodDelegationBinder.java:1092: 2 Unique Traces, 63 Redundant Traces, 2 Preserved, 46 Remained 
Collection_UnsafeIterator @ MethodDescription.java:524: 7 Unique Traces, 487 Redundant Traces, 4 Preserved, 27 Remained 
Collection_UnsafeIterator @ MethodDescription.java:538: 1 Unique Traces, 314 Redundant Traces, 1 Preserved, 54 Remained 
Collection_UnsafeIterator @ MethodDescription.java:549: 7 Unique Traces, 308 Redundant Traces, 1 Preserved, 20 Remained 
Collection_UnsafeIterator @ MethodDescription.java:1987: 6 Unique Traces, 222 Redundant Traces, 2 Preserved, 16 Remained 
Collection_UnsafeIterator @ MethodGraph.java:641: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Collection_UnsafeIterator @ MethodGraph.java:714: 3 Unique Traces, 29 Redundant Traces, 3 Preserved, 16 Remained 
Collection_UnsafeIterator @ MethodGraph.java:1019: 1 Unique Traces, 403 Redundant Traces, 1 Preserved, 60 Remained 
Collection_UnsafeIterator @ MethodGraph.java:1034: 1 Unique Traces, 5 Redundant Traces, 1 Preserved, 5 Remained 
Collection_UnsafeIterator @ MethodGraph.java:1189: 8 Unique Traces, 16 Redundant Traces, 7 Preserved, 11 Remained 
Collection_UnsafeIterator @ MethodGraph.java:1234: 3 Unique Traces, 7 Redundant Traces, 3 Preserved, 7 Remained 
Collection_UnsafeIterator @ MethodGraph.java:1251: 8 Unique Traces, 4 Redundant Traces, 7 Preserved, 3 Remained 
Collection_UnsafeIterator @ MethodList.java:89: 3 Unique Traces, 1 Redundant Traces, 3 Preserved, 1 Remained 
Collection_UnsafeIterator @ MethodRegistry.java:458: 2 Unique Traces, 59 Redundant Traces, 2 Preserved, 16 Remained 
Collection_UnsafeIterator @ MethodRegistry.java:479: 5 Unique Traces, 56 Redundant Traces, 4 Preserved, 27 Remained 
Collection_UnsafeIterator @ MethodRegistry.java:483: 4 Unique Traces, 183 Redundant Traces, 4 Preserved, 38 Remained 
Collection_UnsafeIterator @ MethodRegistry.java:505: 3 Unique Traces, 58 Redundant Traces, 2 Preserved, 20 Remained 
Collection_UnsafeIterator @ MethodRegistry.java:508: 4 Unique Traces, 124 Redundant Traces, 4 Preserved, 20 Remained 
Collection_UnsafeIterator @ MethodRegistry.java:738: 5 Unique Traces, 56 Redundant Traces, 4 Preserved, 18 Remained 
Collection_UnsafeIterator @ MethodVariableAccess.java:233: 6 Unique Traces, 122 Redundant Traces, 4 Preserved, 23 Remained 
Collection_UnsafeIterator @ ModifierContributor.java:202: 4 Unique Traces, 702 Redundant Traces, 4 Preserved, 50 Remained 
Collection_UnsafeIterator @ MultipleParentClassLoader.java:358: 4 Unique Traces, 12 Redundant Traces, 4 Preserved, 6 Remained 
Collection_UnsafeIterator @ MultipleParentClassLoader.java:386: 4 Unique Traces, 12 Redundant Traces, 4 Preserved, 12 Remained 
Collection_UnsafeIterator @ MultipleParentClassLoader.java:392: 6 Unique Traces, 42 Redundant Traces, 6 Preserved, 3 Remained 
Collection_UnsafeIterator @ MultipleParentClassLoader.java:400: 3 Unique Traces, 21 Redundant Traces, 3 Preserved, 19 Remained 
Collection_UnsafeIterator @ ParameterList.java:82: 2 Unique Traces, 309 Redundant Traces, 2 Preserved, 28 Remained 
Collection_UnsafeIterator @ ParameterList.java:95: 6 Unique Traces, 69 Redundant Traces, 6 Preserved, 69 Remained 
Collection_UnsafeIterator @ ParameterList.java:106: 7 Unique Traces, 4335 Redundant Traces, 3 Preserved, 213 Remained 
Collection_UnsafeIterator @ ParameterList.java:536: 6 Unique Traces, 1913 Redundant Traces, 1 Preserved, 116 Remained 
Collection_UnsafeIterator @ PolynomialCurveFitter.java:105: 4 Unique Traces, 18 Redundant Traces, 4 Preserved, 18 Remained 
Collection_UnsafeIterator @ RecordComponentRegistry.java:130: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ StackManipulation.java:216: 10 Unique Traces, 2045 Redundant Traces, 6 Preserved, 152 Remained 
Collection_UnsafeIterator @ StackManipulation.java:229: 4 Unique Traces, 1470 Redundant Traces, 2 Preserved, 72 Remained 
Collection_UnsafeIterator @ StackManipulation.java:242: 18 Unique Traces, 881 Redundant Traces, 4 Preserved, 54 Remained 
Collection_UnsafeIterator @ SubclassDynamicTypeBuilder.java:243: 4 Unique Traces, 57 Redundant Traces, 3 Preserved, 15 Remained 
Collection_UnsafeIterator @ TargetMethodAnnotationDrivenBinder.java:84: 3 Unique Traces, 2 Redundant Traces, 3 Preserved, 2 Remained 
Collection_UnsafeIterator @ TargetMethodAnnotationDrivenBinder.java:140: 3 Unique Traces, 119 Redundant Traces, 3 Preserved, 47 Remained 
Collection_UnsafeIterator @ TargetMethodAnnotationDrivenBinder.java:508: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 2 Remained 
Collection_UnsafeIterator @ TargetMethodAnnotationDrivenBinder.java:526: 1 Unique Traces, 13 Redundant Traces, 1 Preserved, 11 Remained 
Collection_UnsafeIterator @ Transformer.java:635: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Collection_UnsafeIterator @ Transformer.java:648: 1 Unique Traces, 56 Redundant Traces, 1 Preserved, 18 Remained 
Collection_UnsafeIterator @ TypeAttributeAppender.java:87: 2 Unique Traces, 59 Redundant Traces, 2 Preserved, 22 Remained 
Collection_UnsafeIterator @ TypeAttributeAppender.java:92: 1 Unique Traces, 60 Redundant Traces, 1 Preserved, 3 Remained 
Collection_UnsafeIterator @ TypeCache.java:454: 1 Unique Traces, 13 Redundant Traces, 1 Preserved, 3 Remained 
Collection_UnsafeIterator @ TypeDescription.java:7700: 1 Unique Traces, 56 Redundant Traces, 1 Preserved, 24 Remained 
Collection_UnsafeIterator @ TypeDescription.java:7858: 1 Unique Traces, 60 Redundant Traces, 1 Preserved, 8 Remained 
Collection_UnsafeIterator @ TypeDescription.java:7874: 2 Unique Traces, 59 Redundant Traces, 2 Preserved, 11 Remained 
Collection_UnsafeIterator @ TypeList.java:99: 3 Unique Traces, 373 Redundant Traces, 3 Preserved, 15 Remained 
Collection_UnsafeIterator @ TypeList.java:302: 3 Unique Traces, 344 Redundant Traces, 3 Preserved, 106 Remained 
Collection_UnsafeIterator @ TypeList.java:313: 1 Unique Traces, 66 Redundant Traces, 1 Preserved, 14 Remained 
Collection_UnsafeIterator @ TypeList.java:324: 7 Unique Traces, 729 Redundant Traces, 4 Preserved, 57 Remained 
Collection_UnsafeIterator @ TypeList.java:335: 7 Unique Traces, 2980 Redundant Traces, 2 Preserved, 153 Remained 
Collection_UnsafeIterator @ TypeList.java:346: 6 Unique Traces, 735 Redundant Traces, 4 Preserved, 69 Remained 
Collection_UnsafeIterator @ TypeResolutionStrategy.java:102: 4 Unique Traces, 0 Redundant Traces, 4 Preserved, 0 Remained 
Collection_UnsafeIterator @ TypeWriter.java:606: 1 Unique Traces, 173 Redundant Traces, 1 Preserved, 90 Remained 
Collection_UnsafeIterator @ TypeWriter.java:1238: 2 Unique Traces, 252 Redundant Traces, 1 Preserved, 24 Remained 
Collection_UnsafeIterator @ TypeWriter.java:1283: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collection_UnsafeIterator @ TypeWriter.java:5918: 1 Unique Traces, 60 Redundant Traces, 1 Preserved, 23 Remained 
Collection_UnsafeIterator @ TypeWriter.java:5922: 1 Unique Traces, 60 Redundant Traces, 1 Preserved, 17 Remained 
Collection_UnsafeIterator @ TypeWriter.java:5942: 1 Unique Traces, 60 Redundant Traces, 1 Preserved, 16 Remained 
Collection_UnsafeIterator @ TypeWriter.java:5952: 1 Unique Traces, 60 Redundant Traces, 1 Preserved, 12 Remained 
Collection_UnsafeIterator @ TypeWriter.java:5955: 6 Unique Traces, 55 Redundant Traces, 4 Preserved, 14 Remained 
Collection_UnsafeIterator @ TypeWriter.java:5958: 5 Unique Traces, 56 Redundant Traces, 2 Preserved, 5 Remained 
Collection_UnsynchronizedAddAll @ ByteCodeAppender.java:141: 1 Unique Traces, 52 Redundant Traces, 1 Preserved, 27 Remained 
Collection_UnsynchronizedAddAll @ CompoundList.java:48: 1 Unique Traces, 68 Redundant Traces, 1 Preserved, 2 Remained 
Collection_UnsynchronizedAddAll @ CompoundList.java:66: 1 Unique Traces, 254 Redundant Traces, 1 Preserved, 21 Remained 
Collection_UnsynchronizedAddAll @ CompoundList.java:82: 1 Unique Traces, 312 Redundant Traces, 1 Preserved, 47 Remained 
Collection_UnsynchronizedAddAll @ CompoundList.java:83: 1 Unique Traces, 312 Redundant Traces, 1 Preserved, 21 Remained 
Collection_UnsynchronizedAddAll @ ElementMatcher.java:134: 1 Unique Traces, 436 Redundant Traces, 1 Preserved, 39 Remained 
Collection_UnsynchronizedAddAll @ ElementMatcher.java:202: 1 Unique Traces, 68 Redundant Traces, 1 Preserved, 14 Remained 
Collection_UnsynchronizedAddAll @ FieldRegistry.java:123: 1 Unique Traces, 154 Redundant Traces, 1 Preserved, 16 Remained 
Collection_UnsynchronizedAddAll @ MethodGraph.java:1020: 1 Unique Traces, 403 Redundant Traces, 1 Preserved, 37 Remained 
Collection_UnsynchronizedAddAll @ MethodGraph.java:1040: 1 Unique Traces, 5 Redundant Traces, 1 Preserved, 5 Remained 
Collection_UnsynchronizedAddAll @ MultipleParentClassLoader.java:384: 1 Unique Traces, 15 Redundant Traces, 1 Preserved, 12 Remained 
Collection_UnsynchronizedAddAll @ StackManipulation.java:218: 1 Unique Traces, 850 Redundant Traces, 1 Preserved, 55 Remained 
Collections_SortBeforeBinarySearch @ AllArguments.java:214: 5 Unique Traces, 63 Redundant Traces, 4 Preserved, 12 Remained 
Collections_SortBeforeBinarySearch @ ArgUtils.java:49: 4 Unique Traces, 62 Redundant Traces, 2 Preserved, 6 Remained 
Collections_SortBeforeBinarySearch @ ByteCodeAppender.java:141: 1 Unique Traces, 52 Redundant Traces, 1 Preserved, 6 Remained 
Collections_SortBeforeBinarySearch @ ByteCodeAppender.java:143: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Collections_SortBeforeBinarySearch @ ByteCodeElement.java:160: 6 Unique Traces, 59 Redundant Traces, 4 Preserved, 19 Remained 
Collections_SortBeforeBinarySearch @ CollectionErasureMatcher.java:53: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Collections_SortBeforeBinarySearch @ CompoundList.java:47: 1 Unique Traces, 68 Redundant Traces, 1 Preserved, 10 Remained 
Collections_SortBeforeBinarySearch @ CompoundList.java:66: 1 Unique Traces, 254 Redundant Traces, 1 Preserved, 17 Remained 
Collections_SortBeforeBinarySearch @ CompoundList.java:82: 1 Unique Traces, 312 Redundant Traces, 1 Preserved, 22 Remained 
Collections_SortBeforeBinarySearch @ ConstructorStrategy.java:198: 3 Unique Traces, 1 Redundant Traces, 3 Preserved, 1 Remained 
Collections_SortBeforeBinarySearch @ DynamicTimeWarpingDistance.java:240: 270344 Unique Traces, 320194 Redundant Traces, 14255 Preserved, 28918 Remained 
Collections_SortBeforeBinarySearch @ DynamicTimeWarpingDistance.java:241: 270344 Unique Traces, 320194 Redundant Traces, 270343 Preserved, 320194 Remained 
Collections_SortBeforeBinarySearch @ ElementMatcher.java:134: 1 Unique Traces, 367 Redundant Traces, 1 Preserved, 46 Remained 
Collections_SortBeforeBinarySearch @ ElementMatcher.java:136: 2 Unique Traces, 464 Redundant Traces, 2 Preserved, 48 Remained 
Collections_SortBeforeBinarySearch @ ElementMatcher.java:202: 2 Unique Traces, 59 Redundant Traces, 2 Preserved, 9 Remained 
Collections_SortBeforeBinarySearch @ ElementMatcher.java:204: 2 Unique Traces, 186 Redundant Traces, 2 Preserved, 23 Remained 
Collections_SortBeforeBinarySearch @ ElementMatchers.java:602: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Collections_SortBeforeBinarySearch @ ExceptionContext.java:86: 1 Unique Traces, 32 Redundant Traces, 1 Preserved, 8 Remained 
Collections_SortBeforeBinarySearch @ ExceptionContext.java:87: 1 Unique Traces, 32 Redundant Traces, 1 Preserved, 32 Remained 
Collections_SortBeforeBinarySearch @ FieldRegistry.java:122: 1 Unique Traces, 154 Redundant Traces, 1 Preserved, 10 Remained 
Collections_SortBeforeBinarySearch @ FieldRegistry.java:139: 6 Unique Traces, 55 Redundant Traces, 5 Preserved, 19 Remained 
Collections_SortBeforeBinarySearch @ FilterableList.java:126: 12 Unique Traces, 364 Redundant Traces, 3 Preserved, 25 Remained 
Collections_SortBeforeBinarySearch @ MethodAttributeAppender.java:118: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Collections_SortBeforeBinarySearch @ MethodAttributeAppender.java:129: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Collections_SortBeforeBinarySearch @ MethodAttributeAppender.java:474: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Collections_SortBeforeBinarySearch @ MethodCallProxy.java:408: 6 Unique Traces, 108 Redundant Traces, 3 Preserved, 8 Remained 
Collections_SortBeforeBinarySearch @ MethodConstant.java:141: 5 Unique Traces, 29 Redundant Traces, 5 Preserved, 19 Remained 
Collections_SortBeforeBinarySearch @ MethodDelegation.java:948: 2 Unique Traces, 2 Redundant Traces, 2 Preserved, 2 Remained 
Collections_SortBeforeBinarySearch @ MethodDelegationBinder.java:455: 3 Unique Traces, 119 Redundant Traces, 3 Preserved, 18 Remained 
Collections_SortBeforeBinarySearch @ MethodDelegationBinder.java:972: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ MethodDelegationBinder.java:1095: 2 Unique Traces, 63 Redundant Traces, 2 Preserved, 22 Remained 
Collections_SortBeforeBinarySearch @ MethodDescription.java:1988: 6 Unique Traces, 222 Redundant Traces, 2 Preserved, 17 Remained 
Collections_SortBeforeBinarySearch @ MethodList.java:90: 3 Unique Traces, 1 Redundant Traces, 3 Preserved, 1 Remained 
Collections_SortBeforeBinarySearch @ MethodRegistry.java:503: 5 Unique Traces, 56 Redundant Traces, 3 Preserved, 8 Remained 
Collections_SortBeforeBinarySearch @ MethodVariableAccess.java:235: 5 Unique Traces, 71 Redundant Traces, 3 Preserved, 18 Remained 
Collections_SortBeforeBinarySearch @ MultipleParentClassLoader.java:359: 3 Unique Traces, 9 Redundant Traces, 3 Preserved, 9 Remained 
Collections_SortBeforeBinarySearch @ MultipleParentClassLoader.java:384: 4 Unique Traces, 12 Redundant Traces, 4 Preserved, 5 Remained 
Collections_SortBeforeBinarySearch @ ParameterList.java:96: 5 Unique Traces, 37 Redundant Traces, 2 Preserved, 10 Remained 
Collections_SortBeforeBinarySearch @ ParameterList.java:107: 6 Unique Traces, 2437 Redundant Traces, 3 Preserved, 145 Remained 
Collections_SortBeforeBinarySearch @ PiecewiseCurveFitterApproximation.java:69: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ PiecewiseCurveFitterApproximation.java:92: 3 Unique Traces, 0 Redundant Traces, 3 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ PiecewiseCurveFitterApproximation.java:105: 7 Unique Traces, 10 Redundant Traces, 6 Preserved, 8 Remained 
Collections_SortBeforeBinarySearch @ StackManipulation.java:218: 9 Unique Traces, 393 Redundant Traces, 4 Preserved, 39 Remained 
Collections_SortBeforeBinarySearch @ StackManipulation.java:220: 9 Unique Traces, 1592 Redundant Traces, 6 Preserved, 104 Remained 
Collections_SortBeforeBinarySearch @ TargetMethodAnnotationDrivenBinder.java:85: 3 Unique Traces, 2 Redundant Traces, 3 Preserved, 2 Remained 
