Appendable_ThreadSafe @ AuxiliaryType.java:166: 1 Unique Traces, 7 Redundant Traces, 1 Preserved, 7 Remained 
Appendable_ThreadSafe @ RxJavaPlugins.java:293: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ SerializerFlatBuffersTest.java:85: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Appendable_ThreadSafe @ SerializerFlatBuffersTest.java:87: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ SerializerFlatBuffersTest.java:98: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Appendable_ThreadSafe @ SerializerFlatBuffersTest.java:103: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Appendable_ThreadSafe @ SignatureWriter.java:123: 5 Unique Traces, 19 Redundant Traces, 4 Preserved, 6 Remained 
Appendable_ThreadSafe @ SignatureWriter.java:132: 2 Unique Traces, 44 Redundant Traces, 2 Preserved, 44 Remained 
Appendable_ThreadSafe @ SignatureWriter.java:164: 3 Unique Traces, 8 Redundant Traces, 3 Preserved, 8 Remained 
Appendable_ThreadSafe @ Type.java:548: 3 Unique Traces, 10 Redundant Traces, 3 Preserved, 10 Remained 
Appendable_ThreadSafe @ Type.java:565: 3 Unique Traces, 1 Redundant Traces, 3 Preserved, 1 Remained 
Appendable_ThreadSafe @ Type.java:582: 8 Unique Traces, 44 Redundant Traces, 8 Preserved, 44 Remained 
Appendable_ThreadSafe @ Type.java:616: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ Type.java:642: 1 Unique Traces, 111 Redundant Traces, 1 Preserved, 20 Remained 
Appendable_ThreadSafe @ Type.java:644: 1 Unique Traces, 180 Redundant Traces, 1 Preserved, 24 Remained 
Appendable_ThreadSafe @ TypeDescription.java:8371: 1 Unique Traces, 47 Redundant Traces, 1 Preserved, 7 Remained 
Appendable_ThreadSafe @ Util.java:76: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Arrays_SortBeforeBinarySearch @ AnnotationDescription.java:637: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Arrays_SortBeforeBinarySearch @ CachedFields.java:105: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Arrays_SortBeforeBinarySearch @ CachedFields.java:109: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Arrays_SortBeforeBinarySearch @ ConcurrentCircularArrayQueue.java:74: 1 Unique Traces, 5 Redundant Traces, 1 Preserved, 5 Remained 
Arrays_SortBeforeBinarySearch @ Implementation.java:608: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Arrays_SortBeforeBinarySearch @ IntMap.java:99: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Arrays_SortBeforeBinarySearch @ JavaDispatcher.java:1005: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Arrays_SortBeforeBinarySearch @ JavaDispatcher.java:1115: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Arrays_SortBeforeBinarySearch @ JavaDispatcher.java:1203: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Arrays_SortBeforeBinarySearch @ ObjectMap.java:93: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Arrays_SortBeforeBinarySearch @ ObjectMap.java:94: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
ByteArrayOutputStream_FlushBeforeRetrieve @ KryoSerializationTest.java:40: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
ByteArrayOutputStream_FlushBeforeRetrieve @ Serializers.java:168: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
CharSequence_NotInMap @ DynamicType.java:6090: 2 Unique Traces, 1 Redundant Traces, 2 Preserved, 1 Remained 
CharSequence_NotInMap @ DynamicType.java:6101: 2 Unique Traces, 1 Redundant Traces, 2 Preserved, 1 Remained 
Collection_UnsafeIterator @ AllArguments.java:206: 3 Unique Traces, 33 Redundant Traces, 3 Preserved, 27 Remained 
Collection_UnsafeIterator @ AnnotationAppender.java:643: 1 Unique Traces, 36 Redundant Traces, 1 Preserved, 36 Remained 
Collection_UnsafeIterator @ AnnotationAppender.java:743: 1 Unique Traces, 127 Redundant Traces, 1 Preserved, 29 Remained 
Collection_UnsafeIterator @ AnnotationDescription.java:578: 4 Unique Traces, 32 Redundant Traces, 3 Preserved, 5 Remained 
Collection_UnsafeIterator @ AnnotationList.java:104: 4 Unique Traces, 141 Redundant Traces, 3 Preserved, 18 Remained 
Collection_UnsafeIterator @ AnnotationList.java:130: 2 Unique Traces, 14 Redundant Traces, 2 Preserved, 11 Remained 
Collection_UnsafeIterator @ ArrayFactory.java:294: 3 Unique Traces, 59 Redundant Traces, 1 Preserved, 14 Remained 
Collection_UnsafeIterator @ ArrayFactory.java:310: 3 Unique Traces, 33 Redundant Traces, 3 Preserved, 12 Remained 
Collection_UnsafeIterator @ ByteCodeAppender.java:139: 1 Unique Traces, 17 Redundant Traces, 1 Preserved, 17 Remained 
Collection_UnsafeIterator @ ByteCodeAppender.java:155: 3 Unique Traces, 0 Redundant Traces, 3 Preserved, 0 Remained 
Collection_UnsafeIterator @ ByteCodeElement.java:159: 3 Unique Traces, 23 Redundant Traces, 3 Preserved, 23 Remained 
Collection_UnsafeIterator @ ClassInjector.java:115: 2 Unique Traces, 1 Redundant Traces, 2 Preserved, 1 Remained 
Collection_UnsafeIterator @ ClassInjector.java:120: 2 Unique Traces, 1 Redundant Traces, 2 Preserved, 1 Remained 
Collection_UnsafeIterator @ ClassInjector.java:242: 2 Unique Traces, 1 Redundant Traces, 2 Preserved, 1 Remained 
Collection_UnsafeIterator @ CollectionErasureMatcher.java:52: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Collection_UnsafeIterator @ CollectionItemMatcher.java:47: 3 Unique Traces, 111 Redundant Traces, 3 Preserved, 30 Remained 
Collection_UnsafeIterator @ CollectionOneToOneMatcher.java:57: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Collection_UnsafeIterator @ CollectionOneToOneMatcher.java:58: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Collection_UnsafeIterator @ CompositeSubscription.java:184: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ ConstructorStrategy.java:197: 2 Unique Traces, 1 Redundant Traces, 2 Preserved, 1 Remained 
Collection_UnsafeIterator @ DynamicType.java:2962: 2 Unique Traces, 6 Redundant Traces, 2 Preserved, 6 Remained 
Collection_UnsafeIterator @ DynamicType.java:5688: 2 Unique Traces, 9 Redundant Traces, 2 Preserved, 9 Remained 
Collection_UnsafeIterator @ DynamicType.java:6089: 3 Unique Traces, 8 Redundant Traces, 3 Preserved, 8 Remained 
Collection_UnsafeIterator @ DynamicType.java:6100: 3 Unique Traces, 8 Redundant Traces, 3 Preserved, 7 Remained 
Collection_UnsafeIterator @ ElementMatcher.java:132: 1 Unique Traces, 192 Redundant Traces, 1 Preserved, 89 Remained 
Collection_UnsafeIterator @ ElementMatcher.java:145: 6 Unique Traces, 628 Redundant Traces, 2 Preserved, 45 Remained 
Collection_UnsafeIterator @ ElementMatcher.java:200: 1 Unique Traces, 47 Redundant Traces, 1 Preserved, 47 Remained 
Collection_UnsafeIterator @ ElementMatcher.java:213: 5 Unique Traces, 160 Redundant Traces, 4 Preserved, 37 Remained 
Collection_UnsafeIterator @ ElementMatchers.java:345: 1 Unique Traces, 10 Redundant Traces, 1 Preserved, 10 Remained 
Collection_UnsafeIterator @ ElementMatchers.java:601: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Collection_UnsafeIterator @ FieldAttributeAppender.java:146: 1 Unique Traces, 14 Redundant Traces, 1 Preserved, 2 Remained 
Collection_UnsafeIterator @ FieldRegistry.java:133: 2 Unique Traces, 9 Redundant Traces, 2 Preserved, 9 Remained 
Collection_UnsafeIterator @ FieldRegistry.java:257: 2 Unique Traces, 13 Redundant Traces, 2 Preserved, 13 Remained 
Collection_UnsafeIterator @ FilterableList.java:124: 10 Unique Traces, 264 Redundant Traces, 7 Preserved, 42 Remained 
Collection_UnsafeIterator @ Implementation.java:415: 2 Unique Traces, 8 Redundant Traces, 2 Preserved, 8 Remained 
Collection_UnsafeIterator @ Implementation.java:1227: 4 Unique Traces, 7 Redundant Traces, 3 Preserved, 5 Remained 
Collection_UnsafeIterator @ Implementation.java:1239: 3 Unique Traces, 8 Redundant Traces, 3 Preserved, 8 Remained 
Collection_UnsafeIterator @ Implementation.java:1242: 1 Unique Traces, 10 Redundant Traces, 1 Preserved, 10 Remained 
Collection_UnsafeIterator @ Implementation.java:1245: 1 Unique Traces, 10 Redundant Traces, 1 Preserved, 10 Remained 
Collection_UnsafeIterator @ LatentMatcher.java:336: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Collection_UnsafeIterator @ MethodAttributeAppender.java:114: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Collection_UnsafeIterator @ MethodAttributeAppender.java:128: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 1 Remained 
Collection_UnsafeIterator @ MethodAttributeAppender.java:202: 1 Unique Traces, 25 Redundant Traces, 1 Preserved, 12 Remained 
Collection_UnsafeIterator @ MethodAttributeAppender.java:205: 3 Unique Traces, 23 Redundant Traces, 3 Preserved, 18 Remained 
Collection_UnsafeIterator @ MethodAttributeAppender.java:211: 1 Unique Traces, 17 Redundant Traces, 1 Preserved, 17 Remained 
Collection_UnsafeIterator @ MethodAttributeAppender.java:217: 2 Unique Traces, 24 Redundant Traces, 2 Preserved, 11 Remained 
Collection_UnsafeIterator @ MethodAttributeAppender.java:470: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Collection_UnsafeIterator @ MethodAttributeAppender.java:483: 1 Unique Traces, 17 Redundant Traces, 1 Preserved, 17 Remained 
Collection_UnsafeIterator @ MethodCallProxy.java:132: 2 Unique Traces, 6 Redundant Traces, 2 Preserved, 6 Remained 
Collection_UnsafeIterator @ MethodCallProxy.java:173: 2 Unique Traces, 6 Redundant Traces, 1 Preserved, 2 Remained 
Collection_UnsafeIterator @ MethodCallProxy.java:319: 2 Unique Traces, 6 Redundant Traces, 2 Preserved, 6 Remained 
Collection_UnsafeIterator @ MethodCallProxy.java:407: 2 Unique Traces, 14 Redundant Traces, 2 Preserved, 14 Remained 
Collection_UnsafeIterator @ MethodConstant.java:140: 3 Unique Traces, 15 Redundant Traces, 3 Preserved, 4 Remained 
Collection_UnsafeIterator @ MethodDelegation.java:949: 2 Unique Traces, 2 Redundant Traces, 2 Preserved, 2 Remained 
Collection_UnsafeIterator @ MethodDelegationBinder.java:536: 3 Unique Traces, 29 Redundant Traces, 3 Preserved, 15 Remained 
Collection_UnsafeIterator @ MethodDelegationBinder.java:968: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ MethodDelegationBinder.java:982: 1 Unique Traces, 7 Redundant Traces, 1 Preserved, 7 Remained 
Collection_UnsafeIterator @ MethodDelegationBinder.java:1092: 2 Unique Traces, 22 Redundant Traces, 2 Preserved, 15 Remained 
Collection_UnsafeIterator @ MethodDescription.java:524: 3 Unique Traces, 91 Redundant Traces, 3 Preserved, 47 Remained 
Collection_UnsafeIterator @ MethodDescription.java:538: 1 Unique Traces, 69 Redundant Traces, 1 Preserved, 19 Remained 
Collection_UnsafeIterator @ MethodDescription.java:549: 3 Unique Traces, 67 Redundant Traces, 3 Preserved, 28 Remained 
Collection_UnsafeIterator @ MethodDescription.java:1987: 2 Unique Traces, 30 Redundant Traces, 1 Preserved, 12 Remained 
Collection_UnsafeIterator @ MethodGraph.java:641: 2 Unique Traces, 1 Redundant Traces, 2 Preserved, 1 Remained 
Collection_UnsafeIterator @ MethodGraph.java:714: 3 Unique Traces, 13 Redundant Traces, 2 Preserved, 13 Remained 
Collection_UnsafeIterator @ MethodGraph.java:1019: 1 Unique Traces, 219 Redundant Traces, 1 Preserved, 38 Remained 
Collection_UnsafeIterator @ MethodGraph.java:1189: 6 Unique Traces, 6 Redundant Traces, 6 Preserved, 5 Remained 
Collection_UnsafeIterator @ MethodGraph.java:1212: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Collection_UnsafeIterator @ MethodGraph.java:1234: 4 Unique Traces, 0 Redundant Traces, 4 Preserved, 0 Remained 
Collection_UnsafeIterator @ MethodGraph.java:1251: 8 Unique Traces, 3 Redundant Traces, 8 Preserved, 3 Remained 
Collection_UnsafeIterator @ MethodList.java:89: 2 Unique Traces, 1 Redundant Traces, 2 Preserved, 1 Remained 
Collection_UnsafeIterator @ MethodRegistry.java:458: 2 Unique Traces, 9 Redundant Traces, 2 Preserved, 9 Remained 
Collection_UnsafeIterator @ MethodRegistry.java:479: 4 Unique Traces, 7 Redundant Traces, 4 Preserved, 7 Remained 
Collection_UnsafeIterator @ MethodRegistry.java:483: 4 Unique Traces, 42 Redundant Traces, 4 Preserved, 10 Remained 
Collection_UnsafeIterator @ MethodRegistry.java:505: 2 Unique Traces, 9 Redundant Traces, 2 Preserved, 6 Remained 
Collection_UnsafeIterator @ MethodRegistry.java:508: 4 Unique Traces, 20 Redundant Traces, 4 Preserved, 10 Remained 
Collection_UnsafeIterator @ MethodRegistry.java:738: 4 Unique Traces, 7 Redundant Traces, 4 Preserved, 7 Remained 
Collection_UnsafeIterator @ MethodVariableAccess.java:233: 3 Unique Traces, 18 Redundant Traces, 1 Preserved, 2 Remained 
Collection_UnsafeIterator @ ModifierContributor.java:202: 4 Unique Traces, 126 Redundant Traces, 4 Preserved, 16 Remained 
Collection_UnsafeIterator @ MultipleParentClassLoader.java:353: 4 Unique Traces, 8 Redundant Traces, 4 Preserved, 4 Remained 
Collection_UnsafeIterator @ MultipleParentClassLoader.java:381: 4 Unique Traces, 10 Redundant Traces, 4 Preserved, 10 Remained 
Collection_UnsafeIterator @ MultipleParentClassLoader.java:387: 6 Unique Traces, 34 Redundant Traces, 6 Preserved, 6 Remained 
Collection_UnsafeIterator @ MultipleParentClassLoader.java:395: 3 Unique Traces, 17 Redundant Traces, 3 Preserved, 15 Remained 
Collection_UnsafeIterator @ NonLeafHelper.java:82: 8 Unique Traces, 102255 Redundant Traces, 5 Preserved, 5012 Remained 
Collection_UnsafeIterator @ OperatorGroupByEvicting.java:255: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ ParameterList.java:82: 2 Unique Traces, 65 Redundant Traces, 2 Preserved, 5 Remained 
Collection_UnsafeIterator @ ParameterList.java:95: 3 Unique Traces, 20 Redundant Traces, 3 Preserved, 7 Remained 
Collection_UnsafeIterator @ ParameterList.java:106: 4 Unique Traces, 1106 Redundant Traces, 4 Preserved, 64 Remained 
Collection_UnsafeIterator @ ParameterList.java:536: 2 Unique Traces, 146 Redundant Traces, 1 Preserved, 49 Remained 
Collection_UnsafeIterator @ RTree.java:492: 8 Unique Traces, 10028 Redundant Traces, 4 Preserved, 523 Remained 
Collection_UnsafeIterator @ RTree.java:542: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ RTree.java:557: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ RTree.java:955: 2 Unique Traces, 12 Redundant Traces, 2 Preserved, 12 Remained 
Collection_UnsafeIterator @ RxJavaPlugins.java:301: 2 Unique Traces, 0 Redundant Traces, 2 Preserved, 0 Remained 
Collection_UnsafeIterator @ StackManipulation.java:216: 7 Unique Traces, 379 Redundant Traces, 4 Preserved, 34 Remained 
Collection_UnsafeIterator @ StackManipulation.java:229: 4 Unique Traces, 324 Redundant Traces, 1 Preserved, 18 Remained 
Collection_UnsafeIterator @ StackManipulation.java:242: 10 Unique Traces, 209 Redundant Traces, 10 Preserved, 209 Remained 
Collection_UnsafeIterator @ SubclassDynamicTypeBuilder.java:242: 3 Unique Traces, 8 Redundant Traces, 3 Preserved, 8 Remained 
Collection_UnsafeIterator @ TargetMethodAnnotationDrivenBinder.java:84: 3 Unique Traces, 2 Redundant Traces, 3 Preserved, 2 Remained 
Collection_UnsafeIterator @ TargetMethodAnnotationDrivenBinder.java:140: 4 Unique Traces, 38 Redundant Traces, 4 Preserved, 15 Remained 
Collection_UnsafeIterator @ TargetMethodAnnotationDrivenBinder.java:508: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 2 Remained 
Collection_UnsafeIterator @ TargetMethodAnnotationDrivenBinder.java:526: 1 Unique Traces, 13 Redundant Traces, 1 Preserved, 13 Remained 
Collection_UnsafeIterator @ Transformer.java:635: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Collection_UnsafeIterator @ Transformer.java:648: 1 Unique Traces, 17 Redundant Traces, 1 Preserved, 17 Remained 
Collection_UnsafeIterator @ TypeAttributeAppender.java:87: 3 Unique Traces, 8 Redundant Traces, 3 Preserved, 7 Remained 
Collection_UnsafeIterator @ TypeAttributeAppender.java:92: 1 Unique Traces, 10 Redundant Traces, 1 Preserved, 10 Remained 
Collection_UnsafeIterator @ TypeCache.java:454: 1 Unique Traces, 10 Redundant Traces, 1 Preserved, 6 Remained 
Collection_UnsafeIterator @ TypeDescription.java:5148: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ TypeDescription.java:7777: 1 Unique Traces, 21 Redundant Traces, 1 Preserved, 15 Remained 
Collection_UnsafeIterator @ TypeDescription.java:7935: 1 Unique Traces, 10 Redundant Traces, 1 Preserved, 7 Remained 
Collection_UnsafeIterator @ TypeDescription.java:7951: 3 Unique Traces, 8 Redundant Traces, 3 Preserved, 8 Remained 
Collection_UnsafeIterator @ TypeList.java:99: 4 Unique Traces, 74 Redundant Traces, 4 Preserved, 10 Remained 
Collection_UnsafeIterator @ TypeList.java:302: 3 Unique Traces, 95 Redundant Traces, 3 Preserved, 45 Remained 
Collection_UnsafeIterator @ TypeList.java:313: 1 Unique Traces, 22 Redundant Traces, 1 Preserved, 22 Remained 
Collection_UnsafeIterator @ TypeList.java:324: 4 Unique Traces, 150 Redundant Traces, 4 Preserved, 21 Remained 
Collection_UnsafeIterator @ TypeList.java:335: 5 Unique Traces, 856 Redundant Traces, 4 Preserved, 53 Remained 
Collection_UnsafeIterator @ TypeList.java:346: 2 Unique Traces, 102 Redundant Traces, 1 Preserved, 21 Remained 
Collection_UnsafeIterator @ TypeResolutionStrategy.java:102: 2 Unique Traces, 1 Redundant Traces, 2 Preserved, 1 Remained 
Collection_UnsafeIterator @ TypeWriter.java:617: 1 Unique Traces, 45 Redundant Traces, 1 Preserved, 13 Remained 
Collection_UnsafeIterator @ TypeWriter.java:1249: 1 Unique Traces, 58 Redundant Traces, 1 Preserved, 11 Remained 
Collection_UnsafeIterator @ TypeWriter.java:6002: 1 Unique Traces, 10 Redundant Traces, 1 Preserved, 8 Remained 
Collection_UnsafeIterator @ TypeWriter.java:6006: 1 Unique Traces, 10 Redundant Traces, 1 Preserved, 10 Remained 
Collection_UnsafeIterator @ TypeWriter.java:6026: 1 Unique Traces, 10 Redundant Traces, 1 Preserved, 7 Remained 
Collection_UnsafeIterator @ TypeWriter.java:6036: 1 Unique Traces, 10 Redundant Traces, 1 Preserved, 10 Remained 
Collection_UnsafeIterator @ TypeWriter.java:6039: 2 Unique Traces, 9 Redundant Traces, 2 Preserved, 4 Remained 
Collection_UnsafeIterator @ TypeWriter.java:6042: 4 Unique Traces, 7 Redundant Traces, 3 Preserved, 7 Remained 
Collection_UnsafeIterator @ Visualizer.java:74: 8 Unique Traces, 20445 Redundant Traces, 8 Preserved, 20444 Remained 
Collection_UnsafeIterator @ Visualizer.java:87: 7 Unique Traces, 0 Redundant Traces, 7 Preserved, 0 Remained 
Collection_UnsynchronizedAddAll @ ByteCodeAppender.java:141: 1 Unique Traces, 14 Redundant Traces, 1 Preserved, 4 Remained 
Collection_UnsynchronizedAddAll @ CompoundList.java:48: 1 Unique Traces, 16 Redundant Traces, 1 Preserved, 5 Remained 
Collection_UnsynchronizedAddAll @ CompoundList.java:66: 1 Unique Traces, 20 Redundant Traces, 1 Preserved, 6 Remained 
Collection_UnsynchronizedAddAll @ CompoundList.java:82: 1 Unique Traces, 70 Redundant Traces, 1 Preserved, 32 Remained 
Collection_UnsynchronizedAddAll @ CompoundList.java:83: 1 Unique Traces, 70 Redundant Traces, 1 Preserved, 29 Remained 
Collection_UnsynchronizedAddAll @ ElementMatcher.java:134: 1 Unique Traces, 84 Redundant Traces, 1 Preserved, 46 Remained 
Collection_UnsynchronizedAddAll @ ElementMatcher.java:202: 1 Unique Traces, 16 Redundant Traces, 1 Preserved, 7 Remained 
Collection_UnsynchronizedAddAll @ FieldRegistry.java:123: 1 Unique Traces, 14 Redundant Traces, 1 Preserved, 14 Remained 
Collection_UnsynchronizedAddAll @ MethodGraph.java:1020: 1 Unique Traces, 219 Redundant Traces, 1 Preserved, 15 Remained 
Collection_UnsynchronizedAddAll @ MultipleParentClassLoader.java:379: 1 Unique Traces, 13 Redundant Traces, 1 Preserved, 12 Remained 
Collection_UnsynchronizedAddAll @ NonLeafHelper.java:91: 1 Unique Traces, 64074 Redundant Traces, 1 Preserved, 3152 Remained 
Collection_UnsynchronizedAddAll @ NonLeafHelper.java:101: 1 Unique Traces, 5942 Redundant Traces, 1 Preserved, 290 Remained 
Collection_UnsynchronizedAddAll @ NonLeafHelper.java:112: 1 Unique Traces, 70016 Redundant Traces, 1 Preserved, 3442 Remained 
Collection_UnsynchronizedAddAll @ StackManipulation.java:218: 1 Unique Traces, 97 Redundant Traces, 1 Preserved, 26 Remained 
Collection_UnsynchronizedAddAll @ Visualizer.java:80: 1 Unique Traces, 24775 Redundant Traces, 1 Preserved, 1218 Remained 
Collections_SortBeforeBinarySearch @ AllArguments.java:214: 2 Unique Traces, 12 Redundant Traces, 2 Preserved, 4 Remained 
Collections_SortBeforeBinarySearch @ BackpressureTest.java:188: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ BackpressureTest.java:202: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ ByteCodeAppender.java:141: 1 Unique Traces, 14 Redundant Traces, 1 Preserved, 14 Remained 
Collections_SortBeforeBinarySearch @ ByteCodeAppender.java:143: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Collections_SortBeforeBinarySearch @ ByteCodeElement.java:160: 2 Unique Traces, 8 Redundant Traces, 1 Preserved, 1 Remained 
Collections_SortBeforeBinarySearch @ CachedFields.java:192: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
