Appendable_ThreadSafe @ AClassDefineSingleTest.java:25: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ DefineTest.java:134: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ DefineTest.java:140: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ DemoShowTest.java:99: 1 Unique Traces, 20 Redundant Traces, 1 Preserved, 20 Remained 
Appendable_ThreadSafe @ ExpressCacheTest.java:36: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ ExpressCacheTest.java:44: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ ExpressLoader.java:50: 1 Unique Traces, 27 Redundant Traces, 1 Preserved, 27 Remained 
Appendable_ThreadSafe @ ExpressLoader.java:72: 1 Unique Traces, 7 Redundant Traces, 1 Preserved, 4 Remained 
Appendable_ThreadSafe @ ExpressPackage.java:100: 1 Unique Traces, 2331 Redundant Traces, 1 Preserved, 154 Remained 
Appendable_ThreadSafe @ ExpressPackage.java:103: 1 Unique Traces, 2312 Redundant Traces, 1 Preserved, 132 Remained 
Appendable_ThreadSafe @ ExpressParse.java:68: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ ExpressParse.java:112: 4 Unique Traces, 15 Redundant Traces, 4 Preserved, 5 Remained 
Appendable_ThreadSafe @ ExpressParse.java:145: 1 Unique Traces, 16 Redundant Traces, 1 Preserved, 16 Remained 
Appendable_ThreadSafe @ ExpressParse.java:236: 1 Unique Traces, 112544 Redundant Traces, 1 Preserved, 5689 Remained 
Appendable_ThreadSafe @ ExpressParse.java:244: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ ExpressParse.java:250: 1 Unique Traces, 418 Redundant Traces, 1 Preserved, 26 Remained 
Appendable_ThreadSafe @ ExpressParse.java:287: 84 Unique Traces, 109 Redundant Traces, 84 Preserved, 109 Remained 
Appendable_ThreadSafe @ ExpressParse.java:346: 1 Unique Traces, 193 Redundant Traces, 1 Preserved, 19 Remained 
Appendable_ThreadSafe @ ExpressParse.java:347: 1 Unique Traces, 193 Redundant Traces, 1 Preserved, 13 Remained 
Appendable_ThreadSafe @ ExpressParse.java:351: 1 Unique Traces, 193 Redundant Traces, 1 Preserved, 53 Remained 
Appendable_ThreadSafe @ ExpressParse.java:376: 1 Unique Traces, 193 Redundant Traces, 1 Preserved, 43 Remained 
Appendable_ThreadSafe @ ExpressParse.java:391: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ ExpressParse.java:405: 1 Unique Traces, 5 Redundant Traces, 1 Preserved, 5 Remained 
Appendable_ThreadSafe @ ExpressParse.java:417: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ ExpressParse.java:440: 44 Unique Traces, 156 Redundant Traces, 44 Preserved, 156 Remained 
Appendable_ThreadSafe @ ExpressRunner.java:232: 1 Unique Traces, 5 Redundant Traces, 1 Preserved, 5 Remained 
Appendable_ThreadSafe @ ExpressRunner.java:687: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ ExpressTest.java:15: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ ExpressTest.java:28: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ ExpressTest.java:116: 1 Unique Traces, 40 Redundant Traces, 1 Preserved, 15 Remained 
Appendable_ThreadSafe @ ExpressUtil.java:273: 6 Unique Traces, 200229 Redundant Traces, 4 Preserved, 10229 Remained 
Appendable_ThreadSafe @ ExpressUtil.java:414: 2 Unique Traces, 22 Redundant Traces, 2 Preserved, 9 Remained 
Appendable_ThreadSafe @ ExpressUtil.java:424: 1 Unique Traces, 5 Redundant Traces, 1 Preserved, 5 Remained 
Appendable_ThreadSafe @ ExpressUtil.java:444: 1 Unique Traces, 17 Redundant Traces, 1 Preserved, 17 Remained 
Appendable_ThreadSafe @ ExpressUtil.java:562: 1 Unique Traces, 249 Redundant Traces, 1 Preserved, 77 Remained 
Appendable_ThreadSafe @ ExpressUtil.java:597: 1 Unique Traces, 16 Redundant Traces, 1 Preserved, 6 Remained 
Appendable_ThreadSafe @ ExpressUtil.java:625: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ FunctionInstructionFactory.java:43: 1 Unique Traces, 34 Redundant Traces, 1 Preserved, 6 Remained 
Appendable_ThreadSafe @ GetExpressAttrNamesTest.java:23: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ GetExpressAttrNamesTest.java:37: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ GetExpressFunctionNamesTest.java:12: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ GetExpressFunctionNamesTest.java:30: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ GetExpressFunctionNamesTest.java:50: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ GetExpressFunctionNamesTest.java:59: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ GetExpressFunctionNamesTest.java:73: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ IfTest.java:36: 1 Unique Traces, 15 Redundant Traces, 1 Preserved, 15 Remained 
Appendable_ThreadSafe @ IfTest.java:37: 1 Unique Traces, 15 Redundant Traces, 1 Preserved, 15 Remained 
Appendable_ThreadSafe @ IfTest.java:38: 1 Unique Traces, 15 Redundant Traces, 1 Preserved, 5 Remained 
Appendable_ThreadSafe @ Instruction.java:20: 1 Unique Traces, 17 Redundant Traces, 1 Preserved, 17 Remained 
Appendable_ThreadSafe @ InstructionCallMacro.java:38: 1 Unique Traces, 5 Redundant Traces, 1 Preserved, 5 Remained 
Appendable_ThreadSafe @ InstructionCallSelfDefineFunction.java:68: 1 Unique Traces, 30 Redundant Traces, 1 Preserved, 30 Remained 
Appendable_ThreadSafe @ InstructionConstData.java:31: 1 Unique Traces, 10746 Redundant Traces, 1 Preserved, 590 Remained 
Appendable_ThreadSafe @ InstructionGoTo.java:27: 1 Unique Traces, 64 Redundant Traces, 1 Preserved, 6 Remained 
Appendable_ThreadSafe @ InstructionGoTo.java:29: 1 Unique Traces, 75 Redundant Traces, 1 Preserved, 65 Remained 
Appendable_ThreadSafe @ InstructionGoToWithCondition.java:56: 1 Unique Traces, 81 Redundant Traces, 1 Preserved, 19 Remained 
Appendable_ThreadSafe @ InstructionGoToWithCondition.java:58: 1 Unique Traces, 81 Redundant Traces, 1 Preserved, 35 Remained 
Appendable_ThreadSafe @ InstructionGoToWithCondition.java:60: 1 Unique Traces, 81 Redundant Traces, 1 Preserved, 34 Remained 
Appendable_ThreadSafe @ InstructionLoadAttr.java:36: 1 Unique Traces, 30532 Redundant Traces, 1 Preserved, 1445 Remained 
Appendable_ThreadSafe @ InstructionLoadLambda.java:30: 1 Unique Traces, 7 Redundant Traces, 1 Preserved, 7 Remained 
Appendable_ThreadSafe @ InstructionNewVirClass.java:42: 1 Unique Traces, 11 Redundant Traces, 1 Preserved, 9 Remained 
Appendable_ThreadSafe @ InstructionOperator.java:44: 1 Unique Traces, 30807 Redundant Traces, 1 Preserved, 1532 Remained 
Appendable_ThreadSafe @ InstructionSet.java:196: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
Appendable_ThreadSafe @ InstructionSet.java:281: 13 Unique Traces, 18 Redundant Traces, 13 Preserved, 18 Remained 
Appendable_ThreadSafe @ InstructionSet.java:287: 1 Unique Traces, 10246 Redundant Traces, 1 Preserved, 546 Remained 
Appendable_ThreadSafe @ InstructionSet.java:296: 11 Unique Traces, 7 Redundant Traces, 11 Preserved, 7 Remained 
Appendable_ThreadSafe @ InstructionSet.java:312: 36 Unique Traces, 10193 Redundant Traces, 5 Preserved, 525 Remained 
Appendable_ThreadSafe @ LoadExpressFromFileTest.java:20: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ LoadExpressFromFileTest.java:21: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ LoadExpressFromFileTest.java:26: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ LoadExpressFromFileTest.java:27: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ LoveOperator.java:14: 1 Unique Traces, 6 Redundant Traces, 1 Preserved, 6 Remained 
Appendable_ThreadSafe @ MacroInstructionFactory.java:15: 1 Unique Traces, 14 Redundant Traces, 1 Preserved, 9 Remained 
Appendable_ThreadSafe @ MethodInvokeTest.java:21: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ MethodInvokeTest.java:37: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ MethodInvokeTest.java:50: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ MethodInvokeTest.java:63: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ MethodParamsTest.java:53: 1 Unique Traces, 15 Redundant Traces, 1 Preserved, 15 Remained 
Appendable_ThreadSafe @ MethodParamsTest.java:61: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ MethodParamsTest.java:89: 1 Unique Traces, 19 Redundant Traces, 1 Preserved, 19 Remained 
Appendable_ThreadSafe @ MethodParamsTest.java:103: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ ModuleUtils.java:88: 1 Unique Traces, 15 Redundant Traces, 1 Preserved, 3 Remained 
Appendable_ThreadSafe @ ModulesLoader.java:107: 1 Unique Traces, 7 Redundant Traces, 1 Preserved, 5 Remained 
Appendable_ThreadSafe @ ModulesLoader.java:148: 1 Unique Traces, 7 Redundant Traces, 1 Preserved, 7 Remained 
Appendable_ThreadSafe @ ModulesLoader.java:185: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ ModulesLoader.java:238: 1 Unique Traces, 7 Redundant Traces, 1 Preserved, 4 Remained 
Appendable_ThreadSafe @ NewExpressTest.java:80: 1 Unique Traces, 57 Redundant Traces, 1 Preserved, 13 Remained 
Appendable_ThreadSafe @ NewExpressTest.java:81: 1 Unique Traces, 57 Redundant Traces, 1 Preserved, 55 Remained 
Appendable_ThreadSafe @ NewExpressTest.java:82: 1 Unique Traces, 57 Redundant Traces, 1 Preserved, 5 Remained 
Appendable_ThreadSafe @ NewInstructionFactory.java:21: 2 Unique Traces, 9 Redundant Traces, 2 Preserved, 9 Remained 
Appendable_ThreadSafe @ NodeType.java:102: 1 Unique Traces, 365 Redundant Traces, 1 Preserved, 27 Remained 
Appendable_ThreadSafe @ NodeTypeManager.java:42: 1 Unique Traces, 10449 Redundant Traces, 1 Preserved, 519 Remained 
Appendable_ThreadSafe @ NodeTypeManager.java:45: 1 Unique Traces, 6599 Redundant Traces, 1 Preserved, 354 Remained 
Appendable_ThreadSafe @ NodeTypeManager.java:116: 1 Unique Traces, 655 Redundant Traces, 1 Preserved, 51 Remained 
Appendable_ThreadSafe @ NodeTypeManager.java:128: 1 Unique Traces, 365 Redundant Traces, 1 Preserved, 26 Remained 
Appendable_ThreadSafe @ OpCallTest.java:40: 1 Unique Traces, 5 Redundant Traces, 1 Preserved, 4 Remained 
Appendable_ThreadSafe @ OpCallTest.java:42: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ OperateClass.java:32: 1 Unique Traces, 86 Redundant Traces, 1 Preserved, 22 Remained 
Appendable_ThreadSafe @ OperateDataAlias.java:16: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Appendable_ThreadSafe @ OperateDataArrayItem.java:14: 1 Unique Traces, 7889 Redundant Traces, 1 Preserved, 430 Remained 
Appendable_ThreadSafe @ OperateDataArrayItem.java:20: 1 Unique Traces, 69 Redundant Traces, 1 Preserved, 30 Remained 
Appendable_ThreadSafe @ OperateDataField.java:26: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ OperateDataField.java:28: 1 Unique Traces, 202 Redundant Traces, 1 Preserved, 22 Remained 
Appendable_ThreadSafe @ OperateDataLocalVar.java:40: 1 Unique Traces, 15 Redundant Traces, 1 Preserved, 5 Remained 
Appendable_ThreadSafe @ OperatorBase.java:46: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Appendable_ThreadSafe @ OperatorEqualsLessMore.java:44: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ OperatorField.java:33: 1 Unique Traces, 102 Redundant Traces, 1 Preserved, 50 Remained 
Appendable_ThreadSafe @ OperatorMethod.java:75: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ OperatorMethod.java:101: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ OperatorMethod.java:138: 1 Unique Traces, 109 Redundant Traces, 1 Preserved, 53 Remained 
Appendable_ThreadSafe @ OperatorOfNumber.java:187: 1 Unique Traces, 2070 Redundant Traces, 1 Preserved, 107 Remained 
Appendable_ThreadSafe @ OverFlowTest.java:83: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Appendable_ThreadSafe @ OverFlowTest.java:93: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Appendable_ThreadSafe @ OverFlowTest.java:103: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Appendable_ThreadSafe @ OverFlowTest.java:110: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ OverFlowTest.java:120: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ OverFlowTest.java:130: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ PrintLineExceptionTest.java:40: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ QLAliasTest.java:39: 1 Unique Traces, 7 Redundant Traces, 1 Preserved, 3 Remained 
Appendable_ThreadSafe @ QLAliasTest.java:48: 1 Unique Traces, 7 Redundant Traces, 1 Preserved, 6 Remained 
Appendable_ThreadSafe @ QLAliasUtils.java:59: 1 Unique Traces, 118 Redundant Traces, 1 Preserved, 42 Remained 
Appendable_ThreadSafe @ QLExpressRunStrategy.java:66: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ QLExpressRunStrategy.java:69: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ QLExpressRunStrategy.java:70: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ QLExpressRunStrategy.java:73: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ QLExpressRunStrategy.java:74: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ QLExpressRunStrategy.java:75: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ QLExpressRunStrategy.java:76: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ QLExpressRunStrategy.java:77: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ QLExpressRunStrategy.java:78: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ QLExpressRunStrategy.java:91: 1 Unique Traces, 31 Redundant Traces, 1 Preserved, 31 Remained 
Appendable_ThreadSafe @ QLExpressRunStrategy.java:158: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ QLExpressRunStrategy.java:166: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ QLExpressRunStrategy.java:182: 1 Unique Traces, 100177 Redundant Traces, 1 Preserved, 5059 Remained 
Appendable_ThreadSafe @ QLExpressRunStrategy.java:186: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ QLExpressRunStrategy.java:192: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Appendable_ThreadSafe @ QLExpressRunStrategy.java:204: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Appendable_ThreadSafe @ QLPattern.java:30: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Appendable_ThreadSafe @ QLPatternNode.java:139: 40 Unique Traces, 34060 Redundant Traces, 7 Preserved, 1694 Remained 
Appendable_ThreadSafe @ QLPatternNode.java:167: 23 Unique Traces, 157111 Redundant Traces, 5 Preserved, 7772 Remained 
Appendable_ThreadSafe @ QLPatternNode.java:300: 6 Unique Traces, 359 Redundant Traces, 5 Preserved, 82 Remained 
Appendable_ThreadSafe @ ReflectionUtils.java:59: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ ReflectionUtils.java:468: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ ReplaceOperatorTest.java:46: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ ReplaceOperatorTest.java:67: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ SimpleShortCircuitLogicTest.java:48: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ SimpleShortCircuitLogicTest.java:74: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ StackOverFlowTest.java:26: 1 Unique Traces, 7 Redundant Traces, 1 Preserved, 7 Remained 
Appendable_ThreadSafe @ StackOverFlowTest.java:31: 1 Unique Traces, 7 Redundant Traces, 1 Preserved, 7 Remained 
Appendable_ThreadSafe @ StaticMethodTest.java:13: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ StaticMethodTest.java:14: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ SubjectOperator.java:67: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ SubjectOperator.java:79: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Appendable_ThreadSafe @ SubjectValue.java:14: 1 Unique Traces, 5 Redundant Traces, 1 Preserved, 2 Remained 
Appendable_ThreadSafe @ WordSplit.java:48: 30 Unique Traces, 275 Redundant Traces, 10 Preserved, 23 Remained 
Appendable_ThreadSafe @ WordSplit.java:153: 46 Unique Traces, 342 Redundant Traces, 7 Preserved, 25 Remained 
Appendable_ThreadSafe @ WorkflowTest.java:53: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Arrays_SortBeforeBinarySearch @ MethodUtils.java:82: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Arrays_SortBeforeBinarySearch @ PropertyUtilsBean.java:120: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Arrays_SortBeforeBinarySearch @ WordSplit.java:135: 1 Unique Traces, 274 Redundant Traces, 1 Preserved, 39 Remained 
ByteArrayOutputStream_FlushBeforeRetrieve @ ForFlowFunctionTest.java:17: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
CharSequence_NotInMap @ AbstractBeanDefinition.java:622: 1 Unique Traces, 13 Redundant Traces, 1 Preserved, 13 Remained 
CharSequence_NotInMap @ ConfigurationLoader.java:113: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
CharSequence_NotInMap @ InstructionSetContext.java:73: 17 Unique Traces, 329 Redundant Traces, 2 Preserved, 24 Remained 
Collection_UnsafeIterator @ AbstractApplicationContext.java:498: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ AbstractApplicationContext.java:531: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ AbstractApplicationContext.java:540: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ AbstractApplicationContext.java:551: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Collection_UnsafeIterator @ AbstractApplicationContext.java:594: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ AbstractApplicationContext.java:603: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ AbstractApplicationContext.java:614: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Collection_UnsafeIterator @ AbstractApplicationContext.java:696: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ AbstractApplicationContext.java:702: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ AbstractAutowireCapableBeanFactory.java:348: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collection_UnsafeIterator @ AbstractAutowireCapableBeanFactory.java:359: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
