Appendable_ThreadSafe @ AbstractAgiCommand.java:92: 2 Unique Traces, 4 Redundant Traces, 2 Preserved, 4 Remained 
Appendable_ThreadSafe @ CoherentEventFactory.java:45: 1 Unique Traces, 38 Redundant Traces, 1 Preserved, 38 Remained 
Appendable_ThreadSafe @ CoherentEventFactory.java:53: 1 Unique Traces, 5 Redundant Traces, 1 Preserved, 5 Remained 
Appendable_ThreadSafe @ CoherentEventFactory.java:58: 1 Unique Traces, 28 Redundant Traces, 1 Preserved, 12 Remained 
Appendable_ThreadSafe @ CoherentEventFactory.java:65: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Appendable_ThreadSafe @ ConfbridgeCommand.java:47: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ ConfbridgeCommand.java:49: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ ConfigFileReader.java:164: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ ConfigFileReader.java:175: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ ConfigFileReader.java:178: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ ConfigFileReader.java:337: 3 Unique Traces, 1 Redundant Traces, 3 Preserved, 1 Remained 
Appendable_ThreadSafe @ ConfigFileReader.java:342: 3 Unique Traces, 0 Redundant Traces, 3 Preserved, 0 Remained 
Appendable_ThreadSafe @ ContextInitializer.java:85: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ ControlStreamFileCommand.java:229: 4 Unique Traces, 1 Redundant Traces, 4 Preserved, 1 Remained 
Appendable_ThreadSafe @ CoreStatusResponse.java:160: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ DatabaseDelTreeCommand.java:103: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ DatabaseDelTreeCommand.java:105: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ DatabaseGetCommand.java:91: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ DatabasePutCommand.java:116: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ DefaultJoranConfigurator.java:117: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ DefaultJoranConfigurator.java:119: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ DialCommand.java:57: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ EventAttributesHelper.java:75: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
Appendable_ThreadSafe @ EventBuilderImpl.java:74: 1 Unique Traces, 91 Redundant Traces, 1 Preserved, 11 Remained 
Appendable_ThreadSafe @ EventBuilderImpl.java:94: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ EventBuilderImpl.java:112: 1 Unique Traces, 9054 Redundant Traces, 1 Preserved, 430 Remained 
Appendable_ThreadSafe @ EventBuilderImpl.java:183: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ EventBuilderImpl.java:190: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ FastAgiWriter.java:43: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ FastScannerCrNl.java:53: 52 Unique Traces, 9 Redundant Traces, 52 Preserved, 9 Remained 
Appendable_ThreadSafe @ FastScannerDeterministicTest.java:39: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ FastScannerDeterministicTest.java:47: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ FastScannerDeterministicTest.java:67: 1 Unique Traces, 30 Redundant Traces, 1 Preserved, 12 Remained 
Appendable_ThreadSafe @ FastScannerNl.java:124: 53 Unique Traces, 9 Redundant Traces, 16 Preserved, 6 Remained 
Appendable_ThreadSafe @ FastScannerRandomTest.java:42: 1 Unique Traces, 99 Redundant Traces, 1 Preserved, 11 Remained 
Appendable_ThreadSafe @ FastScannerRandomTest.java:97: 1 Unique Traces, 102 Redundant Traces, 1 Preserved, 7 Remained 
Appendable_ThreadSafe @ FastScannerRandomTest.java:105: 3 Unique Traces, 0 Redundant Traces, 3 Preserved, 0 Remained 
Appendable_ThreadSafe @ FastScannerRandomTest.java:108: 100 Unique Traces, 0 Redundant Traces, 100 Preserved, 0 Remained 
Appendable_ThreadSafe @ FastScannerSpeedTest.java:20: 1 Unique Traces, 9 Redundant Traces, 1 Preserved, 9 Remained 
Appendable_ThreadSafe @ FastScannerSpeedTest.java:40: 1 Unique Traces, 9 Redundant Traces, 1 Preserved, 2 Remained 
Appendable_ThreadSafe @ FastScannerSpeedTest.java:42: 1 Unique Traces, 9 Redundant Traces, 1 Preserved, 9 Remained 
Appendable_ThreadSafe @ FastScannerSpeedTest.java:66: 1 Unique Traces, 19 Redundant Traces, 1 Preserved, 19 Remained 
Appendable_ThreadSafe @ FastScannerSpeedTest.java:82: 1 Unique Traces, 19 Redundant Traces, 1 Preserved, 19 Remained 
Appendable_ThreadSafe @ FastScannerSpeedTest.java:86: 1 Unique Traces, 19 Redundant Traces, 1 Preserved, 19 Remained 
Appendable_ThreadSafe @ FieldAccessor.java:361: 1 Unique Traces, 9 Redundant Traces, 1 Preserved, 9 Remained 
Appendable_ThreadSafe @ FilterBuilder.java:126: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ FilterBuilder.java:127: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ GetDataCommand.java:172: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ GetDataCommand.java:174: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ GetDataCommand.java:176: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ GetFullVariableCommand.java:105: 2 Unique Traces, 0 Redundant Traces, 2 Preserved, 0 Remained 
Appendable_ThreadSafe @ GosubCommand.java:157: 2 Unique Traces, 0 Redundant Traces, 2 Preserved, 0 Remained 
Appendable_ThreadSafe @ Implementation.java:1281: 1 Unique Traces, 59 Redundant Traces, 1 Preserved, 4 Remained 
Appendable_ThreadSafe @ Implementation.java:1458: 1 Unique Traces, 16 Redundant Traces, 1 Preserved, 5 Remained 
Appendable_ThreadSafe @ Implementation.java:1461: 1 Unique Traces, 6 Redundant Traces, 1 Preserved, 6 Remained 
Appendable_ThreadSafe @ ImplicitModelHandler.java:150: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ InvalidCommandSyntaxException.java:43: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ InvalidOrUnknownCommandException.java:38: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ JavaDispatcher.java:226: 1 Unique Traces, 6 Redundant Traces, 1 Preserved, 6 Remained 
Appendable_ThreadSafe @ JavaDispatcher.java:1316: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ JavaDispatcher.java:1383: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ ListenerManager.java:60: 1 Unique Traces, 999 Redundant Traces, 1 Preserved, 58 Remained 
Appendable_ThreadSafe @ Lockable.java:37: 1 Unique Traces, 165 Redundant Traces, 1 Preserved, 16 Remained 
Appendable_ThreadSafe @ LockerTest.java:24: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ LockerTest.java:34: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ LockerTest.java:43: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ LockerTest.java:75: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ LockerTest.java:92: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ LockerTest.java:109: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ Logger.java:741: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ ManagerConnectionImpl.java:678: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ ManagerConnectionImpl.java:741: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ ManagerConnectionImpl.java:742: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ ManagerConnectionImpl.java:775: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ ManagerConnectionImpl.java:1034: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Appendable_ThreadSafe @ ManagerConnectionImpl.java:1132: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Appendable_ThreadSafe @ ManagerConnectionImpl.java:1299: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ ManagerConnectionImplTest.java:138: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ ManagerReaderImpl.java:289: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ ManagerResponse.java:272: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Appendable_ThreadSafe @ ManagerUtil.java:118: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ MeetmeCommand.java:40: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ MeetmeCommand.java:42: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ MethodCallProxy.java:145: 1 Unique Traces, 20 Redundant Traces, 1 Preserved, 4 Remained 
Appendable_ThreadSafe @ MethodDescription.java:523: 3 Unique Traces, 206 Redundant Traces, 2 Preserved, 30 Remained 
Appendable_ThreadSafe @ NameHelper.java:39: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ NamingStrategy.java:184: 1 Unique Traces, 17 Redundant Traces, 1 Preserved, 17 Remained 
Appendable_ThreadSafe @ NamingStrategy.java:186: 1 Unique Traces, 21 Redundant Traces, 1 Preserved, 21 Remained 
Appendable_ThreadSafe @ NamingStrategy.java:454: 1 Unique Traces, 21 Redundant Traces, 1 Preserved, 8 Remained 
Appendable_ThreadSafe @ NodeToStringTransformer.java:145: 2 Unique Traces, 3 Redundant Traces, 2 Preserved, 3 Remained 
Appendable_ThreadSafe @ PropertySetter.java:324: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Appendable_ThreadSafe @ QueueCommand.java:39: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ RandomString.java:49: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ ReceiveCharCommand.java:73: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ ReceiveTextCommand.java:73: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ RecordFileCommand.java:237: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ ReflectionUtil.java:141: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ ReflectionUtil.java:154: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ ReflectionUtil.java:201: 6 Unique Traces, 4 Redundant Traces, 6 Preserved, 4 Remained 
Appendable_ThreadSafe @ ReflectionUtil.java:276: 1 Unique Traces, 45 Redundant Traces, 1 Preserved, 11 Remained 
Appendable_ThreadSafe @ ReflectionUtil.java:285: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ ResourceBundleMappingStrategy.java:140: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ ResourceBundleMappingStrategy.java:164: 1 Unique Traces, 5 Redundant Traces, 1 Preserved, 5 Remained 
Appendable_ThreadSafe @ RootLoggerModelHandler.java:43: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ SayAlphaCommand.java:103: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ SayDateTimeCommand.java:177: 3 Unique Traces, 1 Redundant Traces, 3 Preserved, 1 Remained 
Appendable_ThreadSafe @ SayDigitsCommand.java:102: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ SayNumberCommand.java:102: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ SayPhoneticCommand.java:101: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ SayTimeCommand.java:102: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ SendImageCommand.java:68: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ SendTextCommand.java:67: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ SetAutoHangupCommand.java:67: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ SetCallerIdCommand.java:65: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ SetContextCommand.java:65: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ SetExtensionCommand.java:65: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ SetPriorityCommand.java:65: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ SetVariableCommand.java:90: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ SignatureWriter.java:123: 9 Unique Traces, 49 Redundant Traces, 7 Preserved, 25 Remained 
Appendable_ThreadSafe @ SignatureWriter.java:132: 3 Unique Traces, 97 Redundant Traces, 2 Preserved, 21 Remained 
Appendable_ThreadSafe @ SignatureWriter.java:164: 2 Unique Traces, 20 Redundant Traces, 2 Preserved, 20 Remained 
Appendable_ThreadSafe @ SpeechActivateGrammarCommand.java:64: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ SpeechCreateCommand.java:64: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ SpeechDeactivateGrammarCommand.java:63: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ SpeechLoadGrammarCommand.java:86: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ SpeechRecognizeCommand.java:116: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ SpeechSetCommand.java:83: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ SpeechUnloadGrammarCommand.java:63: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ StandardRepresentation.java:106: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ TddModeCommand.java:65: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ Tokenizer.java:137: 3 Unique Traces, 2 Redundant Traces, 3 Preserved, 2 Remained 
Appendable_ThreadSafe @ Type.java:548: 1 Unique Traces, 21 Redundant Traces, 1 Preserved, 19 Remained 
Appendable_ThreadSafe @ Type.java:565: 3 Unique Traces, 1 Redundant Traces, 3 Preserved, 1 Remained 
Appendable_ThreadSafe @ Type.java:582: 7 Unique Traces, 142 Redundant Traces, 7 Preserved, 142 Remained 
Appendable_ThreadSafe @ Type.java:616: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Appendable_ThreadSafe @ Type.java:642: 1 Unique Traces, 244 Redundant Traces, 1 Preserved, 56 Remained 
Appendable_ThreadSafe @ Type.java:644: 1 Unique Traces, 569 Redundant Traces, 1 Preserved, 70 Remained 
Appendable_ThreadSafe @ TypeDescription.java:8376: 1 Unique Traces, 101 Redundant Traces, 1 Preserved, 11 Remained 
Appendable_ThreadSafe @ TypeDescription.java:9435: 1 Unique Traces, 63 Redundant Traces, 1 Preserved, 22 Remained 
Appendable_ThreadSafe @ TypeDescription.java:9450: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Appendable_ThreadSafe @ UpdateConfigAction.java:109: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ UpdateConfigAction.java:113: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ VerboseCommand.java:93: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ WaitForDigitCommand.java:73: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Arrays_SortBeforeBinarySearch @ AnnotationDescription.java:637: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Arrays_SortBeforeBinarySearch @ COWArrayList.java:64: 2 Unique Traces, 0 Redundant Traces, 2 Preserved, 0 Remained 
Arrays_SortBeforeBinarySearch @ COWArrayList.java:98: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Arrays_SortBeforeBinarySearch @ CyclicBuffer.java:63: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Arrays_SortBeforeBinarySearch @ Implementation.java:608: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Arrays_SortBeforeBinarySearch @ JavaDispatcher.java:1005: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Arrays_SortBeforeBinarySearch @ JavaDispatcher.java:1115: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Arrays_SortBeforeBinarySearch @ JavaDispatcher.java:1203: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
CharSequence_NotInMap @ AgiReplyImpl.java:179: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
CharSequence_NotInMap @ DynamicType.java:6090: 2 Unique Traces, 3 Redundant Traces, 2 Preserved, 3 Remained 
CharSequence_NotInMap @ DynamicType.java:6101: 2 Unique Traces, 3 Redundant Traces, 2 Preserved, 3 Remained 
CharSequence_NotInMap @ PatternLayout.java:52: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
CharSequence_NotInMap @ PatternLayoutBase.java:56: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ ActionBuilderImpl.java:123: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ ActionBuilderImpl.java:156: 2 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collection_UnsafeIterator @ ActionBuilderImpl.java:175: 2 Unique Traces, 2 Redundant Traces, 2 Preserved, 2 Remained 
Collection_UnsafeIterator @ ActionBuilderImpl.java:226: 6 Unique Traces, 9 Redundant Traces, 6 Preserved, 8 Remained 
Collection_UnsafeIterator @ AgiRequestImpl.java:113: 6 Unique Traces, 18 Redundant Traces, 6 Preserved, 17 Remained 
Collection_UnsafeIterator @ AgiRequestImpl.java:460: 2 Unique Traces, 3 Redundant Traces, 2 Preserved, 3 Remained 
Collection_UnsafeIterator @ AgiRequestImpl.java:477: 2 Unique Traces, 1 Redundant Traces, 2 Preserved, 1 Remained 
Collection_UnsafeIterator @ AllArguments.java:206: 3 Unique Traces, 117 Redundant Traces, 2 Preserved, 12 Remained 
Collection_UnsafeIterator @ AnnotationAppender.java:643: 1 Unique Traces, 98 Redundant Traces, 1 Preserved, 44 Remained 
Collection_UnsafeIterator @ AnnotationAppender.java:699: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Collection_UnsafeIterator @ AnnotationAppender.java:743: 1 Unique Traces, 341 Redundant Traces, 1 Preserved, 27 Remained 
Collection_UnsafeIterator @ AnnotationDescription.java:578: 4 Unique Traces, 78 Redundant Traces, 4 Preserved, 18 Remained 
Collection_UnsafeIterator @ AnnotationList.java:104: 4 Unique Traces, 329 Redundant Traces, 4 Preserved, 71 Remained 
Collection_UnsafeIterator @ AnnotationList.java:130: 2 Unique Traces, 32 Redundant Traces, 2 Preserved, 10 Remained 
Collection_UnsafeIterator @ ArrayFactory.java:294: 3 Unique Traces, 194 Redundant Traces, 3 Preserved, 98 Remained 
Collection_UnsafeIterator @ ArrayFactory.java:310: 3 Unique Traces, 117 Redundant Traces, 2 Preserved, 14 Remained 
Collection_UnsafeIterator @ AttributeInfo.java:225: 6 Unique Traces, 246 Redundant Traces, 3 Preserved, 14 Remained 
Collection_UnsafeIterator @ BasicStatusManager.java:85: 1 Unique Traces, 9 Redundant Traces, 1 Preserved, 2 Remained 
Collection_UnsafeIterator @ ByteCodeAppender.java:139: 1 Unique Traces, 59 Redundant Traces, 1 Preserved, 14 Remained 
Collection_UnsafeIterator @ ByteCodeAppender.java:155: 5 Unique Traces, 0 Redundant Traces, 5 Preserved, 0 Remained 
Collection_UnsafeIterator @ ByteCodeElement.java:159: 3 Unique Traces, 41 Redundant Traces, 3 Preserved, 15 Remained 
Collection_UnsafeIterator @ ChainedModelFilter.java:43: 6 Unique Traces, 9 Redundant Traces, 6 Preserved, 9 Remained 
Collection_UnsafeIterator @ ClassFile.java:745: 4 Unique Traces, 476 Redundant Traces, 2 Preserved, 72 Remained 
Collection_UnsafeIterator @ ClassInjector.java:115: 2 Unique Traces, 3 Redundant Traces, 2 Preserved, 3 Remained 
Collection_UnsafeIterator @ ClassInjector.java:120: 2 Unique Traces, 3 Redundant Traces, 2 Preserved, 3 Remained 
Collection_UnsafeIterator @ ClassInjector.java:242: 2 Unique Traces, 3 Redundant Traces, 2 Preserved, 3 Remained 
Collection_UnsafeIterator @ ClasspathHelper.java:396: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ CoherentEventFactory.java:42: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ CollectionErasureMatcher.java:52: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
Collection_UnsafeIterator @ CollectionItemMatcher.java:47: 3 Unique Traces, 284 Redundant Traces, 3 Preserved, 11 Remained 
