Appendable_ThreadSafe @ BTreeIndexTest.java:56: 1 Unique Traces, 999 Redundant Traces, 1 Preserved, 68 Remained 
Iterator_RemoveOnce @ BTreeTest.java:114: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ FastMultiByteArrayOutputStream.java:70: 3 Unique Traces, 989 Redundant Traces, 2 Preserved, 72 Remained 
Iterator_RemoveOnce @ PurgeOptObservableLongLRUMap.java:73: 3 Unique Traces, 45051 Redundant Traces, 1 Preserved, 2133 Remained 
ListIterator_RemoveOnce @ FastMultiByteArrayOutputStream.java:70: 3 Unique Traces, 989 Redundant Traces, 2 Preserved, 40 Remained 
Map_CollectionViewAdd @ BTreeIndexTest.java:204: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Map_CollectionViewAdd @ BTreeIndexTest.java:260: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Map_CollectionViewAdd @ BTreeTest.java:114: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Map_UnsafeIterator @ BTreeIndexTest.java:204: 2 Unique Traces, 2 Redundant Traces, 2 Preserved, 0 Remained 
Map_UnsafeIterator @ BTreeIndexTest.java:260: 2 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Map_UnsafeIterator @ BTreeTest.java:114: 2 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
RandomAccessFile_ManipulateAfterClose @ Paged.java:154: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
StringBuilder_ThreadSafe @ BTreeIndexTest.java:56: 1 Unique Traces, 999 Redundant Traces, 1 Preserved, 69 Remained 
StringBuilder_ThreadSafe @ BTreeIndexTest.java:57: 1 Unique Traces, 999 Redundant Traces, 1 Preserved, 80 Remained 
StringBuilder_ThreadSafe @ BTreeIndexTest.java:61: 1 Unique Traces, 9 Redundant Traces, 1 Preserved, 9 Remained 
StringBuilder_ThreadSafe @ BTreeIndexTest.java:66: 1 Unique Traces, 999 Redundant Traces, 1 Preserved, 58 Remained 
StringBuilder_ThreadSafe @ BTreeIndexTest.java:69: 1 Unique Traces, 9 Redundant Traces, 1 Preserved, 9 Remained 
StringBuilder_ThreadSafe @ BTreeIndexTest.java:71: 1 Unique Traces, 989 Redundant Traces, 1 Preserved, 60 Remained 
StringBuilder_ThreadSafe @ BTreeIndexTest.java:91: 1 Unique Traces, 999 Redundant Traces, 1 Preserved, 75 Remained 
StringBuilder_ThreadSafe @ BTreeIndexTest.java:92: 1 Unique Traces, 999 Redundant Traces, 1 Preserved, 69 Remained 
StringBuilder_ThreadSafe @ BTreeIndexTest.java:96: 1 Unique Traces, 9 Redundant Traces, 1 Preserved, 8 Remained 
StringBuilder_ThreadSafe @ BTreeIndexTest.java:106: 1 Unique Traces, 999 Redundant Traces, 1 Preserved, 56 Remained 
StringBuilder_ThreadSafe @ BTreeIndexTest.java:109: 1 Unique Traces, 9 Redundant Traces, 1 Preserved, 7 Remained 
StringBuilder_ThreadSafe @ BTreeIndexTest.java:111: 1 Unique Traces, 989 Redundant Traces, 1 Preserved, 46 Remained 
StringBuilder_ThreadSafe @ BTreeIndexTest.java:127: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ BTreeIndexTest.java:143: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ BTreeIndexTest.java:215: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
StringBuilder_ThreadSafe @ BTreeIndexTest.java:238: 1 Unique Traces, 9999999 Redundant Traces, 1 Preserved, 9999 Remained 
StringBuilder_ThreadSafe @ BTreeIndexTest.java:255: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ BTreeIndexTest.java:264: 1 Unique Traces, 999 Redundant Traces, 1 Preserved, 61 Remained 
StringBuilder_ThreadSafe @ BTreeIndexTest.java:265: 1 Unique Traces, 999 Redundant Traces, 1 Preserved, 62 Remained 
StringBuilder_ThreadSafe @ BTreeTest.java:48: 1 Unique Traces, 999 Redundant Traces, 1 Preserved, 48 Remained 
StringBuilder_ThreadSafe @ BTreeTest.java:54: 1 Unique Traces, 999 Redundant Traces, 1 Preserved, 80 Remained 
StringBuilder_ThreadSafe @ BTreeTest.java:93: 1 Unique Traces, 9999999 Redundant Traces, 1 Preserved, 10000 Remained 
StringBuilder_ThreadSafe @ BTreeTest.java:109: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ BTreeTest.java:118: 1 Unique Traces, 999 Redundant Traces, 1 Preserved, 129 Remained 
StringBuilder_ThreadSafe @ BTreeTest.java:119: 1 Unique Traces, 999 Redundant Traces, 1 Preserved, 58 Remained 
StringBuilder_ThreadSafe @ DateTimeFormatter.java:43: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 2 Remained 
StringTokenizer_HasMoreElements @ PropertyConfigurator.java:736: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
URLConnection_Connect @ PropertyConfigurator.java:557: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
URLConnection_SetBeforeConnect @ PropertyConfigurator.java:556: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
