Appendable_ThreadSafe @ ApplyScoreCommand.java:152: 1 Unique Traces, 57 Redundant Traces, 1 Preserved, 11 Remained 
Appendable_ThreadSafe @ CommandLine.java:7187: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Appendable_ThreadSafe @ CommandLine.java:9294: 1 Unique Traces, 58 Redundant Traces, 1 Preserved, 4 Remained 
Appendable_ThreadSafe @ CommandLine.java:9437: 2 Unique Traces, 145 Redundant Traces, 1 Preserved, 24 Remained 
Appendable_ThreadSafe @ CommandLine.java:9456: 1 Unique Traces, 146 Redundant Traces, 1 Preserved, 6 Remained 
Appendable_ThreadSafe @ CommandLine.java:9642: 1 Unique Traces, 1771 Redundant Traces, 1 Preserved, 94 Remained 
Appendable_ThreadSafe @ CommandLine.java:10013: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ CommandLine.java:10273: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ CommandLine.java:10843: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ CommandLine.java:11526: 1 Unique Traces, 1771 Redundant Traces, 1 Preserved, 91 Remained 
Appendable_ThreadSafe @ CommandLine.java:12245: 1 Unique Traces, 76 Redundant Traces, 1 Preserved, 51 Remained 
Appendable_ThreadSafe @ CommandLine.java:12355: 1 Unique Traces, 24183 Redundant Traces, 1 Preserved, 1144 Remained 
Appendable_ThreadSafe @ CommandLine.java:12909: 1 Unique Traces, 72 Redundant Traces, 1 Preserved, 72 Remained 
Appendable_ThreadSafe @ CommandLine.java:13969: 1 Unique Traces, 96 Redundant Traces, 1 Preserved, 44 Remained 
Appendable_ThreadSafe @ CommandLine.java:14040: 1 Unique Traces, 317 Redundant Traces, 1 Preserved, 32 Remained 
Appendable_ThreadSafe @ CommandLine.java:14990: 1 Unique Traces, 58 Redundant Traces, 1 Preserved, 44 Remained 
Appendable_ThreadSafe @ CommandLine.java:16049: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ CommandLine.java:16211: 1 Unique Traces, 5 Redundant Traces, 1 Preserved, 5 Remained 
Appendable_ThreadSafe @ CommandLine.java:16465: 2 Unique Traces, 73 Redundant Traces, 2 Preserved, 5 Remained 
Appendable_ThreadSafe @ CommandLine.java:16545: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Appendable_ThreadSafe @ CommandLine.java:16568: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ CommandLine.java:16808: 1 Unique Traces, 20 Redundant Traces, 1 Preserved, 20 Remained 
Appendable_ThreadSafe @ CommandLine.java:16907: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 2 Remained 
Appendable_ThreadSafe @ CommandLine.java:17433: 4 Unique Traces, 5 Redundant Traces, 1 Preserved, 2 Remained 
Appendable_ThreadSafe @ CommandLine.java:17439: 3 Unique Traces, 6 Redundant Traces, 2 Preserved, 3 Remained 
Appendable_ThreadSafe @ CommandLine.java:17665: 1 Unique Traces, 1169 Redundant Traces, 1 Preserved, 123 Remained 
Appendable_ThreadSafe @ CommandLine.java:17666: 1 Unique Traces, 1169 Redundant Traces, 1 Preserved, 82 Remained 
Appendable_ThreadSafe @ CommandLine.java:18002: 1 Unique Traces, 190 Redundant Traces, 1 Preserved, 71 Remained 
Appendable_ThreadSafe @ CommandLine.java:18003: 1 Unique Traces, 1360 Redundant Traces, 1 Preserved, 79 Remained 
Appendable_ThreadSafe @ CommandLine.java:18011: 2 Unique Traces, 188 Redundant Traces, 2 Preserved, 37 Remained 
Appendable_ThreadSafe @ CommandLine.java:18021: 2 Unique Traces, 188 Redundant Traces, 2 Preserved, 47 Remained 
Appendable_ThreadSafe @ CommandLine.java:18172: 1 Unique Traces, 2326 Redundant Traces, 1 Preserved, 148 Remained 
Appendable_ThreadSafe @ CommandLine.java:18273: 1 Unique Traces, 3231 Redundant Traces, 1 Preserved, 156 Remained 
Appendable_ThreadSafe @ CommandLine.java:18292: 13 Unique Traces, 53 Redundant Traces, 10 Preserved, 16 Remained 
Appendable_ThreadSafe @ CommandLine.java:18301: 2 Unique Traces, 14 Redundant Traces, 2 Preserved, 9 Remained 
Appendable_ThreadSafe @ DbSnpReader.java:122: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Appendable_ThreadSafe @ DbSnpReader.java:152: 1 Unique Traces, 7 Redundant Traces, 1 Preserved, 6 Remained 
Appendable_ThreadSafe @ Defaults.java:168: 1 Unique Traces, 14 Redundant Traces, 1 Preserved, 14 Remained 
Appendable_ThreadSafe @ JsonReader.java:1029: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Appendable_ThreadSafe @ LiftOverScoreTask.java:79: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ LiftOverScoreTask.java:174: 1 Unique Traces, 50 Redundant Traces, 1 Preserved, 5 Remained 
Appendable_ThreadSafe @ LiftOverScoreTask.java:206: 1 Unique Traces, 19 Redundant Traces, 1 Preserved, 19 Remained 
Appendable_ThreadSafe @ MergeEffectsCommandTest.java:68: 1 Unique Traces, 6 Redundant Traces, 1 Preserved, 6 Remained 
Appendable_ThreadSafe @ MergeEffectsCommandTest.java:69: 1 Unique Traces, 6 Redundant Traces, 1 Preserved, 6 Remained 
Appendable_ThreadSafe @ MergeEffectsCommandTest.java:70: 1 Unique Traces, 6 Redundant Traces, 1 Preserved, 6 Remained 
Appendable_ThreadSafe @ MergeEffectsTaskTest.java:69: 1 Unique Traces, 6 Redundant Traces, 1 Preserved, 6 Remained 
Appendable_ThreadSafe @ MergeEffectsTaskTest.java:70: 1 Unique Traces, 6 Redundant Traces, 1 Preserved, 6 Remained 
Appendable_ThreadSafe @ MergeEffectsTaskTest.java:71: 1 Unique Traces, 6 Redundant Traces, 1 Preserved, 6 Remained 
Appendable_ThreadSafe @ MergeScoreTaskTest.java:77: 1 Unique Traces, 6 Redundant Traces, 1 Preserved, 6 Remained 
Appendable_ThreadSafe @ MergeScoreTaskTest.java:78: 1 Unique Traces, 6 Redundant Traces, 1 Preserved, 2 Remained 
Appendable_ThreadSafe @ MergeScoreTaskTest.java:123: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Appendable_ThreadSafe @ MergeScoreTaskTest.java:128: 1 Unique Traces, 2999 Redundant Traces, 1 Preserved, 150 Remained 
Appendable_ThreadSafe @ MergeScoreTaskTest.java:132: 1 Unique Traces, 2999 Redundant Traces, 1 Preserved, 163 Remained 
Appendable_ThreadSafe @ MergeScoreTaskTest.java:134: 1 Unique Traces, 2999999 Redundant Traces, 1 Preserved, 10000 Remained 
Appendable_ThreadSafe @ MergeVariantsCommandTest.java:62: 1 Unique Traces, 6 Redundant Traces, 1 Preserved, 6 Remained 
Appendable_ThreadSafe @ MergeVariantsCommandTest.java:63: 1 Unique Traces, 6 Redundant Traces, 1 Preserved, 4 Remained 
Appendable_ThreadSafe @ MergeVariantsCommandTest.java:64: 1 Unique Traces, 6 Redundant Traces, 1 Preserved, 6 Remained 
Appendable_ThreadSafe @ MergeVariantsTaskTest.java:64: 1 Unique Traces, 6 Redundant Traces, 1 Preserved, 6 Remained 
Appendable_ThreadSafe @ MergeVariantsTaskTest.java:65: 1 Unique Traces, 6 Redundant Traces, 1 Preserved, 5 Remained 
Appendable_ThreadSafe @ MergeVariantsTaskTest.java:66: 1 Unique Traces, 6 Redundant Traces, 1 Preserved, 6 Remained 
Appendable_ThreadSafe @ PGSCatalogFormat.java:118: 1 Unique Traces, 7 Redundant Traces, 1 Preserved, 4 Remained 
Appendable_ThreadSafe @ PGSCatalogIDFile.java:24: 1 Unique Traces, 49 Redundant Traces, 1 Preserved, 12 Remained 
Appendable_ThreadSafe @ PGSCatalogIDFile.java:34: 1 Unique Traces, 14 Redundant Traces, 1 Preserved, 14 Remained 
Appendable_ThreadSafe @ ProxyReader.java:115: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ ResolveScoreCommand.java:63: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
Appendable_ThreadSafe @ ResolveScoreCommand.java:79: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 3 Remained 
Appendable_ThreadSafe @ ResolveScoreCommand.java:85: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ ResolveScoreCommand.java:87: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ ResolveScoreCommand.java:97: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ ResolveScoreCommand.java:98: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ ResolveScoreCommand.java:100: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ ResolveScoreCommand.java:101: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ ResolveScoreCommand.java:102: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ ResolveScoreCommand.java:104: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ ResolveScoreCommand.java:105: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ ResolveScoreCommand.java:107: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ ResolveScoreCommand.java:113: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ ResolveScoreCommand.java:115: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ ResolveScoreCommand.java:125: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ ResolveScoreCommand.java:126: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ ResolveScoreCommand.java:127: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ ResolveScoreCommand.java:128: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ ResolveScoreCommand.java:130: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ ResolveScoreCommand.java:144: 1 Unique Traces, 109 Redundant Traces, 1 Preserved, 31 Remained 
Appendable_ThreadSafe @ ResolveScoreCommand.java:146: 1 Unique Traces, 109 Redundant Traces, 1 Preserved, 26 Remained 
Appendable_ThreadSafe @ ResolveScoreCommand.java:159: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
Appendable_ThreadSafe @ ResolveScoreCommand.java:160: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ ResolveScoreCommand.java:161: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
Appendable_ThreadSafe @ ResolveScoreCommand.java:164: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
Appendable_ThreadSafe @ RiskScoreFile.java:136: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
Appendable_ThreadSafe @ RiskScoreFile.java:168: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ RiskScoreFileTest.java:91: 1 Unique Traces, 21 Redundant Traces, 1 Preserved, 6 Remained 
Appendable_ThreadSafe @ RiskScoreFileTest.java:101: 1 Unique Traces, 21 Redundant Traces, 1 Preserved, 6 Remained 
Appendable_ThreadSafe @ SamplesFile.java:34: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ ScoresFile.java:25: 1 Unique Traces, 49 Redundant Traces, 1 Preserved, 15 Remained 
Appendable_ThreadSafe @ ScoresFile.java:35: 1 Unique Traces, 14 Redundant Traces, 1 Preserved, 14 Remained 
Arrays_SortBeforeBinarySearch @ CommandLine.java:17051: 1 Unique Traces, 886 Redundant Traces, 1 Preserved, 82 Remained 
Arrays_SortBeforeBinarySearch @ CommandLine.java:17056: 1 Unique Traces, 687 Redundant Traces, 1 Preserved, 37 Remained 
Arrays_SortBeforeBinarySearch @ TokenType.java:60: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
CharSequence_NotInMap @ CommandLine.java:6086: 1 Unique Traces, 320 Redundant Traces, 1 Preserved, 29 Remained 
CharSequence_NotInMap @ CommandLine.java:6087: 1 Unique Traces, 320 Redundant Traces, 1 Preserved, 60 Remained 
Collection_UnsafeIterator @ ApplyScoreCommand.java:160: 2 Unique Traces, 56 Redundant Traces, 2 Preserved, 18 Remained 
Collection_UnsafeIterator @ ApplyScoreCommand.java:174: 2 Unique Traces, 56 Redundant Traces, 2 Preserved, 13 Remained 
Collection_UnsafeIterator @ ApplyScoreCommand.java:368: 3 Unique Traces, 205 Redundant Traces, 2 Preserved, 59 Remained 
Collection_UnsafeIterator @ ArrayWrapper.java:26: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Collection_UnsafeIterator @ CommandLine.java:242: 2 Unique Traces, 105 Redundant Traces, 1 Preserved, 22 Remained 
Collection_UnsafeIterator @ CommandLine.java:1299: 2 Unique Traces, 104 Redundant Traces, 1 Preserved, 21 Remained 
Collection_UnsafeIterator @ CommandLine.java:1327: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ CommandLine.java:1580: 2 Unique Traces, 105 Redundant Traces, 1 Preserved, 6 Remained 
Collection_UnsafeIterator @ CommandLine.java:1988: 2 Unique Traces, 72 Redundant Traces, 1 Preserved, 7 Remained 
Collection_UnsafeIterator @ CommandLine.java:2282: 1 Unique Traces, 73 Redundant Traces, 1 Preserved, 21 Remained 
Collection_UnsafeIterator @ CommandLine.java:2297: 1 Unique Traces, 73 Redundant Traces, 1 Preserved, 29 Remained 
Collection_UnsafeIterator @ CommandLine.java:2785: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ CommandLine.java:3332: 7 Unique Traces, 207 Redundant Traces, 3 Preserved, 55 Remained 
Collection_UnsafeIterator @ CommandLine.java:5956: 2 Unique Traces, 212 Redundant Traces, 2 Preserved, 28 Remained 
Collection_UnsafeIterator @ CommandLine.java:6050: 1 Unique Traces, 437 Redundant Traces, 1 Preserved, 64 Remained 
Collection_UnsafeIterator @ CommandLine.java:6413: 7 Unique Traces, 207 Redundant Traces, 1 Preserved, 13 Remained 
Collection_UnsafeIterator @ CommandLine.java:6445: 1 Unique Traces, 106 Redundant Traces, 1 Preserved, 11 Remained 
Collection_UnsafeIterator @ CommandLine.java:6448: 2 Unique Traces, 105 Redundant Traces, 1 Preserved, 7 Remained 
Collection_UnsafeIterator @ CommandLine.java:6536: 7 Unique Traces, 132 Redundant Traces, 3 Preserved, 29 Remained 
Collection_UnsafeIterator @ CommandLine.java:6537: 2 Unique Traces, 137 Redundant Traces, 2 Preserved, 47 Remained 
Collection_UnsafeIterator @ CommandLine.java:6538: 2 Unique Traces, 137 Redundant Traces, 1 Preserved, 13 Remained 
Collection_UnsafeIterator @ CommandLine.java:6595: 1 Unique Traces, 31 Redundant Traces, 1 Preserved, 31 Remained 
Collection_UnsafeIterator @ CommandLine.java:6694: 1 Unique Traces, 31 Redundant Traces, 1 Preserved, 7 Remained 
Collection_UnsafeIterator @ CommandLine.java:6742: 1 Unique Traces, 213 Redundant Traces, 1 Preserved, 36 Remained 
Collection_UnsafeIterator @ CommandLine.java:6958: 1 Unique Traces, 61 Redundant Traces, 1 Preserved, 9 Remained 
Collection_UnsafeIterator @ CommandLine.java:6978: 1 Unique Traces, 61 Redundant Traces, 1 Preserved, 44 Remained 
Collection_UnsafeIterator @ CommandLine.java:6981: 1 Unique Traces, 61 Redundant Traces, 1 Preserved, 14 Remained 
Collection_UnsafeIterator @ CommandLine.java:6992: 1 Unique Traces, 61 Redundant Traces, 1 Preserved, 13 Remained 
Collection_UnsafeIterator @ CommandLine.java:7069: 1 Unique Traces, 95 Redundant Traces, 1 Preserved, 67 Remained 
Collection_UnsafeIterator @ CommandLine.java:7554: 3 Unique Traces, 435 Redundant Traces, 1 Preserved, 19 Remained 
Collection_UnsafeIterator @ CommandLine.java:9432: 3 Unique Traces, 216 Redundant Traces, 1 Preserved, 13 Remained 
Collection_UnsafeIterator @ CommandLine.java:10412: 1 Unique Traces, 61 Redundant Traces, 1 Preserved, 6 Remained 
Collection_UnsafeIterator @ CommandLine.java:10413: 1 Unique Traces, 61 Redundant Traces, 1 Preserved, 6 Remained 
Collection_UnsafeIterator @ CommandLine.java:10543: 1 Unique Traces, 145 Redundant Traces, 1 Preserved, 14 Remained 
Collection_UnsafeIterator @ CommandLine.java:10560: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ CommandLine.java:10571: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ CommandLine.java:10637: 1 Unique Traces, 245 Redundant Traces, 1 Preserved, 21 Remained 
Collection_UnsafeIterator @ CommandLine.java:10638: 1 Unique Traces, 245 Redundant Traces, 1 Preserved, 55 Remained 
Collection_UnsafeIterator @ CommandLine.java:10666: 1 Unique Traces, 245 Redundant Traces, 1 Preserved, 30 Remained 
Collection_UnsafeIterator @ CommandLine.java:10675: 1 Unique Traces, 245 Redundant Traces, 1 Preserved, 12 Remained 
Collection_UnsafeIterator @ CommandLine.java:10703: 1 Unique Traces, 63 Redundant Traces, 1 Preserved, 7 Remained 
Collection_UnsafeIterator @ CommandLine.java:10762: 1 Unique Traces, 36 Redundant Traces, 1 Preserved, 36 Remained 
Collection_UnsafeIterator @ CommandLine.java:10770: 1 Unique Traces, 36 Redundant Traces, 1 Preserved, 36 Remained 
Collection_UnsafeIterator @ CommandLine.java:10774: 1 Unique Traces, 36 Redundant Traces, 1 Preserved, 17 Remained 
Collection_UnsafeIterator @ CommandLine.java:11881: 1 Unique Traces, 31 Redundant Traces, 1 Preserved, 31 Remained 
Collection_UnsafeIterator @ CommandLine.java:11894: 1 Unique Traces, 213 Redundant Traces, 1 Preserved, 27 Remained 
Collection_UnsafeIterator @ CommandLine.java:12280: 2 Unique Traces, 2 Redundant Traces, 2 Preserved, 2 Remained 
Collection_UnsafeIterator @ CommandLine.java:12353: 1 Unique Traces, 6045 Redundant Traces, 1 Preserved, 327 Remained 
Collection_UnsafeIterator @ CommandLine.java:12644: 2 Unique Traces, 226 Redundant Traces, 1 Preserved, 29 Remained 
Collection_UnsafeIterator @ CommandLine.java:12649: 2 Unique Traces, 75 Redundant Traces, 2 Preserved, 7 Remained 
Collection_UnsafeIterator @ CommandLine.java:12918: 1 Unique Traces, 72 Redundant Traces, 1 Preserved, 9 Remained 
Collection_UnsafeIterator @ CommandLine.java:12934: 2 Unique Traces, 224 Redundant Traces, 2 Preserved, 55 Remained 
Collection_UnsafeIterator @ CommandLine.java:12937: 2 Unique Traces, 184 Redundant Traces, 1 Preserved, 12 Remained 
Collection_UnsafeIterator @ CommandLine.java:12944: 2 Unique Traces, 277 Redundant Traces, 2 Preserved, 15 Remained 
Collection_UnsafeIterator @ CommandLine.java:12945: 1 Unique Traces, 255 Redundant Traces, 1 Preserved, 38 Remained 
Collection_UnsafeIterator @ CommandLine.java:12984: 2 Unique Traces, 58 Redundant Traces, 2 Preserved, 40 Remained 
Collection_UnsafeIterator @ CommandLine.java:12985: 1 Unique Traces, 36 Redundant Traces, 1 Preserved, 21 Remained 
Collection_UnsafeIterator @ CommandLine.java:13001: 2 Unique Traces, 112 Redundant Traces, 2 Preserved, 33 Remained 
Collection_UnsafeIterator @ CommandLine.java:13016: 3 Unique Traces, 111 Redundant Traces, 1 Preserved, 12 Remained 
Collection_UnsafeIterator @ CommandLine.java:13221: 2 Unique Traces, 71 Redundant Traces, 2 Preserved, 67 Remained 
Collection_UnsafeIterator @ CommandLine.java:13266: 3 Unique Traces, 71 Redundant Traces, 3 Preserved, 47 Remained 
Collection_UnsafeIterator @ CommandLine.java:13297: 1 Unique Traces, 35 Redundant Traces, 1 Preserved, 30 Remained 
Collection_UnsafeIterator @ CommandLine.java:13305: 1 Unique Traces, 35 Redundant Traces, 1 Preserved, 17 Remained 
Collection_UnsafeIterator @ CommandLine.java:13529: 4 Unique Traces, 73 Redundant Traces, 3 Preserved, 25 Remained 
Collection_UnsafeIterator @ CommandLine.java:13530: 2 Unique Traces, 75 Redundant Traces, 2 Preserved, 12 Remained 
Collection_UnsafeIterator @ CommandLine.java:13531: 2 Unique Traces, 75 Redundant Traces, 2 Preserved, 27 Remained 
Collection_UnsafeIterator @ CommandLine.java:13532: 1 Unique Traces, 76 Redundant Traces, 1 Preserved, 11 Remained 
Collection_UnsafeIterator @ CommandLine.java:13546: 1 Unique Traces, 59 Redundant Traces, 1 Preserved, 28 Remained 
Collection_UnsafeIterator @ CommandLine.java:13547: 1 Unique Traces, 59 Redundant Traces, 1 Preserved, 59 Remained 
Collection_UnsafeIterator @ CommandLine.java:13619: 1 Unique Traces, 76 Redundant Traces, 1 Preserved, 10 Remained 
Collection_UnsafeIterator @ CommandLine.java:13674: 4 Unique Traces, 73 Redundant Traces, 1 Preserved, 6 Remained 
Collection_UnsafeIterator @ CommandLine.java:13683: 2 Unique Traces, 75 Redundant Traces, 2 Preserved, 14 Remained 
Collection_UnsafeIterator @ CommandLine.java:13691: 1 Unique Traces, 59 Redundant Traces, 1 Preserved, 19 Remained 
Collection_UnsafeIterator @ CommandLine.java:13700: 1 Unique Traces, 59 Redundant Traces, 1 Preserved, 45 Remained 
Collection_UnsafeIterator @ CommandLine.java:13890: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collection_UnsafeIterator @ CommandLine.java:14001: 1 Unique Traces, 96 Redundant Traces, 1 Preserved, 3 Remained 
Collection_UnsafeIterator @ CommandLine.java:14534: 1 Unique Traces, 29 Redundant Traces, 1 Preserved, 5 Remained 
Collection_UnsafeIterator @ CommandLine.java:14567: 1 Unique Traces, 66 Redundant Traces, 1 Preserved, 16 Remained 
Collection_UnsafeIterator @ CommandLine.java:15620: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ CommandLine.java:15626: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ CommandLine.java:15632: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ CommandLine.java:15765: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ CommandLine.java:15787: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ CommandLine.java:15823: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ CommandLine.java:15849: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ CommandLine.java:15905: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ CommandLine.java:15970: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ CommandLine.java:15971: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ CommandLine.java:15980: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ CommandLine.java:15981: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ CommandLine.java:16090: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ CommandLine.java:16119: 2 Unique Traces, 4 Redundant Traces, 2 Preserved, 4 Remained 
Collection_UnsafeIterator @ CommandLine.java:16332: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ CommandLine.java:16507: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collection_UnsafeIterator @ CommandLine.java:16519: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collection_UnsafeIterator @ CommandLine.java:16986: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ CommandLine.java:17016: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ CommandLine.java:18243: 14 Unique Traces, 328 Redundant Traces, 12 Preserved, 61 Remained 
Collection_UnsafeIterator @ CommandLine.java:18270: 42 Unique Traces, 3190 Redundant Traces, 3 Preserved, 179 Remained 
Collection_UnsafeIterator @ CommandLine.java:18274: 4 Unique Traces, 3228 Redundant Traces, 3 Preserved, 158 Remained 
