Appendable_ThreadSafe @ DisplayTool.java:15: 1 Unique Traces, 74 Redundant Traces, 1 Preserved, 4 Remained 
Iterator_RemoveOnce @ AlphabetTreeNode.java:63: 107 Unique Traces, 234 Redundant Traces, 107 Preserved, 234 Remained 
Iterator_RemoveOnce @ DisplayTool.java:14: 5 Unique Traces, 6 Redundant Traces, 5 Preserved, 5 Remained 
Iterator_RemoveOnce @ DisplayTool.java:18: 5 Unique Traces, 6 Redundant Traces, 5 Preserved, 5 Remained 
Iterator_RemoveOnce @ Gson.java:358: 4 Unique Traces, 56 Redundant Traces, 4 Preserved, 15 Remained 
Iterator_RemoveOnce @ HeuristicTool.java:89: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ IsolationForest.java:51: 1 Unique Traces, 400459 Redundant Traces, 1 Preserved, 10000 Remained 
StringBuilder_ThreadSafe @ DisplayTool.java:15: 1 Unique Traces, 74 Redundant Traces, 1 Preserved, 7 Remained 
StringBuilder_ThreadSafe @ DisplayTool.java:19: 1 Unique Traces, 74 Redundant Traces, 1 Preserved, 17 Remained 
StringBuilder_ThreadSafe @ FileTool.java:32: 1 Unique Traces, 4319 Redundant Traces, 1 Preserved, 216 Remained 
StringBuilder_ThreadSafe @ GrubbsTool.java:39: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
StringBuilder_ThreadSafe @ HoltWintersTool.java:84: 1 Unique Traces, 427 Redundant Traces, 1 Preserved, 55 Remained 
StringBuilder_ThreadSafe @ HoltWintersTool.java:115: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
StringBuilder_ThreadSafe @ JsonReader.java:1013: 1 Unique Traces, 21467 Redundant Traces, 1 Preserved, 1143 Remained 
StringBuilder_ThreadSafe @ JsonReader.java:1028: 1 Unique Traces, 131 Redundant Traces, 1 Preserved, 22 Remained 
StringBuilder_ThreadSafe @ LOFDetectTool.java:63: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
