Appendable_ThreadSafe @ CSVParser.java:620: 4 Unique Traces, 11 Redundant Traces, 4 Preserved, 11 Remained 
Appendable_ThreadSafe @ IndexTest31_60Test.java:320: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ IndexTest31_60Test.java:340: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ IndexTest31_60Test.java:360: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ IndexTest31_60Test.java:379: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ IndexTest31_60Test.java:382: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ IndexTest31_60Test.java:400: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ IndexTest31_60Test.java:403: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ IndexTest61_90Test.java:38: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ IndexTest61_90Test.java:41: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ IndexTest61_90Test.java:63: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ IndexTest61_90Test.java:66: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ IndexTest61_90Test.java:86: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ IndexTest61_90Test.java:89: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ KeywordSearch.java:96: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ PojoAdapter.java:110: 1 Unique Traces, 30296 Redundant Traces, 1 Preserved, 1533 Remained 
Appendable_ThreadSafe @ PojoAdapter.java:119: 1 Unique Traces, 997469 Redundant Traces, 1 Preserved, 9999 Remained 
Appendable_ThreadSafe @ PojoAdapter.java:120: 1 Unique Traces, 988334 Redundant Traces, 1 Preserved, 10000 Remained 
Appendable_ThreadSafe @ PojoAdapter.java:123: 1 Unique Traces, 988089 Redundant Traces, 1 Preserved, 9999 Remained 
Appendable_ThreadSafe @ PojoAdapter.java:285: 1 Unique Traces, 30297 Redundant Traces, 1 Preserved, 1494 Remained 
Appendable_ThreadSafe @ Range.java:85: 1 Unique Traces, 76779 Redundant Traces, 1 Preserved, 3825 Remained 
Appendable_ThreadSafe @ RangeParser.java:152: 1 Unique Traces, 12 Redundant Traces, 1 Preserved, 12 Remained 
Appendable_ThreadSafe @ SpellCheckUtil.java:165: 1 Unique Traces, 15229 Redundant Traces, 1 Preserved, 756 Remained 
Appendable_ThreadSafe @ StoreLoader.java:608: 9 Unique Traces, 5 Redundant Traces, 9 Preserved, 5 Remained 
Appendable_ThreadSafe @ StoreSearch.java:487: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ StoreSearch.java:686: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ StoreSearch.java:767: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ StoreSearch.java:798: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Arrays_SortBeforeBinarySearch @ StoreSearch.java:804: 1 Unique Traces, 163 Redundant Traces, 1 Preserved, 12 Remained 
CharSequence_NotInMap @ SpellCheckUtil.java:71: 6 Unique Traces, 17 Redundant Traces, 5 Preserved, 9 Remained 
CharSequence_NotInMap @ StoreSearch.java:929: 1 Unique Traces, 199065 Redundant Traces, 1 Preserved, 9918 Remained 
Collection_UnsafeIterator @ Condition.java:320: 25 Unique Traces, 308 Redundant Traces, 5 Preserved, 17 Remained 
Collection_UnsafeIterator @ IndexKeys31_60Test.java:224: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ KeywordSearch.java:59: 6 Unique Traces, 28 Redundant Traces, 2 Preserved, 10 Remained 
Collection_UnsafeIterator @ KeywordSearch.java:261: 5 Unique Traces, 3 Redundant Traces, 5 Preserved, 3 Remained 
Collection_UnsafeIterator @ KeywordSearch.java:391: 3 Unique Traces, 155 Redundant Traces, 2 Preserved, 25 Remained 
Collection_UnsafeIterator @ KeywordSearch.java:476: 5 Unique Traces, 25 Redundant Traces, 3 Preserved, 6 Remained 
Collection_UnsafeIterator @ LogicalUtil.java:151: 12 Unique Traces, 281 Redundant Traces, 7 Preserved, 35 Remained 
Collection_UnsafeIterator @ LogicalUtil.java:180: 3 Unique Traces, 15 Redundant Traces, 1 Preserved, 1 Remained 
Collection_UnsafeIterator @ LogicalUtil.java:181: 10 Unique Traces, 1024 Redundant Traces, 2 Preserved, 71 Remained 
Collection_UnsafeIterator @ LogicalUtil.java:186: 5 Unique Traces, 13 Redundant Traces, 4 Preserved, 13 Remained 
Collection_UnsafeIterator @ LogicalUtil.java:188: 62 Unique Traces, 2045 Redundant Traces, 8 Preserved, 138 Remained 
Collection_UnsafeIterator @ LogicalUtil.java:208: 5 Unique Traces, 50 Redundant Traces, 4 Preserved, 5 Remained 
Collection_UnsafeIterator @ LogicalUtil.java:210: 42 Unique Traces, 148 Redundant Traces, 19 Preserved, 23 Remained 
Collection_UnsafeIterator @ LogicalUtil.java:215: 4 Unique Traces, 3390 Redundant Traces, 2 Preserved, 179 Remained 
Collection_UnsafeIterator @ LogicalUtil.java:264: 4 Unique Traces, 118 Redundant Traces, 2 Preserved, 11 Remained 
Collection_UnsafeIterator @ LogicalUtil.java:266: 22 Unique Traces, 113 Redundant Traces, 3 Preserved, 11 Remained 
Collection_UnsafeIterator @ LogicalUtil.java:272: 10 Unique Traces, 9056 Redundant Traces, 4 Preserved, 518 Remained 
Collection_UnsafeIterator @ MovieTest.java:350: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ SearchableRangeTest.java:34: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ SearchableRangeTest.java:54: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ SearchableRangeTest.java:74: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ SearchableRangeTest.java:120: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ SearchableRangeTest.java:144: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ SearchableRangeTest.java:163: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ SpellCheckUtil.java:70: 7 Unique Traces, 18 Redundant Traces, 7 Preserved, 18 Remained 
Collection_UnsafeIterator @ SpellCheckUtil.java:156: 21 Unique Traces, 15213 Redundant Traces, 2 Preserved, 780 Remained 
Collection_UnsafeIterator @ StoreLoader.java:115: 44627 Unique Traces, 160988 Redundant Traces, 2529 Preserved, 9928 Remained 
Collection_UnsafeIterator @ StoreLoader.java:226: 17 Unique Traces, 163369 Redundant Traces, 4 Preserved, 8191 Remained 
Collection_UnsafeIterator @ StoreLoader.java:520: 8 Unique Traces, 125 Redundant Traces, 8 Preserved, 125 Remained 
Collection_UnsafeIterator @ StoreLoader.java:524: 8 Unique Traces, 125 Redundant Traces, 8 Preserved, 125 Remained 
Collection_UnsafeIterator @ StoreLoader.java:539: 8 Unique Traces, 125 Redundant Traces, 1 Preserved, 11 Remained 
Collection_UnsafeIterator @ StoreLoader.java:540: 5 Unique Traces, 4732 Redundant Traces, 3 Preserved, 243 Remained 
Collection_UnsafeIterator @ StoreLoader.java:616: 4 Unique Traces, 390 Redundant Traces, 2 Preserved, 38 Remained 
Collection_UnsafeIterator @ StoreSearch.java:240: 14 Unique Traces, 147 Redundant Traces, 6 Preserved, 25 Remained 
Collection_UnsafeIterator @ StoreSearch.java:241: 70 Unique Traces, 4497 Redundant Traces, 13 Preserved, 257 Remained 
Collection_UnsafeIterator @ StoreSearch.java:362: 2 Unique Traces, 17 Redundant Traces, 2 Preserved, 3 Remained 
Collection_UnsafeIterator @ StoreSearch.java:374: 3 Unique Traces, 8 Redundant Traces, 3 Preserved, 5 Remained 
Collection_UnsafeIterator @ StoreSearch.java:379: 2 Unique Traces, 12 Redundant Traces, 1 Preserved, 4 Remained 
Collection_UnsafeIterator @ StoreSearch.java:386: 3 Unique Traces, 73 Redundant Traces, 1 Preserved, 6 Remained 
Collection_UnsafeIterator @ StoreSearch.java:427: 4 Unique Traces, 4 Redundant Traces, 3 Preserved, 4 Remained 
Collection_UnsafeIterator @ StoreSearch.java:439: 2 Unique Traces, 12 Redundant Traces, 2 Preserved, 12 Remained 
Collection_UnsafeIterator @ StoreSearch.java:461: 6 Unique Traces, 140 Redundant Traces, 5 Preserved, 25 Remained 
Collection_UnsafeIterator @ StoreSearch.java:513: 2 Unique Traces, 0 Redundant Traces, 2 Preserved, 0 Remained 
Collection_UnsafeIterator @ StoreSearch.java:518: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Collection_UnsafeIterator @ StoreSearch.java:519: 2 Unique Traces, 2 Redundant Traces, 2 Preserved, 2 Remained 
Collection_UnsafeIterator @ StoreSearch.java:541: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collection_UnsafeIterator @ StoreSearch.java:551: 2 Unique Traces, 4 Redundant Traces, 2 Preserved, 4 Remained 
Collection_UnsafeIterator @ StoreSearch.java:558: 2 Unique Traces, 4 Redundant Traces, 2 Preserved, 4 Remained 
Collection_UnsafeIterator @ StoreSearch.java:570: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ StoreSearch.java:605: 5 Unique Traces, 2 Redundant Traces, 5 Preserved, 2 Remained 
Collection_UnsafeIterator @ StoreSearch.java:622: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ StoreSearch.java:653: 6 Unique Traces, 10 Redundant Traces, 6 Preserved, 4 Remained 
Collection_UnsafeIterator @ StoreSearch.java:669: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ StoreSearch.java:703: 6 Unique Traces, 13 Redundant Traces, 6 Preserved, 12 Remained 
Collection_UnsafeIterator @ StoreSearch.java:737: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collection_UnsafeIterator @ StoreSearch.java:763: 7 Unique Traces, 159 Redundant Traces, 3 Preserved, 34 Remained 
Collection_UnsafeIterator @ StoreSearch.java:936: 5 Unique Traces, 138027 Redundant Traces, 1 Preserved, 6966 Remained 
Collection_UnsynchronizedAddAll @ KeywordSearch.java:397: 1 Unique Traces, 39 Redundant Traces, 1 Preserved, 24 Remained 
Collection_UnsynchronizedAddAll @ LogicalUtil.java:283: 1 Unique Traces, 5351 Redundant Traces, 1 Preserved, 291 Remained 
Collection_UnsynchronizedAddAll @ StoreSearch.java:566: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ BooksTest.java:94: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ BooksTest.java:124: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ BooksTest.java:127: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ BooksTest.java:153: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ BooksTest.java:156: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ BooksTest.java:191: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ BooksTest.java:208: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ BooksTest.java:226: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ BooksTest.java:243: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ BooksTest.java:245: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ BooksTest.java:264: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ BooksTest.java:267: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ BooksTest.java:301: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ BooksTest.java:304: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ BooksTest.java:309: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ BooksTest.java:351: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ BooksTest.java:354: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ BooksTest.java:359: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ BooksTest.java:391: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ BooksTest.java:395: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ BooksTest.java:400: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ BooksTest.java:428: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ CSVParser.java:441: 6 Unique Traces, 44622 Redundant Traces, 3 Preserved, 2235 Remained 
Collections_SortBeforeBinarySearch @ Condition.java:199: 4 Unique Traces, 31 Redundant Traces, 1 Preserved, 8 Remained 
Collections_SortBeforeBinarySearch @ Condition.java:220: 3 Unique Traces, 49 Redundant Traces, 1 Preserved, 8 Remained 
Collections_SortBeforeBinarySearch @ Condition.java:318: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ Condition.java:324: 7 Unique Traces, 326 Redundant Traces, 3 Preserved, 42 Remained 
Collections_SortBeforeBinarySearch @ Condition.java:358: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ CongressResignationsTest.java:90: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ CongressResignationsTest.java:106: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ CongressResignationsTest.java:109: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ CongressResignationsTest.java:126: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ CongressResignationsTest.java:129: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ CongressResignationsTest.java:155: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ CongressResignationsTest.java:159: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ CongressResignationsTest.java:178: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ CongressResignationsTest.java:182: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ CongressResignationsTest.java:201: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ CongressResignationsTest.java:205: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ CongressResignationsTest.java:236: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ CongressResignationsTest.java:240: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ CongressResignationsTest.java:263: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ CongressResignationsTest.java:267: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ CongressResignationsTest.java:287: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ CongressResignationsTest.java:293: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ CongressResignationsTest.java:296: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ DeathYearTest.java:80: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ DeathYearTest.java:84: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ DeathYearTest.java:96: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ DeathYearTest.java:108: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ DeathYearTest.java:120: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ DeathYearTest.java:132: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ DeathYearTest.java:144: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ DeathYearTest.java:157: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ DeathYearTest.java:161: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ DeathYearTest.java:174: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ DeathYearTest.java:177: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ DeathYearTest.java:190: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ DeathYearTest.java:193: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ DeathYearTest.java:207: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ DeathYearTest.java:220: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ DeathYearTest.java:234: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ DeathYearTest.java:248: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ DeathYearTest.java:262: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ DeathYearTest.java:275: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ DeathYearTest.java:289: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ DeathYearTest.java:303: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ DeathYearTest.java:317: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ DeathYearTest.java:331: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ DeathYearTest.java:346: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ DummyObjectTest.java:48: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ DummyObjectTest.java:88: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ DummyObjectTest.java:139: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ DummyObjectTest.java:208: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ DummyObjectTest.java:254: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ KeywordSearch.java:80: 1 Unique Traces, 25 Redundant Traces, 1 Preserved, 18 Remained 
Collections_SortBeforeBinarySearch @ KeywordSearch.java:87: 3 Unique Traces, 38 Redundant Traces, 2 Preserved, 6 Remained 
Collections_SortBeforeBinarySearch @ KeywordSearch.java:99: 6 Unique Traces, 24 Redundant Traces, 4 Preserved, 3 Remained 
Collections_SortBeforeBinarySearch @ KeywordSearch.java:112: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ KeywordSearch.java:283: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
Collections_SortBeforeBinarySearch @ KeywordSearch.java:392: 6 Unique Traces, 152 Redundant Traces, 3 Preserved, 60 Remained 
Collections_SortBeforeBinarySearch @ LogicalUtil.java:190: 9 Unique Traces, 1024 Redundant Traces, 1 Preserved, 53 Remained 
Collections_SortBeforeBinarySearch @ LogicalUtil.java:195: 4 Unique Traces, 14 Redundant Traces, 4 Preserved, 2 Remained 
Collections_SortBeforeBinarySearch @ LogicalUtil.java:217: 18 Unique Traces, 138 Redundant Traces, 18 Preserved, 138 Remained 
Collections_SortBeforeBinarySearch @ LogicalUtil.java:223: 4 Unique Traces, 28 Redundant Traces, 4 Preserved, 18 Remained 
Collections_SortBeforeBinarySearch @ LogicalUtil.java:283: 23 Unique Traces, 92 Redundant Traces, 23 Preserved, 92 Remained 
Collections_SortBeforeBinarySearch @ LogicalUtil.java:287: 3 Unique Traces, 91 Redundant Traces, 2 Preserved, 15 Remained 
Collections_SortBeforeBinarySearch @ LogicalUtil.java:345: 24 Unique Traces, 5502 Redundant Traces, 5 Preserved, 269 Remained 
Collections_SortBeforeBinarySearch @ LogicalUtil.java:392: 4 Unique Traces, 269396 Redundant Traces, 2 Preserved, 13522 Remained 
Collections_SortBeforeBinarySearch @ LogicalUtil.java:399: 9222 Unique Traces, 21 Redundant Traces, 8642 Preserved, 12 Remained 
Collections_SortBeforeBinarySearch @ LogicalUtil.java:406: 12 Unique Traces, 27 Redundant Traces, 12 Preserved, 27 Remained 
Collections_SortBeforeBinarySearch @ LogicalUtilTest.java:30: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ LogicalUtilTest.java:32: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ LogicalUtilTest.java:40: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ LogicalUtilTest.java:43: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ LogicalUtilTest.java:51: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ LogicalUtilTest.java:58: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ LogicalUtilTest.java:69: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ LogicalUtilTest.java:71: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ LogicalUtilTest.java:85: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ LogicalUtilTest.java:87: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
