Appendable_ThreadSafe @ DefaultChannelSelectStrategyTest.java:13: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ StringUtil.java:56: 1 Unique Traces, 15 Redundant Traces, 1 Preserved, 4 Remained 
Appendable_ThreadSafe @ Util.java:128: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Arrays_SortBeforeBinarySearch @ IntObjectHashMap.java:96: 1 Unique Traces, 11 Redundant Traces, 1 Preserved, 11 Remained 
Collection_UnsafeIterator @ NetUtilInitializations.java:92: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ NativeLibraryLoader.java:139: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ NetUtilInitializations.java:79: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ ProvisionNode.java:27: 7 Unique Traces, 2 Redundant Traces, 6 Preserved, 2 Remained 
Console_CloseReader @ NetUtil.java:199: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Console_CloseReader @ PlatformDependent.java:254: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ NetUtilInitializations.java:92: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ NetUtilInitializations.java:92: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Reader_ManipulateAfterClose @ NetUtil.java:199: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Reader_ManipulateAfterClose @ PlatformDependent.java:254: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ DefaultChannelSelectStrategyTest.java:13: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ DefaultChannelSelectStrategyTest.java:14: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ DefaultChannelSelectStrategyTest.java:15: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ DefaultPromise.java:38: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ DefaultThreadFactory.java:78: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ DefaultThreadFactory.java:93: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ MessageFormatter.java:197: 5 Unique Traces, 15 Redundant Traces, 2 Preserved, 1 Remained 
StringBuilder_ThreadSafe @ Native.java:302: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ NativeLibraryLoader.java:73: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ NativeLibraryLoader.java:132: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ NativeLibraryLoader.java:143: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ RingBlockingQueueTest.java:13: 1 Unique Traces, 9999999 Redundant Traces, 1 Preserved, 10000 Remained 
StringBuilder_ThreadSafe @ RingBlockingQueueTest.java:15: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ RingBlockingQueueTest.java:19: 1 Unique Traces, 9999999 Redundant Traces, 1 Preserved, 9999 Remained 
StringBuilder_ThreadSafe @ RingBlockingQueueTest.java:21: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ RingBlockingQueueTest.java:29: 1 Unique Traces, 9 Redundant Traces, 1 Preserved, 9 Remained 
StringBuilder_ThreadSafe @ StringTest.java:19: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ StringTest.java:20: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ StringTest.java:28: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ StringUtil.java:21: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ StringUtil.java:56: 1 Unique Traces, 15 Redundant Traces, 1 Preserved, 15 Remained 
StringBuilder_ThreadSafe @ Util.java:128: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Throwable_InitCauseOnce @ DefaultPromise.java:862: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Throwable_InitCauseOnce @ GlobalEventExecutor.java:65: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Throwable_InitCauseOnce @ Native.java:138: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Throwable_InitCauseOnce @ Slf4JLoggerFactory.java:45: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
