Appendable_ThreadSafe @ Bug102Test.java:91: 1 Unique Traces, 17 Redundant Traces, 1 Preserved, 5 Remained 
Appendable_ThreadSafe @ DBFWriter.java:322: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ DBFWriter.java:328: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ DBFWriterRandomAccesTest.java:56: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Appendable_ThreadSafe @ DBFWriterRandomAccesTest.java:75: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Appendable_ThreadSafe @ DbfToTxtTest.java:47: 1 Unique Traces, 64959 Redundant Traces, 1 Preserved, 3324 Remained 
Appendable_ThreadSafe @ DbfToTxtTest.java:82: 1 Unique Traces, 167 Redundant Traces, 1 Preserved, 36 Remained 
Appendable_ThreadSafe @ DbfToTxtTest.java:100: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Appendable_ThreadSafe @ ReadDBFAssert.java:40: 1 Unique Traces, 6 Redundant Traces, 1 Preserved, 6 Remained 
Appendable_ThreadSafe @ ReadDBFAssert.java:80: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ ZeroFieldCountTest.java:29: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Arrays_SortBeforeBinarySearch @ DBFRow.java:39: 1 Unique Traces, 500 Redundant Traces, 1 Preserved, 34 Remained 
ByteArrayOutputStream_FlushBeforeRetrieve @ DBFWriter.java:367: 9 Unique Traces, 0 Redundant Traces, 9 Preserved, 0 Remained 
Collection_UnsafeIterator @ DBFUtilsTest.java:223: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ DBFWriter.java:372: 6 Unique Traces, 17 Redundant Traces, 3 Preserved, 5 Remained 
Collections_SortBeforeBinarySearch @ Bug34CharacterEncodingTest.java:58: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ DBFExploderInputStream.java:67: 3 Unique Traces, 0 Redundant Traces, 3 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ DBFHeader.java:144: 4 Unique Traces, 4 Redundant Traces, 4 Preserved, 4 Remained 
Collections_SortBeforeBinarySearch @ DBFHeader.java:159: 20 Unique Traces, 45 Redundant Traces, 10 Preserved, 12 Remained 
Collections_SortBeforeBinarySearch @ DBFHeader.java:178: 3 Unique Traces, 3 Redundant Traces, 3 Preserved, 3 Remained 
Collections_SortBeforeBinarySearch @ DBFHeader.java:182: 21 Unique Traces, 46 Redundant Traces, 7 Preserved, 4 Remained 
Collections_SortBeforeBinarySearch @ DBFReader.java:349: 3 Unique Traces, 1966 Redundant Traces, 2 Preserved, 122 Remained 
Collections_SortBeforeBinarySearch @ DBFReader.java:391: 23 Unique Traces, 2225 Redundant Traces, 3 Preserved, 138 Remained 
Collections_SortBeforeBinarySearch @ DBFUtilsTest.java:206: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ DBFWriter.java:234: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ DBFWriter.java:351: 5 Unique Traces, 7 Redundant Traces, 5 Preserved, 7 Remained 
Collections_SortBeforeBinarySearch @ EncodingTest.java:154: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
InputStream_ManipulateAfterClose @ Bug94ErrorF5Test.java:50: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
InputStream_ManipulateAfterClose @ FixtureDBaseF5Test.java:115: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
InputStream_MarkAfterClose @ Bug94ErrorF5Test.java:50: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
InputStream_MarkAfterClose @ FixtureDBaseF5Test.java:115: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
InputStream_UnmarkedReset @ DBFMemoFile.java:73: 9 Unique Traces, 3 Redundant Traces, 9 Preserved, 3 Remained 
Iterator_HasNext @ DBFUtilsTest.java:223: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ DBFWriter.java:372: 6 Unique Traces, 17 Redundant Traces, 6 Preserved, 17 Remained 
Iterator_RemoveOnce @ DBFUtilsTest.java:223: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ DBFWriter.java:372: 5 Unique Traces, 7 Redundant Traces, 3 Preserved, 1 Remained 
StringBuilder_ThreadSafe @ Bug102Test.java:91: 1 Unique Traces, 17 Redundant Traces, 1 Preserved, 1 Remained 
StringBuilder_ThreadSafe @ Bug102Test.java:94: 1 Unique Traces, 395 Redundant Traces, 1 Preserved, 44 Remained 
StringBuilder_ThreadSafe @ Bug102Test.java:159: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ Bug34CharacterEncodingTest.java:50: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ Bug49Test.java:33: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
StringBuilder_ThreadSafe @ Bug49Test.java:35: 1 Unique Traces, 23 Redundant Traces, 1 Preserved, 23 Remained 
StringBuilder_ThreadSafe @ Bug56Test.java:33: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ Bug56Test.java:36: 1 Unique Traces, 12 Redundant Traces, 1 Preserved, 12 Remained 
StringBuilder_ThreadSafe @ Bug56Test.java:39: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ Bug64ExcelDBFTest.java:34: 1 Unique Traces, 15 Redundant Traces, 1 Preserved, 5 Remained 
StringBuilder_ThreadSafe @ Bug64ExcelDBFTest.java:36: 1 Unique Traces, 159 Redundant Traces, 1 Preserved, 11 Remained 
StringBuilder_ThreadSafe @ DBFDataType.java:201: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ DBFField.java:444: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
StringBuilder_ThreadSafe @ DBFField.java:467: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ DBFField.java:492: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ DBFField.java:521: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
StringBuilder_ThreadSafe @ DBFLockWriterTest.java:39: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
StringBuilder_ThreadSafe @ DBFLockWriterTest.java:58: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
StringBuilder_ThreadSafe @ DBFReader.java:301: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ DBFReader.java:396: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ DBFReader.java:477: 1 Unique Traces, 224 Redundant Traces, 1 Preserved, 32 Remained 
StringBuilder_ThreadSafe @ DBFReader.java:647: 2 Unique Traces, 0 Redundant Traces, 2 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ DBFRow.java:51: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ DBFRow.java:109: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ DBFRowTest.java:35: 1 Unique Traces, 51 Redundant Traces, 1 Preserved, 13 Remained 
StringBuilder_ThreadSafe @ DBFUtils.java:82: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ DBFUtils.java:248: 10 Unique Traces, 45 Redundant Traces, 3 Preserved, 25 Remained 
StringBuilder_ThreadSafe @ DBFUtils.java:250: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ DBFUtilsTest.java:233: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
StringBuilder_ThreadSafe @ DBFWriter.java:193: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
StringBuilder_ThreadSafe @ DBFWriter.java:239: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ DBFWriter.java:310: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ DBFWriter.java:316: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ DBFWriter.java:322: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ DBFWriter.java:328: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ DBFWriterRandomAccesTest.java:56: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
StringBuilder_ThreadSafe @ DBFWriterRandomAccesTest.java:75: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
StringBuilder_ThreadSafe @ DbfToTxtTest.java:47: 1 Unique Traces, 64959 Redundant Traces, 1 Preserved, 3220 Remained 
StringBuilder_ThreadSafe @ DbfToTxtTest.java:82: 1 Unique Traces, 167 Redundant Traces, 1 Preserved, 34 Remained 
StringBuilder_ThreadSafe @ DbfToTxtTest.java:100: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
StringBuilder_ThreadSafe @ ReadDBFAssert.java:40: 1 Unique Traces, 6 Redundant Traces, 1 Preserved, 2 Remained 
StringBuilder_ThreadSafe @ ReadDBFAssert.java:80: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ ZeroFieldCountTest.java:29: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Throwable_InitCauseOnce @ DBFDataType.java:201: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Throwable_InitCauseOnce @ DBFField.java:378: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Throwable_InitCauseOnce @ DBFField.java:382: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Throwable_InitCauseOnce @ DBFField.java:445: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Throwable_InitCauseOnce @ DBFField.java:467: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Throwable_InitCauseOnce @ DBFField.java:486: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Throwable_InitCauseOnce @ DBFField.java:489: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Throwable_InitCauseOnce @ DBFField.java:492: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Throwable_InitCauseOnce @ DBFReader.java:258: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Throwable_InitCauseOnce @ DBFReader.java:301: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Throwable_InitCauseOnce @ DBFReader.java:396: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Throwable_InitCauseOnce @ DBFRow.java:51: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Throwable_InitCauseOnce @ DBFRow.java:109: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Throwable_InitCauseOnce @ DBFUtils.java:82: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Throwable_InitCauseOnce @ DBFWriter.java:193: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Throwable_InitCauseOnce @ DBFWriter.java:222: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Throwable_InitCauseOnce @ DBFWriter.java:225: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Throwable_InitCauseOnce @ DBFWriter.java:239: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Throwable_InitCauseOnce @ DBFWriter.java:289: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Throwable_InitCauseOnce @ DBFWriter.java:293: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Throwable_InitCauseOnce @ DBFWriter.java:297: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Throwable_InitCauseOnce @ DBFWriter.java:310: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Throwable_InitCauseOnce @ DBFWriter.java:316: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Throwable_InitCauseOnce @ DBFWriter.java:322: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Throwable_InitCauseOnce @ DBFWriter.java:328: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Throwable_InitCauseOnce @ FailInputStream.java:28: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
