Appendable_ThreadSafe @ WordNet.java:574: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ WordNet.java:1189: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ WordNet.java:1219: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ WordNet.java:1241: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ WordNetTest.java:40: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ WordNetTest.java:54: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ WordNetTest.java:67: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ WordNetTest.java:80: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ WordNetTest.java:82: 18 Unique Traces, 4004 Redundant Traces, 3 Preserved, 239 Remained 
Iterator_HasNext @ WordNetTest.java:97: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ WordNetTest.java:100: 16 Unique Traces, 3952 Redundant Traces, 1 Preserved, 215 Remained 
Iterator_HasNext @ WordNetTest.java:118: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ WordNetTest.java:122: 12 Unique Traces, 4154 Redundant Traces, 1 Preserved, 213 Remained 
Iterator_HasNext @ WordNetTest.java:247: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ WordNetTest.java:392: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ WordNetTest.java:406: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ XmlElement.java:64: 3 Unique Traces, 930 Redundant Traces, 3 Preserved, 100 Remained 
Iterator_RemoveOnce @ Synonym.java:43: 19 Unique Traces, 7832 Redundant Traces, 3 Preserved, 412 Remained 
Iterator_RemoveOnce @ WordNet.java:461: 22 Unique Traces, 5442 Redundant Traces, 3 Preserved, 295 Remained 
Iterator_RemoveOnce @ WordNet.java:492: 1 Unique Traces, 7 Redundant Traces, 1 Preserved, 7 Remained 
Iterator_RemoveOnce @ WordNet.java:564: 2 Unique Traces, 13 Redundant Traces, 2 Preserved, 13 Remained 
Iterator_RemoveOnce @ WordNet.java:1062: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ WordNet.java:1070: 12 Unique Traces, 4124 Redundant Traces, 1 Preserved, 242 Remained 
Iterator_RemoveOnce @ WordNet.java:1086: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ WordNet.java:1124: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Iterator_RemoveOnce @ WordNet.java:1138: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ WordNet.java:1152: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ WordNet.java:1167: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ WordNet.java:1189: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ WordNet.java:1219: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ WordNet.java:1241: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ WordNetTest.java:40: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ WordNetTest.java:54: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ WordNetTest.java:67: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ WordNetTest.java:80: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ WordNetTest.java:82: 19 Unique Traces, 4023 Redundant Traces, 5 Preserved, 245 Remained 
Iterator_RemoveOnce @ WordNetTest.java:97: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ WordNetTest.java:100: 12 Unique Traces, 3997 Redundant Traces, 6 Preserved, 303 Remained 
Iterator_RemoveOnce @ WordNetTest.java:118: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ WordNetTest.java:122: 15 Unique Traces, 4100 Redundant Traces, 1 Preserved, 227 Remained 
Iterator_RemoveOnce @ WordNetTest.java:247: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ WordNetTest.java:406: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ XmlElement.java:64: 3 Unique Traces, 838 Redundant Traces, 3 Preserved, 46 Remained 
Map_CollectionViewAdd @ WordNet.java:380: 2 Unique Traces, 11 Redundant Traces, 2 Preserved, 11 Remained 
Map_CollectionViewAdd @ WordNet.java:389: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Map_CollectionViewAdd @ WordNet.java:492: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Map_CollectionViewAdd @ WordNet.java:1086: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Map_UnsafeIterator @ WordNet.java:492: 8 Unique Traces, 0 Redundant Traces, 7 Preserved, 0 Remained 
Map_UnsafeIterator @ WordNet.java:1062: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Map_UnsafeIterator @ WordNet.java:1086: 2 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Map_UnsafeIterator @ WordNet.java:1124: 2 Unique Traces, 0 Redundant Traces, 2 Preserved, 0 Remained 
Map_UnsafeIterator @ WordNet.java:1138: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Map_UnsafeIterator @ WordNet.java:1152: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Map_UnsafeIterator @ WordNet.java:1167: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Map_UnsafeIterator @ WordNet.java:1189: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Map_UnsafeIterator @ WordNet.java:1219: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Map_UnsafeIterator @ WordNet.java:1241: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Map_UnsafeIterator @ WordNetTest.java:40: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Map_UnsafeIterator @ WordNetTest.java:54: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Map_UnsafeIterator @ WordNetTest.java:67: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Map_UnsafeIterator @ WordNetTest.java:80: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Map_UnsafeIterator @ WordNetTest.java:97: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Map_UnsafeIterator @ WordNetTest.java:118: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Map_UnsafeIterator @ WordNetTest.java:247: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Map_UnsafeIterator @ WordNetTest.java:406: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ WordNet.java:574: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ WordNet.java:577: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 1 Remained 
StringBuilder_ThreadSafe @ WordNet.java:583: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ WordNet.java:584: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ WordNet.java:586: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
StringBuilder_ThreadSafe @ WordNet.java:587: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
StringBuilder_ThreadSafe @ WordNet.java:589: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ WordNet.java:590: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ XmlDocument.java:68: 1 Unique Traces, 9999 Redundant Traces, 1 Preserved, 513 Remained 
