Appendable_ThreadSafe @ AnsiEscapes.java:23: 1 Unique Traces, 11 Redundant Traces, 1 Preserved, 11 Remained 
Appendable_ThreadSafe @ FactorialPermutationTest.java:65: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
Appendable_ThreadSafe @ FactorialPermutationTest.java:75: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
Appendable_ThreadSafe @ FactorialPermutationTest.java:78: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
Appendable_ThreadSafe @ FactorialPermutationTest.java:83: 1 Unique Traces, 152 Redundant Traces, 1 Preserved, 16 Remained 
Appendable_ThreadSafe @ FeatureRunner.java:37: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ FixJava.java:19: 1 Unique Traces, 27 Redundant Traces, 1 Preserved, 6 Remained 
Appendable_ThreadSafe @ FixJava.java:49: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ FormatterListener.java:51: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ FormatterListener.java:56: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Appendable_ThreadSafe @ FormatterListener.java:65: 1 Unique Traces, 30 Redundant Traces, 1 Preserved, 30 Remained 
Appendable_ThreadSafe @ HandEvaluator.java:59: 1 Unique Traces, 12995081 Redundant Traces, 1 Preserved, 9999 Remained 
Appendable_ThreadSafe @ HandEvaluatorTest.java:68: 1 Unique Traces, 2598959 Redundant Traces, 1 Preserved, 10000 Remained 
Appendable_ThreadSafe @ HandEvaluatorTest.java:172: 1 Unique Traces, 2598959 Redundant Traces, 1 Preserved, 10000 Remained 
Appendable_ThreadSafe @ I18n.java:95: 1 Unique Traces, 9 Redundant Traces, 1 Preserved, 9 Remained 
Appendable_ThreadSafe @ I18n.java:116: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ I18n.java:126: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ JsonReader.java:1043: 1 Unique Traces, 10 Redundant Traces, 1 Preserved, 10 Remained 
Appendable_ThreadSafe @ ResourceLoaderClassFinder.java:21: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ RuntimeOptionsFactory.java:127: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ StandardRepresentation.java:90: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ StateMachineReader.java:16: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ Stats.java:84: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ Stats.java:93: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Arrays_SortBeforeBinarySearch @ AnnotationMapper.java:95: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Arrays_SortBeforeBinarySearch @ FastStack.java:26: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Arrays_SortBeforeBinarySearch @ FastStack.java:76: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Arrays_SortBeforeBinarySearch @ HandEvaluatorTest.java:60: 1 Unique Traces, 2598959 Redundant Traces, 1 Preserved, 10000 Remained 
Arrays_SortBeforeBinarySearch @ Runtime.java:42: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Arrays_SortBeforeBinarySearch @ SerializationMembers.java:43: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
CharSequence_NotInMap @ AbstractAttributedCharacterIteratorAttributeConverter.java:117: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
CharSequence_NotInMap @ JVM.java:131: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
CharSequence_NotInMap @ OrderRetainingMap.java:39: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ AbstractAttributedCharacterIteratorAttributeConverter.java:112: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ CardTest.java:84: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ CardTest.java:102: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ CardTest.java:104: 1 Unique Traces, 51 Redundant Traces, 1 Preserved, 14 Remained 
Collection_UnsafeIterator @ CardTest.java:118: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ CardTest.java:120: 1 Unique Traces, 51 Redundant Traces, 1 Preserved, 32 Remained 
Collection_UnsafeIterator @ ConstructorInjector.java:136: 2 Unique Traces, 110 Redundant Traces, 2 Preserved, 59 Remained 
Collection_UnsafeIterator @ Cucumber.java:107: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ CucumberFeature.java:50: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ CucumberScenarioOutline.java:62: 1 Unique Traces, 27 Redundant Traces, 1 Preserved, 2 Remained 
Collection_UnsafeIterator @ DeckTest.java:56: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ DefaultConverterLookup.java:66: 1 Unique Traces, 69 Redundant Traces, 1 Preserved, 17 Remained 
Collection_UnsafeIterator @ DefaultPicoContainer.java:769: 1 Unique Traces, 27 Redundant Traces, 1 Preserved, 18 Remained 
Collection_UnsafeIterator @ DefaultPicoContainer.java:796: 1 Unique Traces, 27 Redundant Traces, 1 Preserved, 27 Remained 
Collection_UnsafeIterator @ DefaultPicoContainer.java:849: 1 Unique Traces, 27 Redundant Traces, 1 Preserved, 27 Remained 
Collection_UnsafeIterator @ DefaultPicoContainer.java:1002: 1 Unique Traces, 27 Redundant Traces, 1 Preserved, 1 Remained 
Collection_UnsafeIterator @ DefaultPicoContainer.java:1008: 1 Unique Traces, 27 Redundant Traces, 1 Preserved, 8 Remained 
Collection_UnsafeIterator @ DefaultSummaryPrinter.java:29: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ Env.java:45: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ Env.java:51: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ ExamplesRunner.java:29: 3 Unique Traces, 0 Redundant Traces, 3 Preserved, 0 Remained 
Collection_UnsafeIterator @ ExamplesRunner.java:49: 3 Unique Traces, 0 Redundant Traces, 3 Preserved, 0 Remained 
Collection_UnsafeIterator @ Excluder.java:206: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ ExecutionUnitRunner.java:74: 1 Unique Traces, 27 Redundant Traces, 1 Preserved, 24 Remained 
Collection_UnsafeIterator @ FeatureRunner.java:44: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ FeatureRunner.java:75: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ FieldDictionary.java:131: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ FileResourceIterator.java:50: 2 Unique Traces, 5 Redundant Traces, 2 Preserved, 4 Remained 
Collection_UnsafeIterator @ FixJava.java:17: 1 Unique Traces, 27 Redundant Traces, 1 Preserved, 12 Remained 
Collection_UnsafeIterator @ Gson.java:352: 2 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collection_UnsafeIterator @ I18n.java:90: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ I18n.java:94: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
Collection_UnsafeIterator @ IsCollectionContaining.java:24: 772 Unique Traces, 51 Redundant Traces, 772 Preserved, 51 Remained 
Collection_UnsafeIterator @ JavaBackend.java:89: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ JavaBackend.java:91: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ JavaBackend.java:130: 1 Unique Traces, 27 Redundant Traces, 1 Preserved, 27 Remained 
Collection_UnsafeIterator @ LocalizedXStreams.java:78: 1 Unique Traces, 83 Redundant Traces, 1 Preserved, 12 Remained 
Collection_UnsafeIterator @ LocalizedXStreams.java:88: 84 Unique Traces, 0 Redundant Traces, 18 Preserved, 0 Remained 
Collection_UnsafeIterator @ MethodScanner.java:33: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ MethodScanner.java:34: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ MethodScanner.java:56: 1 Unique Traces, 20 Redundant Traces, 1 Preserved, 20 Remained 
Collection_UnsafeIterator @ OrderRetainingMap.java:43: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ Parser.java:247: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ Parser.java:250: 1 Unique Traces, 9 Redundant Traces, 1 Preserved, 8 Remained 
Collection_UnsafeIterator @ PicoBuilder.java:223: 1 Unique Traces, 27 Redundant Traces, 1 Preserved, 7 Remained 
Collection_UnsafeIterator @ PicoFactory.java:21: 1 Unique Traces, 27 Redundant Traces, 1 Preserved, 8 Remained 
Collection_UnsafeIterator @ PresortedMap.java:59: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ PresortedSet.java:71: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ PrioritizedList.java:44: 3 Unique Traces, 0 Redundant Traces, 3 Preserved, 0 Remained 
Collection_UnsafeIterator @ Reflections.java:18: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ Reflections.java:28: 2 Unique Traces, 0 Redundant Traces, 2 Preserved, 0 Remained 
Collection_UnsafeIterator @ Runtime.java:91: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ Runtime.java:140: 1 Unique Traces, 27 Redundant Traces, 1 Preserved, 25 Remained 
Collection_UnsafeIterator @ Runtime.java:151: 1 Unique Traces, 27 Redundant Traces, 1 Preserved, 27 Remained 
Collection_UnsafeIterator @ Runtime.java:211: 1 Unique Traces, 55 Redundant Traces, 1 Preserved, 4 Remained 
Collection_UnsafeIterator @ RuntimeGlue.java:80: 1 Unique Traces, 83 Redundant Traces, 1 Preserved, 22 Remained 
Collection_UnsafeIterator @ RuntimeGlue.java:104: 1 Unique Traces, 55 Redundant Traces, 1 Preserved, 13 Remained 
Collection_UnsafeIterator @ RuntimeGlue.java:114: 1 Unique Traces, 27 Redundant Traces, 1 Preserved, 3 Remained 
Collection_UnsafeIterator @ RuntimeOptions.java:180: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ RuntimeOptions.java:244: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ RuntimeOptions.java:250: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ RuntimeOptions.java:254: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ RuntimeOptions.java:291: 1 Unique Traces, 348 Redundant Traces, 1 Preserved, 60 Remained 
Collection_UnsafeIterator @ RuntimeOptionsFactory.java:87: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ ScenarioImpl.java:48: 1 Unique Traces, 27 Redundant Traces, 1 Preserved, 18 Remained 
Collection_UnsafeIterator @ ScenarioOutlineRunner.java:28: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ ScenarioOutlineRunner.java:43: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ Stats.java:109: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ StepContainer.java:32: 1 Unique Traces, 28 Redundant Traces, 1 Preserved, 28 Remained 
Collection_UnsafeIterator @ StepContainer.java:38: 1 Unique Traces, 27 Redundant Traces, 1 Preserved, 3 Remained 
Collection_UnsafeIterator @ StepDefinitionMatch.java:66: 3 Unique Traces, 81 Redundant Traces, 3 Preserved, 4 Remained 
Collection_UnsafeIterator @ UndefinedStepsTracker.java:30: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ UndefinedStepsTracker.java:59: 3 Unique Traces, 81 Redundant Traces, 3 Preserved, 9 Remained 
Collection_UnsynchronizedAddAll @ CucumberExamples.java:35: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Collection_UnsynchronizedAddAll @ CucumberExamples.java:36: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 1 Remained 
Collection_UnsynchronizedAddAll @ CucumberFeature.java:98: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsynchronizedAddAll @ CucumberTagStatement.java:33: 1 Unique Traces, 30 Redundant Traces, 1 Preserved, 3 Remained 
Collection_UnsynchronizedAddAll @ CucumberTagStatement.java:34: 1 Unique Traces, 30 Redundant Traces, 1 Preserved, 19 Remained 
Collection_UnsynchronizedAddAll @ Gson.java:204: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsynchronizedAddAll @ I18n.java:37: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsynchronizedAddAll @ I18n.java:38: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsynchronizedAddAll @ JVM.java:138: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsynchronizedAddAll @ JVM.java:140: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsynchronizedAddAll @ PresortedSet.java:43: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsynchronizedAddAll @ RuntimeOptions.java:162: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsynchronizedAddAll @ RuntimeOptions.java:167: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsynchronizedAddAll @ RuntimeOptions.java:405: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsynchronizedAddAll @ RuntimeOptionsFactory.java:85: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsynchronizedAddAll @ RuntimeOptionsFactory.java:86: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ ConstructorInjector.java:386: 2 Unique Traces, 110 Redundant Traces, 2 Preserved, 18 Remained 
Collections_SortBeforeBinarySearch @ ConverterWithNumberFormat.java:13: 1 Unique Traces, 6 Redundant Traces, 1 Preserved, 2 Remained 
Collections_SortBeforeBinarySearch @ Cucumber.java:108: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ CucumberExamples.java:28: 3 Unique Traces, 0 Redundant Traces, 3 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ CucumberFeature.java:98: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ CucumberFeature.java:128: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ CucumberScenarioOutline.java:32: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ DateConverter.java:66: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ Deck.java:58: 1 Unique Traces, 110 Redundant Traces, 1 Preserved, 52 Remained 
Collections_SortBeforeBinarySearch @ DefaultPicoContainer.java:568: 2 Unique Traces, 82 Redundant Traces, 2 Preserved, 11 Remained 
Collections_SortBeforeBinarySearch @ En.java:854: 2 Unique Traces, 40 Redundant Traces, 2 Preserved, 27 Remained 
Collections_SortBeforeBinarySearch @ Examples.java:37: 3 Unique Traces, 0 Redundant Traces, 2 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ ExamplesRunner.java:32: 3 Unique Traces, 0 Redundant Traces, 3 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ ExecutionUnitRunner.java:76: 1 Unique Traces, 27 Redundant Traces, 1 Preserved, 27 Remained 
Collections_SortBeforeBinarySearch @ FeatureBuilder.java:60: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ FeatureRunner.java:83: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ FieldDictionary.java:126: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ Gson.java:200: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ I18n.java:37: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ I18n.java:95: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
Collections_SortBeforeBinarySearch @ JUnitReporter.java:210: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ JdkPatternArgumentMatcher.java:23: 2 Unique Traces, 54 Redundant Traces, 2 Preserved, 14 Remained 
Collections_SortBeforeBinarySearch @ LocalizedXStreams.java:82: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ OrderRetainingMap.java:52: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ OrderRetainingMap.java:53: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ ParameterInfo.java:61: 2 Unique Traces, 0 Redundant Traces, 2 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ Parser.java:73: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ PresortedMap.java:61: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ PresortedMap.java:108: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ PresortedSet.java:43: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ RuntimeGlue.java:83: 1 Unique Traces, 83 Redundant Traces, 1 Preserved, 13 Remained 
Collections_SortBeforeBinarySearch @ RuntimeOptions.java:96: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ RuntimeOptions.java:108: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ RuntimeOptions.java:121: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ RuntimeOptions.java:150: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ RuntimeOptions.java:161: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ RuntimeOptions.java:166: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ RuntimeOptions.java:246: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ RuntimeOptions.java:394: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ RuntimeOptions.java:403: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ RuntimeOptionsFactory.java:60: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ RuntimeOptionsFactory.java:85: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ ScenarioImpl.java:32: 1 Unique Traces, 27 Redundant Traces, 1 Preserved, 2 Remained 
Collections_SortBeforeBinarySearch @ ScenarioOutlineRunner.java:29: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ SecurityMapper.java:66: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ StateMachineReader.java:57: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ Stats.java:165: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ StepContainer.java:27: 1 Unique Traces, 28 Redundant Traces, 1 Preserved, 28 Remained 
Collections_SortBeforeBinarySearch @ StepDefinitionMatch.java:69: 2 Unique Traces, 54 Redundant Traces, 2 Preserved, 54 Remained 
Collections_SortBeforeBinarySearch @ TimeConverter.java:36: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collections_SortBeforeBinarySearch @ TimeConverter.java:73: 1 Unique Traces, 83 Redundant Traces, 1 Preserved, 55 Remained 
Iterator_HasNext @ AbstractAttributedCharacterIteratorAttributeConverter.java:112: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ CardTest.java:84: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ CardTest.java:102: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ CardTest.java:104: 1 Unique Traces, 51 Redundant Traces, 1 Preserved, 4 Remained 
Iterator_HasNext @ CardTest.java:118: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ CardTest.java:120: 1 Unique Traces, 51 Redundant Traces, 1 Preserved, 31 Remained 
Iterator_HasNext @ ConstructorInjector.java:136: 2 Unique Traces, 110 Redundant Traces, 2 Preserved, 23 Remained 
Iterator_HasNext @ Cucumber.java:107: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ CucumberFeature.java:50: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ CucumberFeature.java:103: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ CucumberScenarioOutline.java:62: 1 Unique Traces, 27 Redundant Traces, 1 Preserved, 9 Remained 
Iterator_HasNext @ DeckTest.java:56: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ DefaultConverterLookup.java:54: 3 Unique Traces, 0 Redundant Traces, 3 Preserved, 0 Remained 
Iterator_HasNext @ DefaultConverterLookup.java:66: 1 Unique Traces, 69 Redundant Traces, 1 Preserved, 8 Remained 
Iterator_HasNext @ DefaultPicoContainer.java:769: 1 Unique Traces, 27 Redundant Traces, 1 Preserved, 27 Remained 
Iterator_HasNext @ DefaultPicoContainer.java:796: 1 Unique Traces, 27 Redundant Traces, 1 Preserved, 27 Remained 
