Appendable_ThreadSafe @ AbstractConditionWordCheck.java:61: 14 Unique Traces, 254 Redundant Traces, 7 Preserved, 42 Remained 
Collection_UnsynchronizedAddAll @ WordAllowInit.java:37: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Collection_UnsynchronizedAddAll @ WordDenyInit.java:38: 1 Unique Traces, 5 Redundant Traces, 1 Preserved, 5 Remained 
Collection_UnsynchronizedAddAll @ WordDenySystem.java:29: 1 Unique Traces, 32 Redundant Traces, 1 Preserved, 5 Remained 
Collection_UnsynchronizedAddAll @ WordDenySystem.java:30: 1 Unique Traces, 32 Redundant Traces, 1 Preserved, 32 Remained 
Collections_SortBeforeBinarySearch @ CollectionUtil.java:207: 3 Unique Traces, 25 Redundant Traces, 3 Preserved, 6 Remained 
Collections_SortBeforeBinarySearch @ DataUtil.java:73: 3 Unique Traces, 4185 Redundant Traces, 1 Preserved, 216 Remained 
Collections_SortBeforeBinarySearch @ DefaultPipeline.java:25: 3 Unique Traces, 13585678 Redundant Traces, 1 Preserved, 10000 Remained 
Collections_SortBeforeBinarySearch @ InnerWordFormatUtils.java:90: 5 Unique Traces, 73 Redundant Traces, 3 Preserved, 4 Remained 
Collections_SortBeforeBinarySearch @ SensitiveWord.java:73: 3 Unique Traces, 48 Redundant Traces, 3 Preserved, 13 Remained 
Collections_SortBeforeBinarySearch @ StreamUtil.java:204: 4 Unique Traces, 133 Redundant Traces, 4 Preserved, 25 Remained 
Collections_SortBeforeBinarySearch @ WordAllowInit.java:37: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collections_SortBeforeBinarySearch @ WordCheckCombine.java:21: 1 Unique Traces, 38 Redundant Traces, 1 Preserved, 9 Remained 
Collections_SortBeforeBinarySearch @ WordDenyInit.java:38: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Collections_SortBeforeBinarySearch @ WordFormatCombine.java:20: 1 Unique Traces, 38 Redundant Traces, 1 Preserved, 9 Remained 
Console_CloseReader @ DataUtil.java:56: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
InputStream_ManipulateAfterClose @ DataUtil.java:56: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
InputStream_MarkAfterClose @ DataUtil.java:56: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ AbstractSensitiveWord.java:48: 3 Unique Traces, 4 Redundant Traces, 3 Preserved, 4 Remained 
Iterator_HasNext @ CollectionUtil.java:204: 4 Unique Traces, 30 Redundant Traces, 3 Preserved, 5 Remained 
Iterator_HasNext @ InnerWordFormatUtils.java:88: 5 Unique Traces, 73 Redundant Traces, 4 Preserved, 6 Remained 
Iterator_HasNext @ WordAllowDenyCombine.java:25: 5 Unique Traces, 34 Redundant Traces, 5 Preserved, 34 Remained 
Iterator_HasNext @ WordAllowInit.java:35: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ WordCheckInit.java:34: 5 Unique Traces, 687 Redundant Traces, 2 Preserved, 48 Remained 
Iterator_HasNext @ WordChecks.java:70: 1 Unique Traces, 691 Redundant Traces, 1 Preserved, 67 Remained 
Iterator_HasNext @ WordDataTree.java:33: 4 Unique Traces, 35 Redundant Traces, 3 Preserved, 9 Remained 
Iterator_HasNext @ WordDenyInit.java:36: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Iterator_HasNext @ WordFormatInit.java:36: 1 Unique Traces, 13584983 Redundant Traces, 1 Preserved, 10000 Remained 
Iterator_HasNext @ WordFormats.java:55: 1 Unique Traces, 13584983 Redundant Traces, 1 Preserved, 9999 Remained 
Iterator_RemoveOnce @ AbstractSensitiveWord.java:48: 3 Unique Traces, 4 Redundant Traces, 3 Preserved, 4 Remained 
Iterator_RemoveOnce @ CollectionUtil.java:205: 3 Unique Traces, 25 Redundant Traces, 2 Preserved, 3 Remained 
Iterator_RemoveOnce @ InnerWordFormatUtils.java:88: 5 Unique Traces, 73 Redundant Traces, 5 Preserved, 18 Remained 
Iterator_RemoveOnce @ WordAllowDenyCombine.java:25: 5 Unique Traces, 34 Redundant Traces, 5 Preserved, 12 Remained 
Iterator_RemoveOnce @ WordAllowInit.java:35: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Iterator_RemoveOnce @ WordCheckInit.java:34: 4 Unique Traces, 688 Redundant Traces, 2 Preserved, 53 Remained 
Iterator_RemoveOnce @ WordChecks.java:70: 1 Unique Traces, 691 Redundant Traces, 1 Preserved, 109 Remained 
Iterator_RemoveOnce @ WordDataTree.java:33: 4 Unique Traces, 35 Redundant Traces, 3 Preserved, 21 Remained 
Iterator_RemoveOnce @ WordDenyInit.java:36: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Iterator_RemoveOnce @ WordFormatInit.java:36: 1 Unique Traces, 13584983 Redundant Traces, 1 Preserved, 9999 Remained 
Iterator_RemoveOnce @ WordFormats.java:55: 1 Unique Traces, 13584983 Redundant Traces, 1 Preserved, 9999 Remained 
Reader_ManipulateAfterClose @ DataUtil.java:56: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ AbstractConditionWordCheck.java:61: 34 Unique Traces, 234 Redundant Traces, 34 Preserved, 234 Remained 
StringBuilder_ThreadSafe @ AbstractSensitiveWord.java:54: 2 Unique Traces, 0 Redundant Traces, 2 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ InnerWordFormatUtils.java:41: 49 Unique Traces, 2150349 Redundant Traces, 8 Preserved, 107363 Remained 
StringBuilder_ThreadSafe @ MySensitiveTest.java:24: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ MyWordReplace.java:21: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ WordCheckEmail.java:49: 1 Unique Traces, 462 Redundant Traces, 1 Preserved, 61 Remained 
StringBuilder_ThreadSafe @ WordCheckNum.java:38: 1 Unique Traces, 579 Redundant Traces, 1 Preserved, 58 Remained 
StringBuilder_ThreadSafe @ WordCheckUrl.java:46: 1 Unique Traces, 464 Redundant Traces, 1 Preserved, 25 Remained 
StringBuilder_ThreadSafe @ WordCheckWord.java:63: 13 Unique Traces, 679 Redundant Traces, 7 Preserved, 76 Remained 
StringBuilder_ThreadSafe @ WordReplaceChar.java:35: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
StringBuilder_ThreadSafe @ WordResult.java:41: 1 Unique Traces, 6 Redundant Traces, 1 Preserved, 6 Remained 
