Appendable_ThreadSafe @ ArrayWriteTest.java:44: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ Base64Variant.java:568: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ Base64Variant.java:843: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
Appendable_ThreadSafe @ Base64Variants.java:138: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ Base64Variants.java:140: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ BasicParserFilteringTest.java:134: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ BigDecimalParserTest.java:71: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ BigDecimalParserTest.java:78: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ BigIntegerParser.java:24: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ BigIntegerParser.java:25: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ BigIntegerParser.java:35: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ BigIntegerParser.java:36: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ BigIntegerParserTest.java:50: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ BoundsChecksWithGeneratorTest.java:125: 1 Unique Traces, 23 Redundant Traces, 1 Preserved, 4 Remained 
Appendable_ThreadSafe @ BoundsChecksWithGeneratorTest.java:202: 1 Unique Traces, 35 Redundant Traces, 1 Preserved, 19 Remained 
Appendable_ThreadSafe @ BoundsChecksWithGeneratorTest.java:273: 1 Unique Traces, 23 Redundant Traces, 1 Preserved, 4 Remained 
Appendable_ThreadSafe @ BoundsChecksWithJsonFactoryTest.java:61: 1 Unique Traces, 5 Redundant Traces, 1 Preserved, 2 Remained 
Appendable_ThreadSafe @ BoundsChecksWithJsonFactoryTest.java:108: 1 Unique Traces, 5 Redundant Traces, 1 Preserved, 5 Remained 
Appendable_ThreadSafe @ CharTypes.java:296: 2 Unique Traces, 0 Redundant Traces, 2 Preserved, 0 Remained 
Appendable_ThreadSafe @ CharTypes.java:299: 3 Unique Traces, 2 Redundant Traces, 3 Preserved, 2 Remained 
Appendable_ThreadSafe @ CharsToNameCanonicalizer.java:787: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ CommentParsingTest.java:161: 1 Unique Traces, 59 Redundant Traces, 1 Preserved, 3 Remained 
Appendable_ThreadSafe @ CommentParsingTest.java:202: 1 Unique Traces, 8 Redundant Traces, 1 Preserved, 3 Remained 
Appendable_ThreadSafe @ ContentReference.java:309: 1 Unique Traces, 934 Redundant Traces, 1 Preserved, 81 Remained 
Appendable_ThreadSafe @ ContentReference.java:311: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ ContentReference.java:327: 11 Unique Traces, 9 Redundant Traces, 11 Preserved, 9 Remained 
Appendable_ThreadSafe @ DataFormatDetector.java:184: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ DeeplyNestedContentReadTest.java:76: 2 Unique Traces, 0 Redundant Traces, 2 Preserved, 0 Remained 
Appendable_ThreadSafe @ DefaultPrettyPrinter.java:369: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ DefaultPrettyPrinterTest.java:25: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ DelegatesTest.java:456: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Appendable_ThreadSafe @ DoubleToDecimalTest.java:53: 1 Unique Traces, 632 Redundant Traces, 1 Preserved, 34 Remained 
Appendable_ThreadSafe @ ErrorReportConfigurationTest.java:291: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Appendable_ThreadSafe @ ErrorReportConfigurationTest.java:324: 2 Unique Traces, 8 Redundant Traces, 1 Preserved, 3 Remained 
Appendable_ThreadSafe @ FloatToDecimalTest.java:56: 1 Unique Traces, 83 Redundant Traces, 1 Preserved, 55 Remained 
Appendable_ThreadSafe @ Fuzz51806JsonPointerParse818Test.java:56: 2 Unique Traces, 0 Redundant Traces, 2 Preserved, 0 Remained 
Appendable_ThreadSafe @ GeneratorBasicTest.java:53: 1 Unique Traces, 11 Redundant Traces, 1 Preserved, 11 Remained 
Appendable_ThreadSafe @ GeneratorBasicTest.java:378: 1 Unique Traces, 103 Redundant Traces, 1 Preserved, 22 Remained 
Appendable_ThreadSafe @ GeneratorBasicTest.java:380: 1 Unique Traces, 103 Redundant Traces, 1 Preserved, 15 Remained 
Appendable_ThreadSafe @ GeneratorBasicTest.java:434: 1 Unique Traces, 67 Redundant Traces, 1 Preserved, 23 Remained 
Appendable_ThreadSafe @ GeneratorBasicTest.java:435: 1 Unique Traces, 67 Redundant Traces, 1 Preserved, 17 Remained 
Appendable_ThreadSafe @ GeneratorMiscTest.java:199: 1 Unique Traces, 1799999 Redundant Traces, 1 Preserved, 9999 Remained 
Appendable_ThreadSafe @ GeneratorMiscTest.java:203: 1 Unique Traces, 539999 Redundant Traces, 1 Preserved, 9999 Remained 
Appendable_ThreadSafe @ GeneratorMiscTest.java:223: 1 Unique Traces, 1799999 Redundant Traces, 1 Preserved, 9999 Remained 
Appendable_ThreadSafe @ GeneratorMiscTest.java:227: 1 Unique Traces, 539999 Redundant Traces, 1 Preserved, 10000 Remained 
Appendable_ThreadSafe @ JUnit5TestBase.java:341: 1 Unique Traces, 221 Redundant Traces, 1 Preserved, 12 Remained 
Appendable_ThreadSafe @ JUnit5TestBase.java:383: 4 Unique Traces, 63996 Redundant Traces, 1 Preserved, 3219 Remained 
Appendable_ThreadSafe @ JsonGenerator.java:1871: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ JsonLocation.java:303: 4 Unique Traces, 1132 Redundant Traces, 3 Preserved, 67 Remained 
Appendable_ThreadSafe @ JsonLocationTest.java:70: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ JsonLocationTest.java:79: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ JsonLocationTest.java:82: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ JsonPointer.java:307: 18 Unique Traces, 266 Redundant Traces, 9 Preserved, 35 Remained 
Appendable_ThreadSafe @ JsonPointer.java:441: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ JsonPointer.java:475: 3 Unique Traces, 0 Redundant Traces, 3 Preserved, 0 Remained 
Appendable_ThreadSafe @ JsonPointer.java:500: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ JsonPointer.java:646: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ JsonPointer.java:804: 4 Unique Traces, 6248 Redundant Traces, 2 Preserved, 309 Remained 
Appendable_ThreadSafe @ JsonPointer.java:829: 2 Unique Traces, 0 Redundant Traces, 2 Preserved, 0 Remained 
Appendable_ThreadSafe @ JsonPointer1328Test.java:39: 2 Unique Traces, 0 Redundant Traces, 2 Preserved, 0 Remained 
Appendable_ThreadSafe @ JsonProcessingException.java:131: 1 Unique Traces, 1074 Redundant Traces, 1 Preserved, 49 Remained 
Appendable_ThreadSafe @ JsonProcessingException.java:145: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ JsonReadContext.java:250: 1 Unique Traces, 48 Redundant Traces, 1 Preserved, 8 Remained 
Appendable_ThreadSafe @ JsonStreamContext.java:343: 1 Unique Traces, 5 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ JsonStreamContext.java:346: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Appendable_ThreadSafe @ JsonStreamContext.java:352: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Appendable_ThreadSafe @ JsonStringEncoder.java:281: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ JsonStringEncoder.java:295: 2 Unique Traces, 0 Redundant Traces, 2 Preserved, 0 Remained 
Appendable_ThreadSafe @ JsonWriteContext.java:262: 1 Unique Traces, 7 Redundant Traces, 1 Preserved, 5 Remained 
Appendable_ThreadSafe @ LargeDocReadTest.java:117: 2 Unique Traces, 4 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ LargeDocReadTest.java:129: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Appendable_ThreadSafe @ LargeNameReadTest.java:101: 2 Unique Traces, 5 Redundant Traces, 2 Preserved, 5 Remained 
Appendable_ThreadSafe @ LargeNumberReadTest.java:122: 1 Unique Traces, 27 Redundant Traces, 1 Preserved, 15 Remained 
Appendable_ThreadSafe @ LargeNumberWriteTest.java:39: 1 Unique Traces, 5 Redundant Traces, 1 Preserved, 5 Remained 
Appendable_ThreadSafe @ LargeNumberWriteTest.java:48: 1 Unique Traces, 5 Redundant Traces, 1 Preserved, 5 Remained 
Appendable_ThreadSafe @ LocationOfError1173Test.java:240: 1 Unique Traces, 29 Redundant Traces, 1 Preserved, 7 Remained 
Appendable_ThreadSafe @ LocationOfError1173Test.java:244: 1 Unique Traces, 14 Redundant Traces, 1 Preserved, 14 Remained 
Appendable_ThreadSafe @ LocationOfError1173Test.java:248: 1 Unique Traces, 44 Redundant Traces, 1 Preserved, 13 Remained 
Appendable_ThreadSafe @ LocationOffsetsTest.java:256: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ LocationOffsetsTest.java:317: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ NextXxxAccessTest.java:492: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Appendable_ThreadSafe @ NextXxxAccessTest.java:538: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Appendable_ThreadSafe @ NextXxxAccessTest.java:548: 1 Unique Traces, 1082487 Redundant Traces, 1 Preserved, 10000 Remained 
Appendable_ThreadSafe @ NextXxxAccessTest.java:560: 1 Unique Traces, 1082487 Redundant Traces, 1 Preserved, 10000 Remained 
Appendable_ThreadSafe @ NonBlockingUtf8JsonParserBase.java:394: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Appendable_ThreadSafe @ NonBlockingUtf8JsonParserBase.java:531: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Appendable_ThreadSafe @ NonBlockingUtf8JsonParserBase.java:670: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ NonBlockingUtf8JsonParserBase.java:925: 1 Unique Traces, 23 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ NonStandardParserFeaturesTest.java:111: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
Appendable_ThreadSafe @ NonStandardParserFeaturesTest.java:144: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
Appendable_ThreadSafe @ NonStandardUnquotedNamesTest.java:121: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Appendable_ThreadSafe @ NonStandardUnquotedNamesTest.java:143: 1 Unique Traces, 4199 Redundant Traces, 1 Preserved, 199 Remained 
Appendable_ThreadSafe @ NumberCoercionTest.java:95: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Appendable_ThreadSafe @ NumberCoercionTest.java:108: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Appendable_ThreadSafe @ NumberDeferredReadTest.java:83: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Appendable_ThreadSafe @ NumberInputTest.java:41: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ NumberOutputTest.java:111: 1 Unique Traces, 251017 Redundant Traces, 1 Preserved, 10000 Remained 
Appendable_ThreadSafe @ NumberOutputTest.java:125: 1 Unique Traces, 678006 Redundant Traces, 1 Preserved, 9999 Remained 
Appendable_ThreadSafe @ NumberOverflowTest.java:27: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ NumberOverflowTest.java:32: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ NumberOverflowTest.java:33: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ NumberOverflowTest.java:43: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ NumberOverflowTest.java:44: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ NumberParsingTest.java:78: 1 Unique Traces, 47 Redundant Traces, 1 Preserved, 16 Remained 
Appendable_ThreadSafe @ NumberParsingTest.java:85: 1 Unique Traces, 47 Redundant Traces, 1 Preserved, 16 Remained 
Appendable_ThreadSafe @ NumberParsingTest.java:122: 1 Unique Traces, 47 Redundant Traces, 1 Preserved, 3 Remained 
Appendable_ThreadSafe @ NumberParsingTest.java:136: 1 Unique Traces, 47 Redundant Traces, 1 Preserved, 29 Remained 
Appendable_ThreadSafe @ NumberParsingTest.java:137: 1 Unique Traces, 47 Redundant Traces, 1 Preserved, 37 Remained 
Appendable_ThreadSafe @ NumberParsingTest.java:143: 1 Unique Traces, 47 Redundant Traces, 1 Preserved, 22 Remained 
Appendable_ThreadSafe @ NumberParsingTest.java:277: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ NumberParsingTest.java:309: 1 Unique Traces, 7 Redundant Traces, 1 Preserved, 7 Remained 
Appendable_ThreadSafe @ NumberParsingTest.java:314: 1 Unique Traces, 7 Redundant Traces, 1 Preserved, 7 Remained 
Appendable_ThreadSafe @ NumberParsingTest.java:338: 1 Unique Traces, 9 Redundant Traces, 1 Preserved, 9 Remained 
Appendable_ThreadSafe @ NumberParsingTest.java:431: 1 Unique Traces, 9 Redundant Traces, 1 Preserved, 9 Remained 
Appendable_ThreadSafe @ NumberParsingTest.java:451: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ NumberParsingTest.java:457: 1 Unique Traces, 9 Redundant Traces, 1 Preserved, 4 Remained 
Appendable_ThreadSafe @ NumberParsingTest.java:476: 1 Unique Traces, 19 Redundant Traces, 1 Preserved, 19 Remained 
Appendable_ThreadSafe @ NumberParsingTest.java:501: 1 Unique Traces, 9 Redundant Traces, 1 Preserved, 5 Remained 
Appendable_ThreadSafe @ NumberParsingTest.java:587: 1 Unique Traces, 129 Redundant Traces, 1 Preserved, 31 Remained 
Appendable_ThreadSafe @ NumberParsingTest.java:589: 1 Unique Traces, 129 Redundant Traces, 1 Preserved, 32 Remained 
Appendable_ThreadSafe @ NumberParsingTest.java:602: 1 Unique Traces, 129 Redundant Traces, 1 Preserved, 33 Remained 
Appendable_ThreadSafe @ NumberParsingTest.java:736: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ NumberParsingTest.java:742: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ NumberParsingTest.java:789: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ NumberParsingTest.java:800: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Appendable_ThreadSafe @ NumberParsingTest.java:817: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ NumberParsingTest.java:870: 1 Unique Traces, 55 Redundant Traces, 1 Preserved, 19 Remained 
Appendable_ThreadSafe @ NumberParsingTest.java:974: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ NumberParsingTest.java:1064: 1 Unique Traces, 55 Redundant Traces, 1 Preserved, 8 Remained 
Appendable_ThreadSafe @ ParserBase.java:1379: 1 Unique Traces, 10 Redundant Traces, 1 Preserved, 4 Remained 
Appendable_ThreadSafe @ ParserBase.java:1408: 1 Unique Traces, 15 Redundant Traces, 1 Preserved, 13 Remained 
Appendable_ThreadSafe @ ParserBase.java:1522: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
Appendable_ThreadSafe @ ParserBase.java:1527: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
Appendable_ThreadSafe @ ParserDupHandlingTest.java:149: 1 Unique Traces, 47 Redundant Traces, 1 Preserved, 24 Remained 
Appendable_ThreadSafe @ ParserErrorHandlingTest.java:76: 1 Unique Traces, 47 Redundant Traces, 1 Preserved, 22 Remained 
Appendable_ThreadSafe @ ParserErrorHandlingTest.java:93: 1 Unique Traces, 47 Redundant Traces, 1 Preserved, 18 Remained 
Appendable_ThreadSafe @ ParserFeatureDefaultsTest.java:156: 1 Unique Traces, 18 Redundant Traces, 1 Preserved, 18 Remained 
Appendable_ThreadSafe @ ParserFeaturesTest.java:126: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ ParserMinimalBase.java:641: 1 Unique Traces, 31 Redundant Traces, 1 Preserved, 31 Remained 
Appendable_ThreadSafe @ ParserMinimalBase.java:655: 1 Unique Traces, 38 Redundant Traces, 1 Preserved, 4 Remained 
Appendable_ThreadSafe @ ParserMinimalBase.java:739: 1 Unique Traces, 362 Redundant Traces, 1 Preserved, 28 Remained 
Appendable_ThreadSafe @ ParserMinimalBase.java:759: 1 Unique Traces, 58 Redundant Traces, 1 Preserved, 24 Remained 
Appendable_ThreadSafe @ ParserMinimalBase.java:771: 1 Unique Traces, 5 Redundant Traces, 1 Preserved, 5 Remained 
Appendable_ThreadSafe @ ParserMinimalBase.java:806: 1 Unique Traces, 23 Redundant Traces, 1 Preserved, 8 Remained 
Appendable_ThreadSafe @ ParserMinimalBase.java:809: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ ParserMinimalBase.java:811: 1 Unique Traces, 428 Redundant Traces, 1 Preserved, 71 Remained 
Appendable_ThreadSafe @ PerfBigDecimalParser967Test.java:26: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ PrettyPrinterTest.java:32: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Appendable_ThreadSafe @ PrettyPrinterTest.java:39: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ PrettyPrinterTest.java:235: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ PrettyPrinterTest.java:241: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ RawStringWriteTest.java:173: 13 Unique Traces, 749 Redundant Traces, 12 Preserved, 71 Remained 
Appendable_ThreadSafe @ RawValueWithSurrogatesTest.java:79: 97 Unique Traces, 97 Redundant Traces, 97 Preserved, 97 Remained 
Appendable_ThreadSafe @ ReaderBasedJsonParser.java:469: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ ReaderBasedJsonParser.java:476: 1 Unique Traces, 5 Redundant Traces, 1 Preserved, 5 Remained 
Appendable_ThreadSafe @ ReaderBasedJsonParser.java:1746: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ ReaderBasedJsonParser.java:2051: 1 Unique Traces, 19 Redundant Traces, 1 Preserved, 17 Remained 
Appendable_ThreadSafe @ ReaderBasedJsonParser.java:2054: 1 Unique Traces, 27 Redundant Traces, 1 Preserved, 5 Remained 
Appendable_ThreadSafe @ ReaderBasedJsonParser.java:2372: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ ReaderBasedJsonParser.java:2429: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Appendable_ThreadSafe @ ReaderBasedJsonParser.java:3011: 11 Unique Traces, 24 Redundant Traces, 11 Preserved, 24 Remained 
Appendable_ThreadSafe @ RequestPayloadOnExceptionTest.java:69: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ RequestPayloadOnExceptionTest.java:78: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ RequestPayloadOnExceptionTest.java:84: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ RequestPayloadOnExceptionTest.java:93: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ RequestPayloadOnExceptionTest.java:99: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ RequestPayloadOnExceptionTest.java:108: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ RequestPayloadOnExceptionTest.java:114: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ RequestPayloadOnExceptionTest.java:127: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ RequestPayloadOnExceptionTest.java:141: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ RequestPayloadOnExceptionTest.java:150: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ SegmentedStringWriterTest.java:25: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ SegmentedStringWriterTest.java:26: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ SegmentedStringWriterTest.java:33: 1 Unique Traces, 8 Redundant Traces, 1 Preserved, 3 Remained 
Appendable_ThreadSafe @ SegmentedStringWriterTest.java:42: 1 Unique Traces, 8 Redundant Traces, 1 Preserved, 8 Remained 
Appendable_ThreadSafe @ Separators.java:71: 1 Unique Traces, 128 Redundant Traces, 1 Preserved, 25 Remained 
