Appendable_ThreadSafe @ MonteCarloBlackScholesModelEuropeanOptionSensitivitiesTest.java:122: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ MonteCarloBlackScholesModelEuropeanOptionSensitivitiesTest.java:153: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ RandomVariableDifferentiableAAD.java:688: 3 Unique Traces, 28 Redundant Traces, 3 Preserved, 14 Remained 
Iterator_RemoveOnce @ MonteCarloBlackScholesModelEuropeanOptionSensitivitiesTest.java:146: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ MonteCarloBlackScholesModelEuropeanOptionSensitivitiesTest.java:153: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ RandomVariableDifferentiableAAD.java:688: 3 Unique Traces, 28 Redundant Traces, 2 Preserved, 10 Remained 
StringBuilder_ThreadSafe @ MonteCarloBlackScholesModelEuropeanOptionSensitivitiesTest.java:122: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ MonteCarloBlackScholesModelEuropeanOptionSensitivitiesTest.java:123: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ MonteCarloBlackScholesModelEuropeanOptionSensitivitiesTest.java:126: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ MonteCarloBlackScholesModelEuropeanOptionSensitivitiesTest.java:127: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ MonteCarloBlackScholesModelEuropeanOptionSensitivitiesTest.java:128: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ MonteCarloBlackScholesModelEuropeanOptionSensitivitiesTest.java:131: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ MonteCarloBlackScholesModelEuropeanOptionSensitivitiesTest.java:132: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ MonteCarloBlackScholesModelEuropeanOptionSensitivitiesTest.java:133: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ MonteCarloBlackScholesModelEuropeanOptionSensitivitiesTest.java:136: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ MonteCarloBlackScholesModelEuropeanOptionSensitivitiesTest.java:137: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ MonteCarloBlackScholesModelEuropeanOptionSensitivitiesTest.java:138: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
