Appendable_ThreadSafe @ AnnotationHandler.java:207: 4 Unique Traces, 0 Redundant Traces, 4 Preserved, 0 Remained 
Collection_UnsafeIterator @ CompositeMapUnion.java:188: 3 Unique Traces, 14 Redundant Traces, 3 Preserved, 13 Remained 
Collection_UnsafeIterator @ ConstructorScannerTest.java:73: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ ConstructorScannerTest.java:125: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ ConstructorScannerTest.java:151: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ ConverterMapTest.java:43: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collection_UnsafeIterator @ DefaultAnnotationTest.java:161: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ DetailScannerTest.java:64: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ Dictionary.java:100: 3 Unique Traces, 7 Redundant Traces, 1 Preserved, 3 Remained 
Collection_UnsafeIterator @ DynamicMapOfAttributesTest.java:48: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collection_UnsafeIterator @ ExampleConverters.java:166: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ FieldScannerDefaultTest.java:119: 2 Unique Traces, 0 Redundant Traces, 2 Preserved, 0 Remained 
Collection_UnsafeIterator @ FieldScannerTest.java:40: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ GroupExtractor.java:304: 2 Unique Traces, 22 Redundant Traces, 2 Preserved, 14 Remained 
Collection_UnsafeIterator @ InstantiatorBuilder.java:244: 5 Unique Traces, 17 Redundant Traces, 4 Preserved, 5 Remained 
Collection_UnsafeIterator @ MethodContactTest.java:69: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ MethodContactTest.java:105: 3 Unique Traces, 0 Redundant Traces, 3 Preserved, 0 Remained 
Collection_UnsafeIterator @ MethodScanner.java:143: 3 Unique Traces, 68 Redundant Traces, 1 Preserved, 20 Remained 
Collection_UnsafeIterator @ MethodScanner.java:182: 4 Unique Traces, 5 Redundant Traces, 4 Preserved, 5 Remained 
Collection_UnsafeIterator @ MethodScannerDefaultTest.java:253: 2 Unique Traces, 2 Redundant Traces, 2 Preserved, 1 Remained 
Collection_UnsafeIterator @ MethodScannerTest.java:116: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ MethodScannerTest.java:162: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ MethodScannerTest.java:175: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ ModelList.java:55: 2 Unique Traces, 58 Redundant Traces, 2 Preserved, 14 Remained 
Collection_UnsafeIterator @ ModelList.java:70: 4 Unique Traces, 61 Redundant Traces, 1 Preserved, 10 Remained 
Collection_UnsafeIterator @ OrderTest.java:71: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ PrimitiveInlineList.java:220: 4 Unique Traces, 10 Redundant Traces, 3 Preserved, 7 Remained 
Collection_UnsafeIterator @ PrimitiveList.java:225: 5 Unique Traces, 18 Redundant Traces, 2 Preserved, 14 Remained 
Collection_UnsafeIterator @ Resolver.java:150: 6 Unique Traces, 10 Redundant Traces, 6 Preserved, 9 Remained 
Collection_UnsafeIterator @ ResolverTest.java:68: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ SignatureCreator.java:199: 4 Unique Traces, 20 Redundant Traces, 4 Preserved, 11 Remained 
Collection_UnsafeIterator @ SignatureScanner.java:152: 1 Unique Traces, 23 Redundant Traces, 1 Preserved, 2 Remained 
Collection_UnsafeIterator @ SignatureScannerTest.java:97: 4 Unique Traces, 10 Redundant Traces, 4 Preserved, 9 Remained 
Collection_UnsafeIterator @ StructureBuilder.java:220: 3 Unique Traces, 19 Redundant Traces, 3 Preserved, 15 Remained 
Collection_UnsafeIterator @ TextList.java:136: 1 Unique Traces, 24 Redundant Traces, 1 Preserved, 22 Remained 
Collection_UnsafeIterator @ TreeModel.java:450: 2 Unique Traces, 29 Redundant Traces, 1 Preserved, 14 Remained 
Collection_UnsafeIterator @ TreeModel.java:602: 1 Unique Traces, 50 Redundant Traces, 1 Preserved, 7 Remained 
Collection_UnsynchronizedAddAll @ FieldScanner.java:117: 1 Unique Traces, 68 Redundant Traces, 1 Preserved, 22 Remained 
Collections_SortBeforeBinarySearch @ AnnotationCycleStrategyTest.java:32: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ CompositeInlineList.java:170: 8 Unique Traces, 28 Redundant Traces, 7 Preserved, 25 Remained 
Collections_SortBeforeBinarySearch @ CompositeList.java:175: 4 Unique Traces, 3658 Redundant Traces, 2 Preserved, 210 Remained 
Collections_SortBeforeBinarySearch @ ConstructorInjectionDifferentAnnotationTest.java:82: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ ContactEntryTest.java:71: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ ContactEntryTest.java:75: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ ConverterDecorationTest.java:75: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ ConverterDecorationTest.java:82: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ CycleTest.java:36: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collections_SortBeforeBinarySearch @ DateTransformTest.java:43: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collections_SortBeforeBinarySearch @ DecoratorTest.java:282: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ DecoratorTest.java:289: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ DecoratorTest.java:292: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ DocumentReader.java:217: 5 Unique Traces, 49768 Redundant Traces, 4 Preserved, 2505 Remained 
Collections_SortBeforeBinarySearch @ ElementListUnionWithNoEntryOrNameTest.java:26: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ ExampleConverters.java:161: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ FieldScanner.java:117: 4 Unique Traces, 110 Redundant Traces, 2 Preserved, 61 Remained 
Collections_SortBeforeBinarySearch @ FieldScanner.java:209: 5 Unique Traces, 11 Redundant Traces, 5 Preserved, 11 Remained 
Collections_SortBeforeBinarySearch @ FieldScannerTest.java:41: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ InlineListWithDataTest.java:23: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ InlineTest.java:188: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ InlineTest.java:200: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ InlineTest.java:208: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ LabelExtractor.java:222: 3 Unique Traces, 14 Redundant Traces, 1 Preserved, 3 Remained 
Collections_SortBeforeBinarySearch @ MethodContactTest.java:70: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ MethodScanner.java:236: 2 Unique Traces, 2 Redundant Traces, 2 Preserved, 2 Remained 
Collections_SortBeforeBinarySearch @ MethodScanner.java:456: 2 Unique Traces, 2 Redundant Traces, 2 Preserved, 2 Remained 
Collections_SortBeforeBinarySearch @ MethodScanner.java:481: 5 Unique Traces, 24 Redundant Traces, 4 Preserved, 20 Remained 
Collections_SortBeforeBinarySearch @ MethodScannerTest.java:117: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ MethodScannerTest.java:163: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ MethodScannerTest.java:176: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ MissingGenericsTest.java:54: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ ModelList.java:113: 5 Unique Traces, 68 Redundant Traces, 2 Preserved, 12 Remained 
Collections_SortBeforeBinarySearch @ NamespaceDecorator.java:86: 1 Unique Traces, 24 Redundant Traces, 1 Preserved, 8 Remained 
Collections_SortBeforeBinarySearch @ NoAnnotationsRequiredTest.java:28: 2 Unique Traces, 1 Redundant Traces, 2 Preserved, 1 Remained 
Collections_SortBeforeBinarySearch @ OriginalTest.java:107: 2 Unique Traces, 1 Redundant Traces, 2 Preserved, 1 Remained 
Collections_SortBeforeBinarySearch @ OriginalTest.java:109: 2 Unique Traces, 1 Redundant Traces, 2 Preserved, 1 Remained 
Collections_SortBeforeBinarySearch @ OverrideTest.java:139: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ PathParser.java:590: 7 Unique Traces, 43 Redundant Traces, 7 Preserved, 21 Remained 
Collections_SortBeforeBinarySearch @ PathParser.java:619: 5 Unique Traces, 27 Redundant Traces, 2 Preserved, 3 Remained 
Collections_SortBeforeBinarySearch @ PathParser.java:737: 5 Unique Traces, 72 Redundant Traces, 2 Preserved, 22 Remained 
Collections_SortBeforeBinarySearch @ PathParser.java:738: 5 Unique Traces, 75 Redundant Traces, 2 Preserved, 20 Remained 
Collections_SortBeforeBinarySearch @ PathStructureTest.java:253: 3 Unique Traces, 1 Redundant Traces, 3 Preserved, 1 Remained 
Collections_SortBeforeBinarySearch @ PathWithScatteredElementsTest.java:64: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ PrimitiveArrayTransformTest.java:50: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Collections_SortBeforeBinarySearch @ PrimitiveArrayTransformTest.java:55: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Collections_SortBeforeBinarySearch @ PrimitiveInlineList.java:154: 5 Unique Traces, 36 Redundant Traces, 5 Preserved, 36 Remained 
Collections_SortBeforeBinarySearch @ PrimitiveList.java:163: 4 Unique Traces, 17 Redundant Traces, 4 Preserved, 17 Remained 
Collections_SortBeforeBinarySearch @ RegistryConverterCycleTest.java:77: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ RegistryCycleStrategyTest.java:25: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ Resolver.java:155: 3 Unique Traces, 9 Redundant Traces, 3 Preserved, 8 Remained 
Collections_SortBeforeBinarySearch @ Resolver.java:329: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Collections_SortBeforeBinarySearch @ ScannerTest.java:145: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ ScannerTest.java:172: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ ScatterTest.java:277: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ ScatterTest.java:285: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ SerializeRandomListOfObjectsTest.java:53: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ SignatureBuilder.java:163: 1 Unique Traces, 42 Redundant Traces, 1 Preserved, 29 Remained 
Collections_SortBeforeBinarySearch @ SignatureBuilder.java:203: 1 Unique Traces, 20 Redundant Traces, 1 Preserved, 5 Remained 
Collections_SortBeforeBinarySearch @ SignatureBuilder.java:232: 1 Unique Traces, 30 Redundant Traces, 1 Preserved, 19 Remained 
Collections_SortBeforeBinarySearch @ SignatureBuilder.java:237: 2 Unique Traces, 36 Redundant Traces, 1 Preserved, 23 Remained 
Collections_SortBeforeBinarySearch @ SignatureBuilder.java:299: 3 Unique Traces, 52 Redundant Traces, 1 Preserved, 24 Remained 
Collections_SortBeforeBinarySearch @ SignatureBuilder.java:317: 6 Unique Traces, 29 Redundant Traces, 2 Preserved, 3 Remained 
Collections_SortBeforeBinarySearch @ SignatureBuilderTest.java:22: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ SignatureBuilderTest.java:39: 1 Unique Traces, 12 Redundant Traces, 1 Preserved, 12 Remained 
Collections_SortBeforeBinarySearch @ SignatureBuilderTest.java:48: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Collections_SortBeforeBinarySearch @ SignatureBuilderTest.java:52: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ SignatureBuilderTest.java:64: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ StackFilterTest.java:22: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ StaticTest.java:102: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ StaticTest.java:128: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ StreamReader.java:165: 2 Unique Traces, 1 Redundant Traces, 2 Preserved, 1 Remained 
Collections_SortBeforeBinarySearch @ StringArrayTransformTest.java:40: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ TextList.java:105: 2 Unique Traces, 3 Redundant Traces, 2 Preserved, 2 Remained 
Collections_SortBeforeBinarySearch @ TimeTransformTest.java:46: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ TreeModel.java:587: 4 Unique Traces, 25 Redundant Traces, 3 Preserved, 15 Remained 
Collections_SortBeforeBinarySearch @ UnionComplicatedPathMixTest.java:131: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ UnionComplicatedPathMixTest.java:193: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ UnionDependencyDoesNotMatchTypeTest.java:25: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ UnionEmptyListBugTest.java:53: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ UnionInlineListWitinPathTest.java:94: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ UnionInlineListWitinPathTest.java:97: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ UnionListConstructorInjectionTest.java:72: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ UnionListTaskTest.java:88: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ UnionMixInlineTest.java:22: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ UnionWithNonMatchingListEntriesTest.java:34: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ ValidationTestCase.java:233: 3 Unique Traces, 47 Redundant Traces, 1 Preserved, 29 Remained 
Collections_SortBeforeBinarySearch @ VisitorStrategyTest.java:33: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ WeakCache.java:207: 1 Unique Traces, 38 Redundant Traces, 1 Preserved, 14 Remained 
InputStream_ManipulateAfterClose @ XmlPullParserFactory.java:289: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
InputStream_MarkAfterClose @ XmlPullParserFactory.java:289: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ ClassInstantiator.java:130: 3 Unique Traces, 18 Redundant Traces, 2 Preserved, 11 Remained 
Iterator_HasNext @ CollectionTest.java:416: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ CollectionTest.java:438: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ CollectionTest.java:462: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ CollectionTest.java:486: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ CollectionTest.java:510: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ CollectionTest.java:534: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ CollectionTest.java:558: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ CollectionTest.java:580: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ CollectionTest.java:600: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ CollectionTest.java:624: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ CollectionTest.java:648: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ CollectionTest.java:672: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ CollectionTest.java:698: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ CollectionTest.java:722: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ Composite.java:742: 3 Unique Traces, 106 Redundant Traces, 1 Preserved, 12 Remained 
Iterator_HasNext @ Composite.java:922: 3 Unique Traces, 231 Redundant Traces, 1 Preserved, 26 Remained 
Iterator_HasNext @ CompositeInlineList.java:260: 6 Unique Traces, 34 Redundant Traces, 1 Preserved, 7 Remained 
Iterator_HasNext @ CompositeInlineMap.java:244: 4 Unique Traces, 33 Redundant Traces, 3 Preserved, 22 Remained 
Iterator_HasNext @ CompositeList.java:240: 9 Unique Traces, 1086 Redundant Traces, 6 Preserved, 89 Remained 
Iterator_HasNext @ CompositeListUnion.java:266: 3 Unique Traces, 4 Redundant Traces, 3 Preserved, 0 Remained 
Iterator_HasNext @ CompositeMap.java:251: 4 Unique Traces, 1510 Redundant Traces, 1 Preserved, 100 Remained 
Iterator_HasNext @ CompositeMapUnion.java:188: 3 Unique Traces, 25 Redundant Traces, 3 Preserved, 25 Remained 
Iterator_HasNext @ ConstructorScannerTest.java:73: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
