Appendable_ThreadSafe @ AnswerSet.java:115: 1 Unique Traces, 616 Redundant Traces, 1 Preserved, 58 Remained 
Collection_UnsafeIterator @ SimpleSignatureShuffleSharderTests.java:106: 1 Unique Traces, 99999 Redundant Traces, 1 Preserved, 4973 Remained 
Collection_UnsafeIterator @ SimpleSignatureShuffleSharderTests.java:110: 1 Unique Traces, 99999 Redundant Traces, 1 Preserved, 5054 Remained 
Collection_UnsafeIterator @ SimpleSignatureShuffleSharderTests.java:124: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ SimpleSignatureShuffleSharderTests.java:162: 1 Unique Traces, 9999 Redundant Traces, 1 Preserved, 508 Remained 
Collection_UnsafeIterator @ SimpleSignatureShuffleSharderTests.java:172: 1 Unique Traces, 4967 Redundant Traces, 1 Preserved, 272 Remained 
Collection_UnsafeIterator @ SimpleSignatureShuffleSharderTests.java:177: 1 Unique Traces, 5031 Redundant Traces, 1 Preserved, 259 Remained 
Collection_UnsafeIterator @ SimpleSignatureShuffleSharderTests.java:182: 1 Unique Traces, 5031 Redundant Traces, 1 Preserved, 285 Remained 
Collection_UnsafeIterator @ SimpleSignatureShuffleSharderTests.java:187: 1 Unique Traces, 4967 Redundant Traces, 1 Preserved, 301 Remained 
Collection_UnsafeIterator @ SimpleSignatureShuffleSharderTests.java:202: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ SimpleSignatureShuffleSharderTests.java:244: 1 Unique Traces, 9999 Redundant Traces, 1 Preserved, 598 Remained 
Collection_UnsafeIterator @ SimpleSignatureShuffleSharderTests.java:254: 1 Unique Traces, 3335 Redundant Traces, 1 Preserved, 180 Remained 
Collection_UnsafeIterator @ SimpleSignatureShuffleSharderTests.java:259: 1 Unique Traces, 3289 Redundant Traces, 1 Preserved, 230 Remained 
Collection_UnsafeIterator @ SimpleSignatureShuffleSharderTests.java:264: 1 Unique Traces, 3373 Redundant Traces, 1 Preserved, 213 Remained 
Collection_UnsafeIterator @ SimpleSignatureShuffleSharderTests.java:269: 1 Unique Traces, 3348 Redundant Traces, 1 Preserved, 166 Remained 
Collection_UnsafeIterator @ SimpleSignatureShuffleSharderTests.java:274: 1 Unique Traces, 3344 Redundant Traces, 1 Preserved, 192 Remained 
Collection_UnsafeIterator @ SimpleSignatureShuffleSharderTests.java:279: 1 Unique Traces, 3305 Redundant Traces, 1 Preserved, 155 Remained 
Collection_UnsafeIterator @ SimpleSignatureShuffleSharderTests.java:294: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ StatefulSearchingShuffleSharder.java:135: 3 Unique Traces, 503 Redundant Traces, 2 Preserved, 30 Remained 
Collection_UnsafeIterator @ StatefulSearchingShuffleSharderTests.java:93: 1 Unique Traces, 99 Redundant Traces, 1 Preserved, 21 Remained 
Collection_UnsafeIterator @ StatefulSearchingShuffleSharderTests.java:136: 1 Unique Traces, 44 Redundant Traces, 1 Preserved, 8 Remained 
Collection_UnsafeIterator @ StatefulSearchingShuffleSharderTests.java:145: 1 Unique Traces, 44 Redundant Traces, 1 Preserved, 14 Remained 
Collection_UnsafeIterator @ StatefulSearchingShuffleSharderTests.java:149: 1 Unique Traces, 44 Redundant Traces, 1 Preserved, 16 Remained 
Collection_UnsafeIterator @ StatefulSearchingShuffleSharderTests.java:188: 1 Unique Traces, 19 Redundant Traces, 1 Preserved, 19 Remained 
Collection_UnsafeIterator @ StatefulSearchingShuffleSharderTests.java:198: 1 Unique Traces, 9 Redundant Traces, 1 Preserved, 8 Remained 
Collection_UnsafeIterator @ StatefulSearchingShuffleSharderTests.java:203: 1 Unique Traces, 9 Redundant Traces, 1 Preserved, 9 Remained 
Collection_UnsafeIterator @ StatefulSearchingShuffleSharderTests.java:208: 1 Unique Traces, 9 Redundant Traces, 1 Preserved, 9 Remained 
Collection_UnsafeIterator @ StatefulSearchingShuffleSharderTests.java:213: 1 Unique Traces, 9 Redundant Traces, 1 Preserved, 8 Remained 
Collection_UnsynchronizedAddAll @ AnswerSet.java:65: 1 Unique Traces, 706 Redundant Traces, 1 Preserved, 50 Remained 
Collection_UnsynchronizedAddAll @ Lattice.java:197: 1 Unique Traces, 42 Redundant Traces, 1 Preserved, 16 Remained 
Collection_UnsynchronizedAddAll @ Lattice.java:230: 1 Unique Traces, 501071 Redundant Traces, 1 Preserved, 9999 Remained 
Collection_UnsynchronizedAddAll @ ResourceRecordSet.java:824: 1 Unique Traces, 91 Redundant Traces, 1 Preserved, 8 Remained 
Collection_UnsynchronizedAddAll @ RubberTree.java:60: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsynchronizedAddAll @ RubberTree.java:114: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Collection_UnsynchronizedAddAll @ RubberTree.java:174: 1 Unique Traces, 5 Redundant Traces, 1 Preserved, 1 Remained 
Collection_UnsynchronizedAddAll @ RubberTree.java:179: 1 Unique Traces, 79 Redundant Traces, 1 Preserved, 8 Remained 
Collection_UnsynchronizedAddAll @ RubberTree.java:180: 1 Unique Traces, 79 Redundant Traces, 1 Preserved, 34 Remained 
Collection_UnsynchronizedAddAll @ RubberTree.java:191: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsynchronizedAddAll @ RubberTree.java:192: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsynchronizedAddAll @ RubberTree.java:197: 1 Unique Traces, 7 Redundant Traces, 1 Preserved, 3 Remained 
Collection_UnsynchronizedAddAll @ RubberTree.java:198: 1 Unique Traces, 7 Redundant Traces, 1 Preserved, 7 Remained 
Collection_UnsynchronizedAddAll @ StatefulSearchingShuffleSharder.java:174: 1 Unique Traces, 338 Redundant Traces, 1 Preserved, 13 Remained 
Collections_SortBeforeBinarySearch @ AnswerSet.java:69: 3 Unique Traces, 89 Redundant Traces, 2 Preserved, 56 Remained 
Collections_SortBeforeBinarySearch @ AnswerSet.java:85: 3 Unique Traces, 87 Redundant Traces, 2 Preserved, 53 Remained 
Collections_SortBeforeBinarySearch @ AnswerSet.java:88: 4 Unique Traces, 88 Redundant Traces, 1 Preserved, 12 Remained 
Collections_SortBeforeBinarySearch @ IterableSubListGenerator.java:55: 7 Unique Traces, 8629 Redundant Traces, 2 Preserved, 441 Remained 
Collections_SortBeforeBinarySearch @ Lattice.java:197: 1 Unique Traces, 42 Redundant Traces, 1 Preserved, 42 Remained 
Collections_SortBeforeBinarySearch @ Lattice.java:230: 3 Unique Traces, 260797 Redundant Traces, 3 Preserved, 9998 Remained 
Collections_SortBeforeBinarySearch @ ResourceRecordSet.java:824: 1 Unique Traces, 91 Redundant Traces, 1 Preserved, 19 Remained 
Collections_SortBeforeBinarySearch @ RubberTree.java:60: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ RubberTree.java:72: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ RubberTree.java:174: 1 Unique Traces, 5 Redundant Traces, 1 Preserved, 5 Remained 
Collections_SortBeforeBinarySearch @ RubberTree.java:180: 3 Unique Traces, 3 Redundant Traces, 3 Preserved, 2 Remained 
Collections_SortBeforeBinarySearch @ RubberTree.java:192: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ SimpleSignatureShuffleSharder.java:108: 2 Unique Traces, 129998 Redundant Traces, 1 Preserved, 6571 Remained 
Collections_SortBeforeBinarySearch @ StatefulSearchingShuffleSharder.java:174: 1 Unique Traces, 338 Redundant Traces, 1 Preserved, 70 Remained 
Iterator_HasNext @ AnswerSet.java:62: 3 Unique Traces, 89 Redundant Traces, 2 Preserved, 34 Remained 
Iterator_HasNext @ Lattice.java:176: 2 Unique Traces, 130598 Redundant Traces, 2 Preserved, 6462 Remained 
Iterator_HasNext @ Lattice.java:229: 4 Unique Traces, 261017 Redundant Traces, 3 Preserved, 9998 Remained 
Iterator_HasNext @ Lattice.java:243: 4 Unique Traces, 130673 Redundant Traces, 3 Preserved, 6620 Remained 
Iterator_HasNext @ Lattice.java:258: 2 Unique Traces, 390796 Redundant Traces, 1 Preserved, 10000 Remained 
Iterator_HasNext @ Lattice.java:326: 4 Unique Traces, 361 Redundant Traces, 3 Preserved, 37 Remained 
Iterator_HasNext @ RubberTree.java:66: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ RubberTree.java:71: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Iterator_HasNext @ RubberTree.java:89: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ RubberTree.java:97: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ RubberTree.java:98: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Iterator_HasNext @ RubberTree.java:194: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ SimpleSignatureShuffleSharder.java:105: 2 Unique Traces, 129998 Redundant Traces, 1 Preserved, 6587 Remained 
Iterator_HasNext @ SimpleSignatureShuffleSharder.java:120: 2 Unique Traces, 109998 Redundant Traces, 1 Preserved, 5488 Remained 
Iterator_HasNext @ SimpleSignatureShuffleSharder.java:135: 1 Unique Traces, 19999 Redundant Traces, 1 Preserved, 1053 Remained 
Iterator_HasNext @ SimpleSignatureShuffleSharderTests.java:46: 1 Unique Traces, 9999 Redundant Traces, 1 Preserved, 545 Remained 
Iterator_HasNext @ SimpleSignatureShuffleSharderTests.java:64: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ SimpleSignatureShuffleSharderTests.java:97: 1 Unique Traces, 99999 Redundant Traces, 1 Preserved, 4971 Remained 
Iterator_HasNext @ SimpleSignatureShuffleSharderTests.java:106: 1 Unique Traces, 99999 Redundant Traces, 1 Preserved, 5092 Remained 
Iterator_HasNext @ SimpleSignatureShuffleSharderTests.java:110: 1 Unique Traces, 99999 Redundant Traces, 1 Preserved, 5073 Remained 
Iterator_HasNext @ SimpleSignatureShuffleSharderTests.java:124: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ SimpleSignatureShuffleSharderTests.java:162: 1 Unique Traces, 9999 Redundant Traces, 1 Preserved, 494 Remained 
Iterator_HasNext @ SimpleSignatureShuffleSharderTests.java:172: 1 Unique Traces, 4967 Redundant Traces, 1 Preserved, 272 Remained 
Iterator_HasNext @ SimpleSignatureShuffleSharderTests.java:177: 1 Unique Traces, 5031 Redundant Traces, 1 Preserved, 276 Remained 
Iterator_HasNext @ SimpleSignatureShuffleSharderTests.java:182: 1 Unique Traces, 5031 Redundant Traces, 1 Preserved, 247 Remained 
Iterator_HasNext @ SimpleSignatureShuffleSharderTests.java:187: 1 Unique Traces, 4967 Redundant Traces, 1 Preserved, 256 Remained 
Iterator_HasNext @ SimpleSignatureShuffleSharderTests.java:202: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ SimpleSignatureShuffleSharderTests.java:244: 1 Unique Traces, 9999 Redundant Traces, 1 Preserved, 537 Remained 
Iterator_HasNext @ SimpleSignatureShuffleSharderTests.java:254: 1 Unique Traces, 3335 Redundant Traces, 1 Preserved, 183 Remained 
Iterator_HasNext @ SimpleSignatureShuffleSharderTests.java:259: 1 Unique Traces, 3289 Redundant Traces, 1 Preserved, 165 Remained 
Iterator_HasNext @ SimpleSignatureShuffleSharderTests.java:264: 1 Unique Traces, 3373 Redundant Traces, 1 Preserved, 247 Remained 
Iterator_HasNext @ SimpleSignatureShuffleSharderTests.java:269: 1 Unique Traces, 3348 Redundant Traces, 1 Preserved, 193 Remained 
Iterator_HasNext @ SimpleSignatureShuffleSharderTests.java:274: 1 Unique Traces, 3344 Redundant Traces, 1 Preserved, 163 Remained 
Iterator_HasNext @ SimpleSignatureShuffleSharderTests.java:279: 1 Unique Traces, 3305 Redundant Traces, 1 Preserved, 178 Remained 
Iterator_HasNext @ SimpleSignatureShuffleSharderTests.java:294: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ StatefulSearchingShuffleSharder.java:120: 1 Unique Traces, 165 Redundant Traces, 1 Preserved, 11 Remained 
Iterator_HasNext @ StatefulSearchingShuffleSharder.java:135: 3 Unique Traces, 503 Redundant Traces, 2 Preserved, 58 Remained 
Iterator_HasNext @ StatefulSearchingShuffleSharder.java:158: 17 Unique Traces, 269 Redundant Traces, 5 Preserved, 29 Remained 
Iterator_HasNext @ StatefulSearchingShuffleSharder.java:204: 5 Unique Traces, 970 Redundant Traces, 3 Preserved, 49 Remained 
Iterator_HasNext @ StatefulSearchingShuffleSharderTests.java:93: 1 Unique Traces, 99 Redundant Traces, 1 Preserved, 26 Remained 
Iterator_HasNext @ StatefulSearchingShuffleSharderTests.java:136: 1 Unique Traces, 44 Redundant Traces, 1 Preserved, 22 Remained 
Iterator_HasNext @ StatefulSearchingShuffleSharderTests.java:145: 1 Unique Traces, 44 Redundant Traces, 1 Preserved, 21 Remained 
Iterator_HasNext @ StatefulSearchingShuffleSharderTests.java:149: 1 Unique Traces, 44 Redundant Traces, 1 Preserved, 27 Remained 
Iterator_HasNext @ StatefulSearchingShuffleSharderTests.java:188: 1 Unique Traces, 19 Redundant Traces, 1 Preserved, 18 Remained 
Iterator_HasNext @ StatefulSearchingShuffleSharderTests.java:198: 1 Unique Traces, 9 Redundant Traces, 1 Preserved, 1 Remained 
Iterator_HasNext @ StatefulSearchingShuffleSharderTests.java:203: 1 Unique Traces, 9 Redundant Traces, 1 Preserved, 8 Remained 
Iterator_HasNext @ StatefulSearchingShuffleSharderTests.java:208: 1 Unique Traces, 9 Redundant Traces, 1 Preserved, 2 Remained 
Iterator_HasNext @ StatefulSearchingShuffleSharderTests.java:213: 1 Unique Traces, 9 Redundant Traces, 1 Preserved, 8 Remained 
Iterator_HasNext @ SubListIteratorTests.java:27: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ SubListIteratorTests.java:39: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ SubListIteratorTests.java:54: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ AnswerSet.java:62: 3 Unique Traces, 89 Redundant Traces, 3 Preserved, 28 Remained 
Iterator_RemoveOnce @ Lattice.java:176: 2 Unique Traces, 130598 Redundant Traces, 2 Preserved, 6554 Remained 
Iterator_RemoveOnce @ Lattice.java:229: 3 Unique Traces, 260797 Redundant Traces, 3 Preserved, 9998 Remained 
Iterator_RemoveOnce @ Lattice.java:243: 3 Unique Traces, 130454 Redundant Traces, 2 Preserved, 6398 Remained 
Iterator_RemoveOnce @ Lattice.java:258: 2 Unique Traces, 390796 Redundant Traces, 1 Preserved, 9999 Remained 
Iterator_RemoveOnce @ Lattice.java:326: 3 Unique Traces, 321 Redundant Traces, 3 Preserved, 85 Remained 
Iterator_RemoveOnce @ RubberTree.java:66: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ RubberTree.java:71: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Iterator_RemoveOnce @ RubberTree.java:89: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ RubberTree.java:97: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ RubberTree.java:98: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Iterator_RemoveOnce @ RubberTree.java:194: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ SimpleSignatureShuffleSharder.java:105: 2 Unique Traces, 129998 Redundant Traces, 1 Preserved, 6474 Remained 
Iterator_RemoveOnce @ SimpleSignatureShuffleSharder.java:120: 2 Unique Traces, 109998 Redundant Traces, 1 Preserved, 5682 Remained 
Iterator_RemoveOnce @ SimpleSignatureShuffleSharder.java:135: 1 Unique Traces, 19999 Redundant Traces, 1 Preserved, 979 Remained 
Iterator_RemoveOnce @ SimpleSignatureShuffleSharderTests.java:46: 1 Unique Traces, 9999 Redundant Traces, 1 Preserved, 502 Remained 
Iterator_RemoveOnce @ SimpleSignatureShuffleSharderTests.java:64: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ SimpleSignatureShuffleSharderTests.java:97: 1 Unique Traces, 99999 Redundant Traces, 1 Preserved, 4909 Remained 
Iterator_RemoveOnce @ SimpleSignatureShuffleSharderTests.java:106: 1 Unique Traces, 99999 Redundant Traces, 1 Preserved, 4981 Remained 
Iterator_RemoveOnce @ SimpleSignatureShuffleSharderTests.java:110: 1 Unique Traces, 99999 Redundant Traces, 1 Preserved, 5044 Remained 
Iterator_RemoveOnce @ SimpleSignatureShuffleSharderTests.java:124: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ SimpleSignatureShuffleSharderTests.java:162: 1 Unique Traces, 9999 Redundant Traces, 1 Preserved, 541 Remained 
Iterator_RemoveOnce @ SimpleSignatureShuffleSharderTests.java:172: 1 Unique Traces, 4967 Redundant Traces, 1 Preserved, 288 Remained 
Iterator_RemoveOnce @ SimpleSignatureShuffleSharderTests.java:177: 1 Unique Traces, 5031 Redundant Traces, 1 Preserved, 267 Remained 
Iterator_RemoveOnce @ SimpleSignatureShuffleSharderTests.java:182: 1 Unique Traces, 5031 Redundant Traces, 1 Preserved, 300 Remained 
Iterator_RemoveOnce @ SimpleSignatureShuffleSharderTests.java:187: 1 Unique Traces, 4967 Redundant Traces, 1 Preserved, 251 Remained 
Iterator_RemoveOnce @ SimpleSignatureShuffleSharderTests.java:202: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ SimpleSignatureShuffleSharderTests.java:244: 1 Unique Traces, 9999 Redundant Traces, 1 Preserved, 477 Remained 
Iterator_RemoveOnce @ SimpleSignatureShuffleSharderTests.java:254: 1 Unique Traces, 3335 Redundant Traces, 1 Preserved, 182 Remained 
Iterator_RemoveOnce @ SimpleSignatureShuffleSharderTests.java:259: 1 Unique Traces, 3289 Redundant Traces, 1 Preserved, 211 Remained 
Iterator_RemoveOnce @ SimpleSignatureShuffleSharderTests.java:264: 1 Unique Traces, 3373 Redundant Traces, 1 Preserved, 196 Remained 
Iterator_RemoveOnce @ SimpleSignatureShuffleSharderTests.java:269: 1 Unique Traces, 3348 Redundant Traces, 1 Preserved, 165 Remained 
Iterator_RemoveOnce @ SimpleSignatureShuffleSharderTests.java:274: 1 Unique Traces, 3344 Redundant Traces, 1 Preserved, 163 Remained 
Iterator_RemoveOnce @ SimpleSignatureShuffleSharderTests.java:279: 1 Unique Traces, 3305 Redundant Traces, 1 Preserved, 174 Remained 
Iterator_RemoveOnce @ SimpleSignatureShuffleSharderTests.java:294: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ StatefulSearchingShuffleSharder.java:120: 1 Unique Traces, 165 Redundant Traces, 1 Preserved, 42 Remained 
Iterator_RemoveOnce @ StatefulSearchingShuffleSharder.java:135: 1 Unique Traces, 285 Redundant Traces, 1 Preserved, 14 Remained 
Iterator_RemoveOnce @ StatefulSearchingShuffleSharder.java:158: 16 Unique Traces, 270 Redundant Traces, 2 Preserved, 24 Remained 
Iterator_RemoveOnce @ StatefulSearchingShuffleSharder.java:204: 4 Unique Traces, 971 Redundant Traces, 2 Preserved, 44 Remained 
Iterator_RemoveOnce @ StatefulSearchingShuffleSharderTests.java:93: 1 Unique Traces, 99 Redundant Traces, 1 Preserved, 2 Remained 
Iterator_RemoveOnce @ StatefulSearchingShuffleSharderTests.java:136: 1 Unique Traces, 44 Redundant Traces, 1 Preserved, 32 Remained 
Iterator_RemoveOnce @ StatefulSearchingShuffleSharderTests.java:145: 1 Unique Traces, 44 Redundant Traces, 1 Preserved, 7 Remained 
Iterator_RemoveOnce @ StatefulSearchingShuffleSharderTests.java:149: 1 Unique Traces, 44 Redundant Traces, 1 Preserved, 6 Remained 
Iterator_RemoveOnce @ StatefulSearchingShuffleSharderTests.java:188: 1 Unique Traces, 19 Redundant Traces, 1 Preserved, 19 Remained 
Iterator_RemoveOnce @ StatefulSearchingShuffleSharderTests.java:198: 1 Unique Traces, 9 Redundant Traces, 1 Preserved, 8 Remained 
Iterator_RemoveOnce @ StatefulSearchingShuffleSharderTests.java:203: 1 Unique Traces, 9 Redundant Traces, 1 Preserved, 6 Remained 
Iterator_RemoveOnce @ StatefulSearchingShuffleSharderTests.java:208: 1 Unique Traces, 9 Redundant Traces, 1 Preserved, 9 Remained 
Iterator_RemoveOnce @ StatefulSearchingShuffleSharderTests.java:213: 1 Unique Traces, 9 Redundant Traces, 1 Preserved, 3 Remained 
Iterator_RemoveOnce @ SubListIteratorTests.java:27: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ SubListIteratorTests.java:39: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ SubListIteratorTests.java:54: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
List_UnsynchronizedSubList @ RubberTree.java:174: 1 Unique Traces, 5 Redundant Traces, 1 Preserved, 5 Remained 
List_UnsynchronizedSubList @ RubberTree.java:179: 1 Unique Traces, 79 Redundant Traces, 1 Preserved, 38 Remained 
List_UnsynchronizedSubList @ SimpleSignatureShuffleSharder.java:125: 1 Unique Traces, 209999 Redundant Traces, 1 Preserved, 9999 Remained 
List_UnsynchronizedSubList @ SimpleSignatureShuffleSharder.java:154: 1 Unique Traces, 39999 Redundant Traces, 1 Preserved, 2067 Remained 
Map_CollectionViewAdd @ Lattice.java:229: 5 Unique Traces, 130235 Redundant Traces, 2 Preserved, 6381 Remained 
Map_CollectionViewAdd @ Lattice.java:243: 12 Unique Traces, 130445 Redundant Traces, 2 Preserved, 6648 Remained 
Map_CollectionViewAdd @ Lattice.java:326: 3 Unique Traces, 64 Redundant Traces, 3 Preserved, 15 Remained 
Map_CollectionViewAdd @ SimpleSignatureShuffleSharder.java:135: 1 Unique Traces, 19999 Redundant Traces, 1 Preserved, 969 Remained 
Map_CollectionViewAdd @ SimpleSignatureShuffleSharderTests.java:56: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Map_CollectionViewAdd @ SimpleSignatureShuffleSharderTests.java:116: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Map_CollectionViewAdd @ SimpleSignatureShuffleSharderTests.java:194: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Map_CollectionViewAdd @ SimpleSignatureShuffleSharderTests.java:286: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Map_CollectionViewAdd @ StatefulSearchingShuffleSharderTests.java:103: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Map_CollectionViewAdd @ StatefulSearchingShuffleSharderTests.java:155: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Map_CollectionViewAdd @ StatefulSearchingShuffleSharderTests.java:220: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Map_UnsafeIterator @ Lattice.java:229: 30 Unique Traces, 391231 Redundant Traces, 4 Preserved, 13082 Remained 
Map_UnsafeIterator @ Lattice.java:243: 214 Unique Traces, 260920 Redundant Traces, 3 Preserved, 6468 Remained 
Map_UnsafeIterator @ Lattice.java:326: 214 Unique Traces, 218 Redundant Traces, 100 Preserved, 20 Remained 
Map_UnsafeIterator @ SimpleSignatureShuffleSharder.java:135: 2 Unique Traces, 39998 Redundant Traces, 2 Preserved, 1056 Remained 
Map_UnsafeIterator @ SimpleSignatureShuffleSharderTests.java:64: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
